query_id,product_id,label,grade
165,B073V44H23,E,1.0
165,B0721LFDFK,I,0.0
165,B01N8UP5LQ,I,0.0
165,B01M0H7YC2,I,0.0
165,B01N1O0MRB,S,0.01
165,B07BF788FF,I,0.0
165,B01I58U4PE,I,0.0
165,B01N79IP57,I,0.0
165,B07D8FNKHM,I,0.0
165,B07PB6ZX9Y,I,0.0
165,B07NHRYS36,I,0.0
165,B07NPWHJ9B,I,0.0
165,B07VQZSLDW,I,0.0
165,B07VWLJJ89,I,0.0
165,B0815V62FC,I,0.0
165,B083MNL3G5,E,1.0
165,B08F2P73NB,I,0.0
165,B01I58T4ZK,I,0.0
165,B07DP9KQD5,I,0.0
165,B01ESSA9VO,I,0.0
165,B013KTYFYO,I,0.0
165,B01DN0IT4C,I,0.0
165,B01EAG3VZA,I,0.0
165,B005M8YXEE,S,0.01
165,B005M8YXEY,E,1.0
165,B005NNF0YU,I,0.0
165,B007XPBW4I,I,0.0
165,B00AES2XB2,I,0.0
165,B00B8RZXV0,I,0.0
165,B00FB6MHHW,E,1.0
165,B00FB6N9GA,E,1.0
165,B002STMD0Q,I,0.0
165,B00HFC2E82,I,0.0
165,B00JM5GW10,I,0.0
165,B00V9JP8EE,I,0.0
165,B015CJ94TQ,I,0.0
165,B015SQAVB8,I,0.0
165,B01ARNNQI2,I,0.0
165,B01BSAWORC,I,0.0
165,B00FB6NADW,E,1.0
433,B073XKCND9,E,1.0
433,B072B9YCNS,E,1.0
433,B01C3WZGWY,E,1.0
433,B01JZFC9QS,I,0.0
433,B01DDY0VPI,I,0.0
433,B0776RHZ2P,I,0.0
433,B01L1A0YNU,I,0.0
433,B07FZ3MKCX,S,0.01
433,B086BDB21S,S,0.01
433,B07S3PH4FJ,S,0.01
433,B07YR3QKS6,E,1.0
433,B07ZPR88G6,I,0.0
433,B08HGRNB7L,S,0.01
433,B08MY882HY,C,0.1
433,B08ZKW4FXY,I,0.0
433,B0923C91TW,S,0.01
433,B0186IOH1K,I,0.0
433,B07Q1GB6H1,I,0.0
433,B0134HIF4I,S,0.01
433,B01C3WZH6Y,S,0.01
433,B00JFXY8MY,I,0.0
433,B00SP1NZ1M,I,0.0
433,B00004YNMN,I,0.0
433,B000BQWM2M,I,0.0
433,B000FSCN4I,S,0.01
433,B000IFJZ5I,S,0.01
433,B000IFPN3G,S,0.01
433,B002FYAOKK,E,1.0
433,B002FYAONW,E,1.0
433,B002FYG55S,S,0.01
433,B001RJ8PGO,E,1.0
433,B003CMDH8A,S,0.01
433,B00ISK04D2,I,0.0
433,B002FYJWBW,I,0.0
433,B00AV6R4RU,S,0.01
433,B007CXKK4Y,I,0.0
433,B00FK8P0DE,S,0.01
433,B0061Z1FDO,S,0.01
433,B005IWHERM,S,0.01
433,B007CXKHH4,S,0.01
500,B07TC5L2CY,E,1.0
500,B07DLFJ1WV,E,1.0
500,B07DLG3B1W,E,1.0
500,B07H1F6N2F,S,0.01
500,B07J9KV1H1,S,0.01
500,B07JLRS5K2,S,0.01
500,B07SMBRR27,E,1.0
500,B07VV6T5HY,E,1.0
500,B08V3JG972,S,0.01
500,B07Z5NWFW5,E,1.0
500,B083W12ZW2,E,1.0
500,B08427C3R6,S,0.01
500,B086FXPSJV,E,1.0
500,B08GB7HDYD,S,0.01
500,B07BR9XV6K,S,0.01
500,B091N7HFKX,S,0.01
500,B094CBPMNS,E,1.0
500,B07W67T98W,E,1.0
500,B07BBJNNQD,S,0.01
500,B07C9S6KQ3,S,0.01
500,B07B1PXDF8,E,1.0
500,B07B1RCPTR,E,1.0
500,B00DC3W04Q,S,0.01
500,B00GYA455Q,S,0.01
500,B00P9LIUP2,S,0.01
500,B00PKOAKQU,S,0.01
500,B00TY7OHEA,E,1.0
500,B00TY7OJL6,C,0.1
500,B00TY7OJWU,E,1.0
500,B00U0JIWXS,E,1.0
500,B00TY7OHCW,E,1.0
500,B0124EBP5I,E,1.0
500,B00XK0B1PU,E,1.0
500,B074MZQPFT,S,0.01
500,B074G1MF5V,E,1.0
500,B01I776TCK,S,0.01
500,B07B1KXYFV,E,1.0
500,B0173I4UUM,E,1.0
500,B013HC594Y,S,0.01
500,B0173I4YVM,E,1.0
541,B01BPEUS5Q,S,0.01
541,B07Q85DQD4,E,1.0
541,B07P53VYXB,C,0.1
541,B07MCWYTMD,E,1.0
541,B07SM72DKY,C,0.1
541,B077BMQRDB,S,0.01
541,B01006ZVMU,S,0.01
541,B07JBBRHLR,C,0.1
541,B00M47PJ62,E,1.0
541,B00JXZKUDK,E,1.0
541,B007QTD9ZG,E,1.0
541,B004BYY8D6,E,1.0
541,B0049PPP7U,C,0.1
541,B003EOVPYE,S,0.01
541,B002G2YAVU,E,1.0
541,B00MPP3K1E,C,0.1
598,B01M8FUUSJ,E,1.0
598,B01N1UXYCC,E,1.0
598,B077XM4WYK,I,0.0
598,B078GZ4P2B,I,0.0
598,B07998PP1B,C,0.1
598,B07CND4WV9,C,0.1
598,B07CNL5W2Z,E,1.0
598,B07CRP4H2W,S,0.01
598,B07KBZM7GN,I,0.0
598,B07GTQZN7Q,I,0.0
598,B07JMLDYRB,E,1.0
598,B07L8TBTVV,E,1.0
598,B0828SMZNS,E,1.0
598,B088YTGXPS,I,0.0
598,B08SQWQZZB,E,1.0
598,B08YS4CTRM,I,0.0
598,B01L32CE20,I,0.0
598,B07DF9LN96,E,1.0
598,B01FG87H2O,C,0.1
598,B007GS9ZGO,S,0.01
598,B00E7VMG7S,I,0.0
598,B00004RADH,E,1.0
598,B0000BYCPP,I,0.0
598,B0000CBITW,E,1.0
598,B0002IU8K2,I,0.0
598,B000J3AG2K,C,0.1
598,B000OWF7YI,E,1.0
598,B000UGPK9U,I,0.0
598,B000VYP302,I,0.0
598,B000NCUW6M,I,0.0
598,B002Y08J2A,C,0.1
598,B002Y04TK6,E,1.0
598,B004OVUM40,E,1.0
598,B0049PL9PC,C,0.1
598,B0047COGFW,I,0.0
598,B0071CZTBA,I,0.0
598,B003STB5N6,I,0.0
598,B002Y08J3E,E,1.0
598,B0042YYVYG,C,0.1
600,B08HGZSXCG,S,0.01
600,B07YJF17C9,E,1.0
600,B082D7WVT8,E,1.0
