dataset,representation,products,passed,characters_equal,tokens_equal,representation_sha256
esci,C0_original,10076,10076,10076,10076,dbb607fb8196b500c174a8a9b9e2404c1b71787581e5937edd84860008b4fc3a
esci,C1_reverse_attribute_order,10076,10076,10076,10076,c2cff2647c39cb1a517c457c0f8650a5bc09305ebabe07f5dfb256a32fc45a6a
esci,C2_random_attribute_order_s1,10076,10076,10076,10076,2032144e026d865f20b06cd0c2d8b9d22207fe920e9c514b71265314588631ce
esci,C2_random_attribute_order_s2,10076,10076,10076,10076,8079678f67255b535131074db51dd7842cef7976eb2faeeafb3e37d51a465862
esci,C2_random_attribute_order_s3,10076,10076,10076,10076,5aa590e626f3d874aeb3e7cd2fe013b967dcf9bb5ab377811b7e0cf7bf49e191
esci,C2_random_attribute_order_s4,10076,10076,10076,10076,8bd94a03381fd4d7852aa9971f25447bb3e54c326b7d3395d7bf9f739bb8fb66
esci,C2_random_attribute_order_s5,10076,10076,10076,10076,6dff6e5d0242b9f232ad561273439eed91470aacf4e117c25151e32f6a532407
esci,C3_reverse_sentence_order,10076,10076,10076,10076,0d3bc3b76ceada61efaafdb36c3c5a6b2cc26d9ca8fa817785cef2615672837c
esci,C4_section_order,10076,10076,10076,10076,6d91d31074faa17d819e21fb9e479f90e00be6774dd8f72f65a3ce8cca3d895f
esci,C5_json_key_order_ascending,10076,10076,0,0,cf14460e3f330177e2adff061861ec974b6c8e2ed7b8279a647432e07f964e0e
esci,C5_json_key_order_descending,10076,10076,0,0,b2d9575f0700e8913d93516fc4438932cd1e71a9c52ff31d63f061a0c552cc81
