dataset,method,input_variant,products,passed,representation_sha256
wands,M1_factual_field_sentence,C0,42994,42994,a6d2f9c324043dae83251f6aca8c7f27a853bf24153f89d12f2af96a859eacda
wands,M1_factual_field_sentence,C1,42994,42994,0c2eb0ca15dfd014f2b0464f77b9611076ab1c01b667384508f8d3d949ffe2e8
wands,M1_factual_field_sentence,C2s1,42994,42994,63fe708dca2673803737ff16477924ddecf568589d672ceea02a6b67d8bd4658
wands,M1_factual_field_sentence,C2s2,42994,42994,336a2fd41231cb48ed16592e580a335c2c8bbf5f18bd95b30720654a8b6ba8b0
wands,M1_factual_field_sentence,C2s3,42994,42994,cc9d074901a3eb7ae5d5250f7866dbca14ddf3e9569a359d325f7d8b675f977d
wands,M1_factual_field_sentence,C2s4,42994,42994,1d96c4ca4776cf604e9a32ac235c5f50a5676c53f4659eb9260e4839bc679a7c
wands,M1_factual_field_sentence,C2s5,42994,42994,4652445d114cb24c645d6eb673547e7172d039198278c6534b4161ed2d78ed18
wands,M2_normalized_attributes,C0,42994,42994,038a9c56b4ef3f345bc0b5d53bc9f8fbceea8acc4a46f49b1f145306c5edfdd6
wands,M2_normalized_attributes,C1,42994,42994,038a9c56b4ef3f345bc0b5d53bc9f8fbceea8acc4a46f49b1f145306c5edfdd6
wands,M2_normalized_attributes,C2s1,42994,42994,038a9c56b4ef3f345bc0b5d53bc9f8fbceea8acc4a46f49b1f145306c5edfdd6
wands,M2_normalized_attributes,C2s2,42994,42994,038a9c56b4ef3f345bc0b5d53bc9f8fbceea8acc4a46f49b1f145306c5edfdd6
wands,M2_normalized_attributes,C2s3,42994,42994,038a9c56b4ef3f345bc0b5d53bc9f8fbceea8acc4a46f49b1f145306c5edfdd6
wands,M2_normalized_attributes,C2s4,42994,42994,038a9c56b4ef3f345bc0b5d53bc9f8fbceea8acc4a46f49b1f145306c5edfdd6
wands,M2_normalized_attributes,C2s5,42994,42994,038a9c56b4ef3f345bc0b5d53bc9f8fbceea8acc4a46f49b1f145306c5edfdd6
