query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.47699487556777737,0.125,0.16666666666666666,0.8333333333333334,0.3,0.5524972467195352,0.125,0.16666666666666666,0.8333333333333334,0.15,0.6119608865258268,0.125,0.16666666666666666,0.8333333333333334,0.08,0.28616377584947045
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.18148696901593003,0.32,0.14285714285714285,0.8571428571428572,0.9,0.4569838285396186,0.6,0.5714285714285714,0.4285714285714286,0.95,0.5731836594555889,0.88,0.8571428571428571,0.1428571428571429,0.6,0.36821236929443096
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,0.7821091513649008,0.25,0.4090909090909091,0.5909090909090908,1.0,0.794123380711093,0.425,0.6818181818181818,0.31818181818181823,0.85,0.888256935370754,0.625,0.9545454545454546,0.045454545454545414,0.5,0.6932381122950764
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.6341812332281984,0.625,0.5714285714285714,0.4285714285714286,1.0,0.8428845398656915,0.875,0.8571428571428571,0.1428571428571429,0.7,0.8428845398656915,0.875,0.8571428571428571,0.1428571428571429,0.28,0.051923775203393564
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.525283716127345,0.043478260869565216,0.0,1.0,0.2,0.5101572297562483,0.08695652173913043,0.07142857142857142,0.9285714285714286,0.15,0.7346414274289661,0.34782608695652173,0.42857142857142855,0.5714285714285714,0.24,0.2765290406661033
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,0.9223857137111114,0.28125,0.3076923076923077,0.6923076923076923,0.9,0.8726846256861425,0.5625,0.5769230769230769,0.42307692307692313,0.9,0.9613349274030012,0.875,0.8846153846153846,0.11538461538461542,0.56,0.540372079388969
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.5422735117344608,0.0,0.0,1.0,0.0,0.5422735117344608,0.0,0.0,1.0,0.0,0.5422735117344608,0.0,0.0,1.0,0.0,-0.284352212680297
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.5581427278018961,0.23684210526315788,0.2692307692307692,0.7307692307692308,1.0,0.5804069833293871,0.5,0.5,0.5,1.0,0.8013091870271822,1.0,1.0,0.0,0.8,-0.041788559858251875
637,1 1/4” npt,attribute_constraint,16,13,0.853648803993702,0.625,0.6153846153846154,0.3846153846153846,1.0,0.9684568844608561,0.875,0.9230769230769231,0.07692307692307687,0.7,0.9684568844608561,0.9375,0.9230769230769231,0.07692307692307687,0.3,0.08642716314028857
861,1 pint mason jars without words,multi_constraint,40,24,0.17689820447100543,0.16216216216216217,0.08333333333333333,0.9166666666666666,0.7,0.28634441917138714,0.2702702702702703,0.125,0.875,0.6,0.6862236577740961,0.6756756756756757,0.5416666666666666,0.45833333333333337,0.56,-0.5377879601132782
933,1'' oil hose,attribute_constraint,16,4,0.5554006213547952,0.5625,0.5,0.5,0.9,0.7553898514746287,0.8125,0.75,0.25,0.65,0.7553898514746287,0.9375,1.0,0.0,0.3,0.009440686400617012
978,1.25 sunglasses for women,multi_constraint,16,12,0.7504557090765996,0.5625,0.5833333333333334,0.41666666666666663,0.9,0.9269239489908836,0.9375,1.0,0.0,0.75,0.9269239489908836,1.0,1.0,0.0,0.32,0.03131121455425748
1210,10 hottest models without cloth,multi_constraint,35,2,0.3086806638090321,0.0,0.0,1.0,0.0,0.3086806638090321,0.0,0.0,1.0,0.0,0.4396673539742933,0.0,0.0,1.0,0.0,0.1420070754252136
1293,10 qt stainless steel pot without aluminum,multi_constraint,39,10,0.11389636464243125,0.1724137931034483,0.1,0.9,1.0,0.2773605261334438,0.5172413793103449,0.4,0.6,1.0,0.5423824017151471,1.0,1.0,0.0,0.76,-0.16225261455882334
1310,10 succulent plants without plastic containers,multi_constraint,40,1,0.16509213678493326,0.2608695652173913,0.0,1.0,1.0,0.38302684502510675,0.43478260869565216,1.0,0.0,0.75,0.4977926918924453,0.8260869565217391,1.0,0.0,0.66,0.1240593026123446
1458,100% cranberry juice not from concentrate,multi_constraint,39,15,0.694765116060299,0.24242424242424243,0.5333333333333333,0.4666666666666667,1.0,0.7091231285867778,0.48484848484848486,0.8,0.19999999999999996,1.0,0.8190846533518596,0.9696969696969697,1.0,0.0,0.74,0.3301508382118721
1476,100% remy hair bundles without weft for box braids,long_descriptive,40,17,0.7037654363086521,0.2857142857142857,0.35294117647058826,0.6470588235294117,1.0,0.6519070435818471,0.4857142857142857,0.5294117647058824,0.47058823529411764,0.95,0.8783747330052256,0.9142857142857143,0.8823529411764706,0.11764705882352944,0.74,0.16409420845121733
1530,104 bcd crank arms without chainring,multi_constraint,40,17,0.7190964364896175,0.25,0.35294117647058826,0.6470588235294117,1.0,0.7097515403219669,0.5357142857142857,0.6470588235294118,0.3529411764705882,1.0,0.9077111256391068,0.9285714285714286,1.0,0.0,0.74,0.2604102376984899
1659,10×6 patio gazebo without cover,multi_constraint,40,5,0.5472288282724072,0.23809523809523808,0.6,0.4,1.0,0.5531428125548205,0.42857142857142855,0.6,0.4,1.0,0.7057890346292406,0.6190476190476191,0.8,0.19999999999999996,0.6,-0.10883080799017382
1816,12 hp engine,attribute_constraint,16,4,0.024303017782019924,0.42857142857142855,0.0,1.0,0.8,0.4148756097781893,0.8571428571428571,0.5,0.5,0.7,0.4148756097781893,1.0,1.0,0.0,0.32,-0.7152219071822722
2286,16x48 frame,attribute_constraint,39,13,0.4924013878423087,0.2,0.15384615384615385,0.8461538461538461,0.4,0.7452953401847227,0.35,0.3076923076923077,0.6923076923076923,0.4,0.8241537917030812,0.55,0.5384615384615384,0.46153846153846156,0.26,0.48993494704472856
