query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.47792549983003035,0.0,0.0,1.0,0.2,0.5518122839639865,0.125,0.16666666666666666,0.8333333333333334,0.15,0.6127939144263428,0.25,0.3333333333333333,0.6666666666666667,0.08,0.2872416055136869
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.2709192279082194,0.32,0.2857142857142857,0.7142857142857143,0.9,0.4120795852003765,0.6,0.5714285714285714,0.4285714285714286,0.9,0.5902214917033233,0.92,1.0,0.0,0.58,0.4222544914033617
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,0.9223857137111114,0.175,0.2727272727272727,0.7272727272727273,0.7,0.8492278920897143,0.25,0.4090909090909091,0.5909090909090908,0.5,0.9658265460469786,0.55,0.8181818181818182,0.18181818181818177,0.44,0.6305006560121135
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.4577088829029652,0.625,0.42857142857142855,0.5714285714285714,1.0,0.7356150215281501,0.8125,0.8571428571428571,0.1428571428571429,0.65,0.7356150215281501,0.875,0.8571428571428571,0.1428571428571429,0.28,-0.11328823680740416
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.3802484538512302,0.08695652173913043,0.07142857142857142,0.9285714285714286,0.3,0.5221442722279165,0.13043478260869565,0.14285714285714285,0.8571428571428572,0.2,0.7093571080313654,0.30434782608695654,0.2857142857142857,0.7142857142857143,0.2,0.26616729675355605
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,0.934408318780155,0.28125,0.3076923076923077,0.6923076923076923,0.9,0.8836757537177361,0.5625,0.5769230769230769,0.42307692307692313,0.9,0.9721730899240196,0.875,0.8846153846153846,0.11538461538461542,0.56,0.5846947330916598
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.6666797210423491,0.0,0.0,1.0,0.0,0.6666797210423491,0.0,0.0,1.0,0.0,0.6666797210423491,0.0,0.0,1.0,0.0,0.22193343428706105
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.27679465282590704,0.21052631578947367,0.15384615384615385,0.8461538461538461,1.0,0.49526609091847446,0.47368421052631576,0.5,0.5,1.0,0.7326223582461816,1.0,1.0,0.0,0.8,-0.277547547293844
637,1 1/4” npt,attribute_constraint,16,13,0.8335292363957784,0.625,0.6153846153846154,0.3846153846153846,1.0,0.9493703038270931,0.75,0.7692307692307693,0.23076923076923073,0.6,0.9493703038270931,1.0,1.0,0.0,0.32,-0.08426648406178137
861,1 pint mason jars without words,multi_constraint,40,24,0.22726924973145812,0.10810810810810811,0.041666666666666664,0.9583333333333334,0.6,0.3951789993366976,0.2702702702702703,0.16666666666666666,0.8333333333333334,0.6,0.7060895469218356,0.6486486486486487,0.5833333333333334,0.41666666666666663,0.52,-0.32021456325910913
933,1'' oil hose,attribute_constraint,16,4,0.4559607303240863,0.5625,0.75,0.25,0.9,0.5775999641794519,0.75,0.75,0.25,0.6,0.5775999641794519,0.8125,0.75,0.25,0.26,-0.04877687973652122
978,1.25 sunglasses for women,multi_constraint,16,12,0.5500467065408338,0.5625,0.4166666666666667,0.5833333333333333,0.9,0.7959455460993566,0.8125,0.75,0.25,0.65,0.7959455460993566,1.0,1.0,0.0,0.32,-0.4070457892053472
1210,10 hottest models without cloth,multi_constraint,35,2,0.30483408591490263,0.0,0.0,1.0,0.0,0.30771367544543765,0.0,0.0,1.0,0.0,0.4424898049098444,0.0,0.0,1.0,0.0,0.10320871374653917
1293,10 qt stainless steel pot without aluminum,multi_constraint,39,10,0.09061247389306948,0.2413793103448276,0.1,0.9,1.0,0.2502589606713954,0.5172413793103449,0.4,0.6,1.0,0.5138469284674312,1.0,1.0,0.0,0.78,-0.15907119074394444
1310,10 succulent plants without plastic containers,multi_constraint,40,1,0.37723052129896706,0.21739130434782608,0.0,1.0,0.8,0.3879042984583476,0.43478260869565216,1.0,0.0,0.85,0.5152953328613303,0.7391304347826086,1.0,0.0,0.62,0.01964786633412754
1458,100% cranberry juice not from concentrate,multi_constraint,39,15,0.5659454449967092,0.24242424242424243,0.4,0.6,1.0,0.6507975248123984,0.48484848484848486,0.7333333333333333,0.2666666666666667,1.0,0.7993257557902895,0.9090909090909091,1.0,0.0,0.7,0.2548283456529383
1476,100% remy hair bundles without weft for box braids,long_descriptive,40,17,0.6348328845827338,0.2857142857142857,0.4117647058823529,0.5882352941176471,1.0,0.6069873636356572,0.5428571428571428,0.6470588235294118,0.3529411764705882,1.0,0.8011963267452042,0.9428571428571428,0.8823529411764706,0.11764705882352944,0.74,0.28757305933801647
1530,104 bcd crank arms without chainring,multi_constraint,40,17,0.4786094609516619,0.25,0.29411764705882354,0.7058823529411764,1.0,0.5260639086561749,0.4642857142857143,0.5882352941176471,0.4117647058823529,1.0,0.757502400333843,0.9642857142857143,0.9411764705882353,0.05882352941176472,0.76,0.0603086662659227
1659,10×6 patio gazebo without cover,multi_constraint,40,5,0.5229578141712268,0.23809523809523808,0.6,0.4,1.0,0.5211193039342903,0.38095238095238093,0.6,0.4,0.85,0.6874388906481033,0.47619047619047616,0.8,0.19999999999999996,0.52,-0.21008989928344315
1816,12 hp engine,attribute_constraint,16,4,0.41499787486881007,0.42857142857142855,0.75,0.25,0.8,0.5241028467100174,0.8571428571428571,1.0,0.0,0.7,0.5241028467100174,1.0,1.0,0.0,0.32,-0.2062195887985499
2286,16x48 frame,attribute_constraint,39,13,0.4638949125786762,0.2,0.15384615384615385,0.8461538461538461,0.4,0.7245228710484519,0.25,0.15384615384615385,0.8461538461538461,0.3,0.797458184756536,0.35,0.23076923076923078,0.7692307692307692,0.18,0.43655167050946314
2390,18x13 setting ring,attribute_constraint,16,2,0.046021084098661805,0.5,0.0,1.0,0.8,0.37174973155032187,0.6875,0.5,0.5,0.55,0.37174973155032187,0.875,1.0,0.0,0.28,-0.3525119939553163
2692,2 ton jack handle replacement,multi_constraint,16,7,0.31656629930847857,0.5,0.42857142857142855,0.5714285714285714,0.9,0.6067163708640733,0.75,0.7142857142857143,0.2857142857142857,0.6,0.6067163708640733,0.875,0.8571428571428571,0.1428571428571429,0.3,-0.24258614802928524
2855,20lb maxima chameleon,attribute_constraint,40,7,0.6253405387888746,0.2647058823529412,0.7142857142857143,0.2857142857142857,1.0,0.6881534862927468,0.4117647058823529,0.7142857142857143,0.2857142857142857,0.75,0.7500563423476054,0.6176470588235294,0.8571428571428571,0.1428571428571429,0.46,0.34740583814268206
3012,24 rims 6 lug,attribute_constraint,17,5,0.29057382791618014,0.23076923076923078,0.2,0.8,0.3,0.5653822605494835,0.5384615384615384,0.4,0.6,0.35,0.5653822605494835,0.6153846153846154,0.6,0.4,0.22,0.07795399487531987
3492,3.5 ft christmas tree with lights,multi_constraint,15,1,0.3317012581794504,0.6666666666666666,1.0,0.0,1.0,0.34009974361023326,1.0,1.0,0.0,0.75,0.34009974361023326,1.0,1.0,0.0,0.3,-0.06185895741317418
3494,3.5 mm male to male rca cable,long_descriptive,16,11,0.6943975643980346,0.5833333333333334,0.5454545454545454,0.4545454545454546,1.0,0.9198641513370991,1.0,1.0,0.0,0.8,0.9198641513370991,1.0,1.0,0.0,0.32,-0.12111950561541636
3986,3w landscape light,attribute_constraint,16,14,0.8233444188769754,0.625,0.5714285714285714,0.4285714285714286,1.0,0.9405119164503054,1.0,1.0,0.0,0.8,0.9405119164503054,1.0,1.0,0.0,0.32,-0.319568745353071
4299,49ers gym apparel,attribute_constraint,16,1,1.0,0.4375,1.0,0.0,0.7,1.0,0.5625,1.0,0.0,0.45,1.0,0.625,1.0,0.0,0.2,0.42008402520840293
4321,4exls,attribute_constraint,32,5,0.44269076145768443,0.0,0.0,1.0,0.0,0.6121389985404749,0.0,0.0,1.0,0.0,0.6121389985404748,0.0,0.0,1.0,0.0,0.3939099824322395
4860,6 gallon water dispenser,attribute_constraint,16,2,0.6893063042718535,0.5,1.0,0.0,0.8,0.6918819810515091,0.75,1.0,0.0,0.6,0.6918819810515091,0.8125,1.0,0.0,0.26,0.8199777102934879
4956,60 watt speaker amp,attribute_constraint,16,7,0.7018491884539265,0.4375,0.5714285714285714,0.4285714285714286,0.7,0.8493906324010279,0.6875,0.7142857142857143,0.2857142857142857,0.55,0.8493906324010279,0.9375,0.8571428571428571,0.1428571428571429,0.3,0.060249189259569236
5079,6x6 square mold,attribute_constraint,16,10,0.3658145012260193,0.25,0.2,0.8,0.4,0.707262371069296,0.3125,0.3,0.7,0.25,0.707262371069296,0.3125,0.3,0.7,0.1,-0.44808962688896314
5094,7 1/8 baseball helmet,multi_constraint,16,11,0.6960554169609594,0.5625,0.5454545454545454,0.4545454545454546,0.9,0.873591568048584,0.9375,0.9090909090909091,0.09090909090909094,0.75,0.873591568048584,1.0,1.0,0.0,0.32,-0.014625448482542613
5419,8x12 rustic picture frame,style,16,5,0.7133390390593473,0.5625,0.6,0.4,0.9,0.8075099012397797,0.875,1.0,0.0,0.7,0.8075099012397797,1.0,1.0,0.0,0.32,0.2486326242032244
5787,a big idea not the savior,multi_constraint,13,2,0.6934844378041218,0.0,0.0,1.0,0.1,0.6934844378041218,0.0,0.0,1.0,0.05,0.6934844378041218,0.3333333333333333,0.5,0.5,0.04,0.510313761738928
5921,a world without you,product_type,17,2,0.6974197706720918,0.3333333333333333,0.0,1.0,0.1,0.6974197706720918,0.6666666666666666,0.5,0.5,0.1,0.6974197706720918,1.0,1.0,0.0,0.12,0.6531409780858203
6138,abu garcia baitcasting combo,product_type,15,3,0.5274854588752238,0.6666666666666666,1.0,0.0,1.0,0.5303572629439687,1.0,1.0,0.0,0.75,0.5303572629439687,1.0,1.0,0.0,0.3,0.23145502494313785
