query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.48493117976310685,0.125,0.16666666666666666,0.8333333333333334,0.3,0.5604335509148646,0.125,0.16666666666666666,0.8333333333333334,0.15,0.6189823883484527,0.375,0.5,0.5,0.12,0.27484656437519756
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.2710384617046583,0.36,0.2857142857142857,0.7142857142857143,1.0,0.41650897722278885,0.6,0.5714285714285714,0.4285714285714286,0.95,0.5918160090036136,0.96,1.0,0.0,0.64,0.38656249284634403
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,0.7821091513649008,0.225,0.36363636363636365,0.6363636363636364,0.9,0.7910510423439341,0.4,0.6363636363636364,0.36363636363636365,0.8,0.8868397240257343,0.625,0.9545454545454546,0.045454545454545414,0.5,0.6948550570446372
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.5955702908307675,0.625,0.5714285714285714,0.4285714285714286,1.0,0.810070258584363,0.8125,0.8571428571428571,0.1428571428571429,0.65,0.810070258584363,0.9375,1.0,0.0,0.3,-0.004720343200308506
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.37329483148434467,0.0,0.0,1.0,0.1,0.5237366872072321,0.13043478260869565,0.14285714285714285,0.8571428571428572,0.2,0.7149474696401702,0.21739130434782608,0.2857142857142857,0.7142857142857143,0.18,0.194606502857527
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,0.8586328074042242,0.28125,0.2692307692307692,0.7307692307692308,0.9,0.870765437971509,0.5625,0.5769230769230769,0.42307692307692313,0.9,0.9596193573605366,0.9375,0.9615384615384616,0.038461538461538436,0.6,0.5326004360000042
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.6064543716437637,0.0,0.0,1.0,0.0,0.6064543716437637,0.0,0.0,1.0,0.0,0.6064543716437637,0.0,0.0,1.0,0.0,0.1456438162508838
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.6079782290674081,0.23684210526315788,0.2692307692307692,0.7307692307692308,1.0,0.6116614276637198,0.5,0.5,0.5,1.0,0.8287886377024847,1.0,1.0,0.0,0.8,0.020112141108249562
637,1 1/4” npt,attribute_constraint,16,13,0.8285452329852562,0.625,0.6153846153846154,0.3846153846153846,1.0,0.9472795731762512,0.9375,0.9230769230769231,0.07692307692307687,0.75,0.9472795731762512,0.9375,0.9230769230769231,0.07692307692307687,0.3,-0.060499014198202014
861,1 pint mason jars without words,multi_constraint,40,24,0.12412432173865795,0.13513513513513514,0.041666666666666664,0.9583333333333334,0.6,0.36167987749939495,0.32432432432432434,0.16666666666666666,0.8333333333333334,0.7,0.69915274284923,0.7027027027027027,0.625,0.375,0.58,-0.4610227180121046
933,1'' oil hose,attribute_constraint,16,4,0.4545643337844557,0.625,0.75,0.25,1.0,0.5585749725340863,0.8125,0.75,0.25,0.65,0.5585749725340863,0.875,0.75,0.25,0.28,-0.006293790933744675
978,1.25 sunglasses for women,multi_constraint,16,12,0.6290805551822863,0.5,0.4166666666666667,0.5833333333333333,0.8,0.816658688688013,0.875,0.8333333333333334,0.16666666666666663,0.7,0.816658688688013,1.0,1.0,0.0,0.32,-0.18786728732554486
1210,10 hottest models without cloth,multi_constraint,35,2,0.6127165126889542,0.0,0.0,1.0,0.0,0.6127165126889542,0.0,0.0,1.0,0.0,0.7468861313617601,0.0,0.0,1.0,0.0,0.11259132408713364
1293,10 qt stainless steel pot without aluminum,multi_constraint,39,10,0.183430249698699,0.2413793103448276,0.2,0.8,1.0,0.2355866604459382,0.4827586206896552,0.3,0.7,1.0,0.5487439325665209,1.0,1.0,0.0,0.76,-0.14634549548442888
1310,10 succulent plants without plastic containers,multi_constraint,40,1,0.37100351930811437,0.17391304347826086,1.0,0.0,0.8,0.4158868521328303,0.4782608695652174,1.0,0.0,0.8,0.5305643567277807,0.8260869565217391,1.0,0.0,0.68,0.08949551680990032
1458,100% cranberry juice not from concentrate,multi_constraint,39,15,0.6410457898283654,0.24242424242424243,0.5333333333333333,0.4666666666666667,1.0,0.6212194768146979,0.48484848484848486,0.7333333333333333,0.2666666666666667,1.0,0.769350421058325,0.9393939393939394,1.0,0.0,0.72,0.27800449720953335
1476,100% remy hair bundles without weft for box braids,long_descriptive,40,17,0.6017168040851397,0.2571428571428571,0.29411764705882354,0.7058823529411764,1.0,0.6187047558192711,0.4857142857142857,0.5294117647058824,0.47058823529411764,0.95,0.843727312382992,0.8857142857142857,0.8823529411764706,0.11764705882352944,0.72,0.09408884340299899
