query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.38213051174343626,0.0,0.0,1.0,0.0,0.4576529565369897,0.0,0.0,1.0,0.0,0.5769609553815102,0.0,0.0,1.0,0.02,0.208021125193777
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.18398974951246583,0.32,0.2857142857142857,0.7142857142857143,1.0,0.25299973601405407,0.52,0.42857142857142855,0.5714285714285714,0.8,0.4825457997634323,0.72,0.5714285714285714,0.4285714285714286,0.46,0.30408776171741614
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,0.7116249714127403,0.25,0.3181818181818182,0.6818181818181819,1.0,0.8138921724385799,0.5,0.7727272727272727,0.2272727272727273,1.0,0.9084832479617967,0.775,1.0,0.0,0.62,0.6551860125220765
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.7668322655973528,0.625,0.7142857142857143,0.2857142857142857,1.0,0.9056010679996891,0.9375,1.0,0.0,0.75,0.9056010679996891,0.9375,1.0,0.0,0.3,0.2596188760169678
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.3874505405941467,0.13043478260869565,0.14285714285714285,0.8571428571428572,0.6,0.4806816739298298,0.21739130434782608,0.2857142857142857,0.7142857142857143,0.55,0.71052522467469,0.43478260869565216,0.5,0.5,0.38,0.03367566771577838
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,0.9157083135347952,0.25,0.2692307692307692,0.7307692307692308,0.8,0.8780951103659876,0.53125,0.5769230769230769,0.42307692307692313,0.85,0.9662925281540459,0.9375,0.9615384615384616,0.038461538461538436,0.6,0.5956236066073918
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.5409153508767619,0.0,0.0,1.0,0.0,0.5409153508767619,0.0,0.0,1.0,0.0,0.5409153508767619,0.0,0.0,1.0,0.0,-0.048547938750294596
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.7873426027084356,0.2631578947368421,0.2692307692307692,0.7307692307692308,1.0,0.6819755012389984,0.5,0.46153846153846156,0.5384615384615384,1.0,0.9107604119916827,1.0,1.0,0.0,0.8,-0.06737567271263604
637,1 1/4” npt,attribute_constraint,16,13,0.7191245710479386,0.5625,0.6153846153846154,0.3846153846153846,0.9,0.8549725696015604,0.9375,0.9230769230769231,0.07692307692307687,0.75,0.8549725696015604,0.9375,0.9230769230769231,0.07692307692307687,0.3,-0.02376746986357936
861,1 pint mason jars without words,multi_constraint,40,24,0.33339305026591437,0.13513513513513514,0.08333333333333333,0.9166666666666666,0.6,0.3622824999632142,0.21621621621621623,0.16666666666666666,0.8333333333333334,0.45,0.7252766089572821,0.6756756756756757,0.5833333333333334,0.41666666666666663,0.56,-0.416602381290639
