query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.3478570944939549,0.0,0.0,1.0,0.0,0.43018253747968266,0.0,0.0,1.0,0.0,0.5485577884960954,0.0,0.0,1.0,0.0,0.21125461418642635
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.11448397025385665,0.32,0.14285714285714285,0.8571428571428572,1.0,0.25699950211942724,0.52,0.42857142857142855,0.5714285714285714,0.8,0.4852651754084126,0.72,0.5714285714285714,0.4285714285714286,0.48,0.24782749280550692
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,0.7821091513649008,0.25,0.4090909090909091,0.5909090909090908,1.0,0.7885664906031151,0.5,0.7727272727272727,0.2272727272727273,1.0,0.8848400402903487,0.775,1.0,0.0,0.62,0.6946394644113625
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.6948246481139794,0.625,0.5714285714285714,0.4285714285714286,1.0,0.9076226563025087,0.9375,1.0,0.0,0.75,0.9076226563025087,0.9375,1.0,0.0,0.3,0.2596188760169678
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.45228976762779693,0.13043478260869565,0.14285714285714285,0.8571428571428572,0.6,0.5400075293732468,0.21739130434782608,0.2857142857142857,0.7142857142857143,0.4,0.768655000905539,0.43478260869565216,0.5,0.5,0.38,0.07123698939876197
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,0.9223857137111114,0.25,0.2692307692307692,0.7307692307692308,0.8,0.8810330215123762,0.53125,0.5384615384615384,0.46153846153846156,0.85,0.9685101209020238,0.96875,1.0,0.0,0.62,0.5878519632184269
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.5558263241575514,0.0,0.0,1.0,0.0,0.5558263241575514,0.0,0.0,1.0,0.0,0.5558263241575514,0.0,0.0,1.0,0.0,-0.020806259464411975
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.7243580223914734,0.2631578947368421,0.23076923076923078,0.7692307692307692,1.0,0.6501647702402658,0.47368421052631576,0.4230769230769231,0.5769230769230769,1.0,0.9121848894130901,1.0,1.0,0.0,0.8,-0.025251910502580008
637,1 1/4” npt,attribute_constraint,16,13,0.7821091513649008,0.5625,0.6153846153846154,0.3846153846153846,0.9,0.8574375435651955,0.9375,0.9230769230769231,0.07692307692307687,0.75,0.8574375435651955,1.0,1.0,0.0,0.32,0.019446111706564934
861,1 pint mason jars without words,multi_constraint,40,24,0.23846903594000682,0.10810810810810811,0.041666666666666664,0.9583333333333334,0.5,0.40740978410668494,0.21621621621621623,0.125,0.875,0.45,0.7112669674697232,0.6756756756756757,0.5833333333333334,0.41666666666666663,0.56,-0.3578424698508361
933,1'' oil hose,attribute_constraint,16,4,0.2178226649098611,0.5625,0.25,0.75,0.9,0.506140520586121,0.8125,0.5,0.5,0.65,0.506140520586121,0.8125,0.5,0.5,0.26,-0.23444371228198915
978,1.25 sunglasses for women,multi_constraint,16,12,0.643887187266689,0.5625,0.5,0.5,0.9,0.8298424013180897,0.875,0.8333333333333334,0.16666666666666663,0.7,0.8298424013180897,1.0,1.0,0.0,0.32,-0.09393364366277243
1210,10 hottest models without cloth,multi_constraint,35,2,0.21716818455678527,0.0,0.0,1.0,0.0,0.3650748389885737,0.0,0.0,1.0,0.0,0.3663298216088048,0.0,0.0,1.0,0.0,0.09686911216505642
1293,10 qt stainless steel pot without aluminum,multi_constraint,39,10,0.3311383001589087,0.27586206896551724,0.3,0.7,1.0,0.3878022283874074,0.5172413793103449,0.4,0.6,0.95,0.6557642902757475,0.9310344827586207,0.9,0.09999999999999998,0.7,0.08589844300173001
1310,10 succulent plants without plastic containers,multi_constraint,40,1,0.15628179092621683,0.2608695652173913,0.0,1.0,0.8,0.19728835645857068,0.391304347826087,0.0,1.0,0.8,0.4450082976857219,0.6521739130434783,1.0,0.0,0.6,-0.10163398920480635
