query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.35638503895657003,0.125,0.0,1.0,0.2,0.5161308253591925,0.125,0.0,1.0,0.1,0.5755857824194074,0.5,0.5,0.5,0.16,0.28077462752838805
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.17503582666179826,0.28,0.2857142857142857,0.7142857142857143,1.0,0.3910118094372959,0.64,0.7142857142857143,0.2857142857142857,1.0,0.5101500874232469,0.96,1.0,0.0,0.66,0.3565166861514534
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,0.9312630902825905,0.25,0.4090909090909091,0.5909090909090908,1.0,0.923680433916772,0.45,0.7272727272727273,0.2727272727272727,0.9,0.9786203673830874,0.65,0.9090909090909091,0.09090909090909094,0.52,0.7178156724884022
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.6742297860715859,0.625,0.5714285714285714,0.4285714285714286,1.0,0.8756286839347496,0.8125,0.8571428571428571,0.1428571428571429,0.65,0.8756286839347496,0.8125,0.8571428571428571,0.1428571428571429,0.26,0.051923775203393564
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.5995279215904207,0.17391304347826086,0.21428571428571427,0.7857142857142857,0.6,0.6467816440069781,0.30434782608695654,0.42857142857142855,0.5714285714285714,0.55,0.8012585021879498,0.5652173913043478,0.7142857142857143,0.2857142857142857,0.4,0.20853009624001229
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,0.8134402893935617,0.25,0.23076923076923078,0.7692307692307692,0.8,0.8115928208909786,0.5,0.5,0.5,0.8,0.9362987273420217,0.875,0.8846153846153846,0.11538461538461542,0.56,0.5108641208964928
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.5253984689259608,0.0,0.0,1.0,0.1,0.5253984689259608,0.0,0.0,1.0,0.05,0.5253984689259608,0.0,0.0,1.0,0.02,-0.2149980144655904
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.7044948650760122,0.2631578947368421,0.3076923076923077,0.6923076923076923,1.0,0.7101932311702258,0.5263157894736842,0.5769230769230769,0.42307692307692313,1.0,0.8624305147046836,1.0,1.0,0.0,0.8,0.19005973347295838
637,1 1/4” npt,attribute_constraint,16,13,0.862526180565181,0.3125,0.3076923076923077,0.6923076923076923,0.5,0.9275942302394851,0.375,0.38461538461538464,0.6153846153846154,0.3,0.9275942302394851,0.625,0.6923076923076923,0.3076923076923077,0.2,0.14260481918147616
861,1 pint mason jars without words,multi_constraint,40,24,0.22590150921766258,0.1891891891891892,0.08333333333333333,0.9166666666666666,0.8,0.3278460934157215,0.3783783783783784,0.25,0.75,0.75,0.6936016721070141,0.7027027027027027,0.5833333333333334,0.41666666666666663,0.58,-0.4546615532874287
