query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.34778847820660924,0.0,0.0,1.0,0.1,0.42940296394635935,0.125,0.0,1.0,0.1,0.5538213661930792,0.25,0.16666666666666666,0.8333333333333334,0.06,0.1958955414713418
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.4957617275563326,0.36,0.42857142857142855,0.5714285714285714,1.0,0.5640215205180839,0.6,0.5714285714285714,0.4285714285714286,0.95,0.7421463538129472,0.96,1.0,0.0,0.64,0.4291105815216589
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,1.0,0.225,0.4090909090909091,0.5909090909090908,0.9,0.9648450901906698,0.375,0.6363636363636364,0.36363636363636365,0.75,0.9879099105350928,0.55,0.8636363636363636,0.13636363636363635,0.44,0.7238522662200961
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.6845904220808889,0.625,0.5714285714285714,0.4285714285714286,1.0,0.8946358241711992,0.8125,0.8571428571428571,0.1428571428571429,0.65,0.8946358241711992,0.875,0.8571428571428571,0.1428571428571429,0.28,0.06136446160401058
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.5690805398736256,0.13043478260869565,0.21428571428571427,0.7857142857142857,0.4,0.7134702431845442,0.34782608695652173,0.35714285714285715,0.6428571428571428,0.55,0.8320075883562319,0.6956521739130435,0.8571428571428571,0.1428571428571429,0.42,0.33999472213045484
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,0.7269113173698524,0.25,0.23076923076923078,0.7692307692307692,0.8,0.8237574809965629,0.53125,0.5384615384615384,0.46153846153846156,0.85,0.9223998634169828,0.90625,0.9230769230769231,0.07692307692307687,0.58,0.5302932293689052
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.4761313846686031,0.0,0.0,1.0,0.1,0.4761313846686031,0.0,0.0,1.0,0.05,0.4761313846686031,0.0,0.0,1.0,0.02,-0.5132210667888286
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.7517592238842331,0.2631578947368421,0.2692307692307692,0.7307692307692308,1.0,0.6629167095531796,0.47368421052631576,0.46153846153846156,0.5384615384615384,1.0,0.892970840343948,1.0,1.0,0.0,0.8,-0.08514139735825649
637,1 1/4” npt,attribute_constraint,16,13,0.862526180565181,0.375,0.38461538461538464,0.6153846153846154,0.6,0.9261396423069721,0.4375,0.46153846153846156,0.5384615384615384,0.35,0.9261396423069721,0.4375,0.46153846153846156,0.5384615384615384,0.14,0.11235531208237516
861,1 pint mason jars without words,multi_constraint,40,24,0.3240055656752394,0.1891891891891892,0.08333333333333333,0.9166666666666666,0.8,0.3548999936613054,0.35135135135135137,0.25,0.75,0.7,0.7209349653654321,0.7027027027027027,0.5833333333333334,0.41666666666666663,0.58,-0.36981008484132805
933,1'' oil hose,attribute_constraint,16,4,0.3799473294728429,0.4375,0.25,0.75,0.7,0.5836507136939907,0.625,0.5,0.5,0.5,0.5836507136939907,0.875,0.75,0.25,0.28,-0.03933619333590422
978,1.25 sunglasses for women,multi_constraint,16,12,0.5758984222126721,0.625,0.5833333333333334,0.41666666666666663,1.0,0.7680075129552035,1.0,1.0,0.0,0.8,0.7680075129552035,1.0,1.0,0.0,0.32,-0.3131121455425747
1210,10 hottest models without cloth,multi_constraint,35,2,0.0,0.0,0.0,1.0,0.0,0.1540183335760321,0.0,0.0,1.0,0.0,0.27953388615846353,0.0,0.0,1.0,0.0,-0.10853397907498467
1293,10 qt stainless steel pot without aluminum,multi_constraint,39,10,0.18406122580020212,0.2413793103448276,0.2,0.8,0.9,0.23897321220921572,0.4827586206896552,0.3,0.7,0.9,0.549758669816508,0.9655172413793104,1.0,0.0,0.72,-0.09226129063148777
1310,10 succulent plants without plastic containers,multi_constraint,40,1,0.1386833555812285,0.2608695652173913,0.0,1.0,1.0,0.18321250696794458,0.34782608695652173,0.0,1.0,0.65,0.4354174976044222,0.43478260869565216,0.0,1.0,0.4,-0.07879720215676281
1458,100% cranberry juice not from concentrate,multi_constraint,39,15,0.5277270470710473,0.21212121212121213,0.3333333333333333,0.6666666666666667,1.0,0.6179636609021563,0.36363636363636365,0.5333333333333333,0.4666666666666667,0.85,0.7987482650332802,0.7575757575757576,0.8666666666666667,0.1333333333333333,0.62,0.03815319289269648
1476,100% remy hair bundles without weft for box braids,long_descriptive,40,17,0.3221712531170106,0.22857142857142856,0.17647058823529413,0.8235294117647058,1.0,0.3918189909328387,0.4857142857142857,0.4117647058823529,0.5882352941176471,1.0,0.7135503396287708,0.8857142857142857,0.9411764705882353,0.05882352941176472,0.72,-0.14368448103191173
1530,104 bcd crank arms without chainring,multi_constraint,40,17,0.2512542881071594,0.21428571428571427,0.17647058823529413,0.8235294117647058,1.0,0.4455061941611241,0.5,0.5882352941176471,0.4117647058823529,1.0,0.6805608138242739,0.9642857142857143,1.0,0.0,0.76,0.005067120229921018
1659,10×6 patio gazebo without cover,multi_constraint,40,5,0.11174037894918502,0.19047619047619047,0.2,0.8,1.0,0.28090466049574375,0.47619047619047616,0.6,0.4,1.0,0.44195825379640585,0.8095238095238095,0.8,0.19999999999999996,0.6,-0.07914967853830825
1816,12 hp engine,attribute_constraint,16,4,0.7056150022648632,0.6428571428571429,1.0,0.0,0.9,0.7150629602657437,0.9285714285714286,1.0,0.0,0.75,0.7150629602657437,1.0,1.0,0.0,0.32,0.4075291873876105
2286,16x48 frame,attribute_constraint,39,13,0.389777477273948,0.15,0.07692307692307693,0.9230769230769231,0.3,0.5614477011504675,0.2,0.15384615384615385,0.8461538461538461,0.2,0.7148834445097596,0.45,0.38461538461538464,0.6153846153846154,0.22,0.3818448416634061
2390,18x13 setting ring,attribute_constraint,16,2,0.19695604583270793,0.5,0.0,1.0,0.8,0.369450819058008,0.6875,0.5,0.5,0.55,0.369450819058008,0.8125,0.5,0.5,0.26,-0.4687247392153107
2692,2 ton jack handle replacement,multi_constraint,16,7,0.7147042987110624,0.625,0.7142857142857143,0.2857142857142857,1.0,0.8513203089696841,0.75,0.7142857142857143,0.2857142857142857,0.7,0.8513203089696841,0.875,0.8571428571428571,0.1428571428571429,0.3,0.14522163963657891
2855,20lb maxima chameleon,attribute_constraint,40,7,0.2697808169721193,0.17647058823529413,0.14285714285714285,0.8571428571428572,0.7,0.41960404741189605,0.3235294117647059,0.5714285714285714,0.4285714285714286,0.6,0.5366043691127873,0.5294117647058824,0.7142857142857143,0.2857142857142857,0.38,0.2679766334397793
3012,24 rims 6 lug,attribute_constraint,17,5,0.6095252266197635,0.38461538461538464,0.4,0.6,0.5,0.7803300376407457,0.6153846153846154,0.6,0.4,0.6,0.7803300376407457,0.8461538461538461,0.8,0.19999999999999996,0.3,-0.014533795654720655
3492,3.5 ft christmas tree with lights,multi_constraint,15,1,0.3317012581794504,0.6666666666666666,1.0,0.0,1.0,0.34009974361023326,1.0,1.0,0.0,0.75,0.34009974361023326,1.0,1.0,0.0,0.3,-0.06185895741317418
3494,3.5 mm male to male rca cable,long_descriptive,16,11,0.8454256604216018,0.6666666666666666,0.7272727272727273,0.2727272727272727,1.0,0.9559467345620553,1.0,1.0,0.0,0.8,0.9559467345620553,1.0,1.0,0.0,0.32,0.2693553184581648
3986,3w landscape light,attribute_constraint,16,14,0.875023800513801,0.625,0.6428571428571429,0.3571428571428571,1.0,0.934707939050441,0.9375,0.9285714285714286,0.0714285714285714,0.75,0.934707939050441,1.0,1.0,0.0,0.32,-0.09714889858733358
4299,49ers gym apparel,attribute_constraint,16,1,0.413758108453865,0.3125,1.0,0.0,0.5,0.42247280909849283,0.3125,1.0,0.0,0.25,0.42247280909849283,0.5625,1.0,0.0,0.18,0.1960392117639214
4321,4exls,attribute_constraint,32,5,0.4152069235219065,0.0,0.0,1.0,0.0,0.4152069235219065,0.0,0.0,1.0,0.0,0.5593353249340254,0.0,0.0,1.0,0.02,0.24396482451050228
4860,6 gallon water dispenser,attribute_constraint,16,2,0.3849023681181247,0.5625,0.5,0.5,0.9,0.5213216164916111,0.625,0.5,0.5,0.5,0.5213216164916111,0.875,0.5,0.5,0.28,0.5055989043706882
4956,60 watt speaker amp,attribute_constraint,16,7,0.8064525735287492,0.4375,0.5714285714285714,0.4285714285714286,0.7,0.8912997890858758,0.75,1.0,0.0,0.6,0.8912997890858758,0.9375,1.0,0.0,0.3,0.477236999135009
5079,6x6 square mold,attribute_constraint,16,10,0.39387288186065517,0.375,0.2,0.8,0.6,0.6765439653568839,0.4375,0.2,0.8,0.35,0.6765439653568839,0.5625,0.4,0.6,0.18,-0.5601120336112039
5094,7 1/8 baseball helmet,multi_constraint,16,11,0.699872063147695,0.375,0.36363636363636365,0.6363636363636364,0.6,0.9269935439902256,0.5625,0.45454545454545453,0.5454545454545454,0.45,0.9269935439902256,0.9375,0.9090909090909091,0.09090909090909094,0.3,-0.07312724241271305
5419,8x12 rustic picture frame,style,16,5,0.6713160352783182,0.5,0.6,0.4,0.8,0.8393469645090224,0.875,0.8,0.19999999999999996,0.7,0.8393469645090224,1.0,1.0,0.0,0.32,0.07312724241271305
5787,a big idea not the savior,multi_constraint,13,2,0.9995762443847283,0.3333333333333333,0.5,0.5,0.1,0.9995762443847283,0.3333333333333333,0.5,0.5,0.05,0.9995762443847283,0.6666666666666666,1.0,0.0,0.04,0.6965596601837922
5921,a world without you,product_type,17,2,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.35,1.0,1.0,1.0,0.0,0.22,0.6642111641550714
6138,abu garcia baitcasting combo,product_type,15,3,0.627687231160296,0.4666666666666667,1.0,0.0,0.7,0.6299500383997396,0.8,1.0,0.0,0.6,0.6299500383997396,1.0,1.0,0.0,0.3,0.3471825374147068
6685,adidas joggers for men,product_type,16,8,0.6527995333354901,0.26666666666666666,0.25,0.75,0.5,0.8447791613403026,0.7333333333333333,0.625,0.375,0.6,0.8447791613403026,1.0,1.0,0.0,0.32,-0.12046795106216204
7034,aeramax 290 small room,attribute_constraint,15,1,0.5219403281436985,0.0,0.0,1.0,0.0,0.5279480862582693,0.13333333333333333,0.0,1.0,0.1,0.5279480862582693,0.26666666666666666,1.0,0.0,0.08,0.3092947870658709
7126,afx slot car race track sets,multi_constraint,14,7,0.9646864670109827,0.6923076923076923,0.8571428571428571,0.1428571428571429,0.9,0.9647648999706768,1.0,1.0,0.0,0.7,0.9647648999706768,1.0,1.0,0.0,0.28,0.6708203932499369
7303,air force ones for men,multi_constraint,16,12,0.5723088801109559,0.35714285714285715,0.4166666666666667,0.5833333333333333,0.7,0.769048849813644,0.35714285714285715,0.4166666666666667,0.5833333333333333,0.35,0.769048849813644,0.5,0.5,0.5,0.18,-0.29827937950065225
7340,air intake gasket kit,product_type,16,2,0.25807554672243394,0.5,0.5,0.5,0.8,0.4297942274366428,0.8125,1.0,0.0,0.65,0.4297942274366428,0.875,1.0,0.0,0.28,0.04099600308453939
7545,airpods case anti-lost strap,multi_constraint,16,12,0.6731637270473511,0.625,0.6666666666666666,0.33333333333333337,1.0,0.8071475516364743,0.9375,1.0,0.0,0.75,0.8071475516364743,0.9375,1.0,0.0,0.3,-0.03131121455425748
7581,airpods pro soft tips,product_type,16,10,0.5772749038463099,0.6666666666666666,0.7,0.30000000000000004,1.0,0.7555773298438313,0.9166666666666666,1.0,0.0,0.75,0.7555773298438313,1.0,1.0,0.0,0.32,0.06149400462680908
8063,all boots,brand_entity_proxy,16,12,0.77990823370192,0.08333333333333333,0.08333333333333333,0.9166666666666666,0.2,0.8516811396432227,0.4166666666666667,0.4166666666666667,0.5833333333333333,0.3,0.8516811396432227,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.18,0.2818009309883173
8519,amazon basics wireless charger,product_type,16,8,0.5861014142951089,0.42857142857142855,0.5,0.5,0.6,0.7832517058618805,0.8571428571428571,0.75,0.25,0.6,0.7832517058618805,1.0,1.0,0.0,0.3,0.3614265568690687
8605,amazon rewards points,product_type,16,6,0.8363700718155498,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.5,0.9120206751902531,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.35,0.9120206751902531,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.2,0.44808962688896314
8740,amelia bedelia hat,product_type,16,1,0.4556588443449323,0.3333333333333333,1.0,0.0,0.4,0.45825267488386306,0.5,1.0,0.0,0.3,0.45825267488386306,0.6666666666666666,1.0,0.0,0.16,0.6399448505650357
9096,angel halos,brand_entity_proxy,16,11,0.6400083195481311,0.6,0.6363636363636364,0.36363636363636365,1.0,0.8224378970331315,0.9333333333333333,1.0,0.0,0.75,0.8224378970331315,1.0,1.0,0.0,0.32,0.08134892168199606
9695,apple fast charger,product_type,16,9,0.5351345921190553,0.5,0.5555555555555556,0.4444444444444444,0.8,0.7182191470232846,0.6875,0.6666666666666666,0.33333333333333337,0.55,0.7182191470232846,1.0,1.0,0.0,0.32,-0.013665334361513128
9776,apple plastic container,attribute_constraint,16,9,0.6475664266981717,0.4375,0.3333333333333333,0.6666666666666667,0.7,0.8294669228929844,0.5625,0.5555555555555556,0.4444444444444444,0.45,0.8294669228929844,0.875,0.8888888888888888,0.11111111111111116,0.28,-0.06832667180756563
9967,aprilia helmet vaisor,product_type,16,3,0.18154179253735267,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.5,0.43926079953794345,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.3,0.43926079953794345,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.22,-0.08684168428648434
10312,arm and bra fat workout,multi_constraint,39,20,0.5398485765293154,0.21875,0.2,0.8,0.7,0.5980189374464133,0.34375,0.25,0.75,0.6,0.8439778220957719,0.59375,0.6,0.4,0.42,0.08223909649736044
10370,armor of god book,product_type,16,10,0.5232512984721257,0.5,0.5,0.5,1.0,0.8057382565785367,0.9,0.9,0.09999999999999998,0.75,0.8057382565785367,1.0,1.0,0.0,0.32,-0.36407282184728257
11509,award winning childrens books ages 9-12,multi_constraint,14,5,0.22318429111166796,0.07142857142857142,0.0,1.0,0.1,0.4961197729256176,0.14285714285714285,0.0,1.0,0.1,0.4961197729256176,0.21428571428571427,0.0,1.0,0.06,-0.5731902027660701
11621,b'patriot supply',product_type,15,1,0.04388065628739695,0.06666666666666667,0.0,1.0,0.1,0.31102904844343815,0.06666666666666667,0.0,1.0,0.05,0.31102904844343815,0.06666666666666667,0.0,1.0,0.02,-0.24743582965269673
11875,baby cribs with mattress included,multi_constraint,16,5,0.49765208995429827,0.6153846153846154,0.8,0.19999999999999996,0.9,0.590849713982457,0.9230769230769231,1.0,0.0,0.75,0.590849713982457,0.9230769230769231,1.0,0.0,0.3,0.1064581294844754
11925,baby fleece suit,product_type,40,28,0.9312630902825905,0.2222222222222222,0.25,0.75,0.8,0.8502811250082699,0.3055555555555556,0.35714285714285715,0.6428571428571428,0.6,0.9646392344398187,0.4722222222222222,0.5357142857142857,0.4642857142857143,0.36,0.33551506146937055
