query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.3269864618228382,0.125,0.0,1.0,0.2,0.4824877316965444,0.125,0.0,1.0,0.15,0.541484073703338,0.5,0.5,0.5,0.18,0.25140376917848956
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.19520472770203057,0.32,0.2857142857142857,0.7142857142857143,1.0,0.33735432067494914,0.6,0.5714285714285714,0.4285714285714286,1.0,0.5121359551944126,0.96,1.0,0.0,0.66,0.2980382704365657
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,1.0,0.25,0.45454545454545453,0.5454545454545454,1.0,0.9349406539977357,0.475,0.7727272727272727,0.2272727272727273,0.95,0.9881980469058249,0.675,0.9090909090909091,0.09090909090909094,0.54,0.7448725479643878
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.6834665352018153,0.625,0.5714285714285714,0.4285714285714286,1.0,0.8951901938987671,0.8125,0.8571428571428571,0.1428571428571429,0.65,0.8951901938987671,0.875,0.8571428571428571,0.1428571428571429,0.28,0.11800858000771265
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.5624744420769047,0.13043478260869565,0.14285714285714285,0.8571428571428572,0.4,0.707582859898519,0.34782608695652173,0.42857142857142855,0.5714285714285714,0.55,0.8242214929969615,0.6086956521739131,0.7857142857142857,0.2142857142857143,0.4,0.2810623036278427
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,0.8380940272459068,0.25,0.23076923076923078,0.7692307692307692,0.8,0.8585774888010828,0.5625,0.5769230769230769,0.42307692307692313,0.9,0.9506185048448116,0.90625,0.9230769230769231,0.07692307692307687,0.58,0.5341790510633877
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.4840477813604176,0.0,0.0,1.0,0.1,0.4840477813604176,0.0,0.0,1.0,0.05,0.4840477813604176,0.0,0.0,1.0,0.02,-0.3467709910735329
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.7744380292397731,0.2631578947368421,0.2692307692307692,0.7307692307692308,1.0,0.7491806892481813,0.5,0.5384615384615384,0.46153846153846156,1.0,0.9191805143143378,1.0,1.0,0.0,0.8,0.06402364919459444
637,1 1/4” npt,attribute_constraint,16,13,0.7821091513649008,0.4375,0.46153846153846156,0.5384615384615384,0.7,0.8610226939112368,0.5,0.5384615384615384,0.46153846153846156,0.4,0.8610226939112368,0.6875,0.7692307692307693,0.23076923076923073,0.22,0.13612278194595454
861,1 pint mason jars without words,multi_constraint,40,24,0.37371040422563123,0.1891891891891892,0.125,0.875,0.8,0.45935876566468337,0.3783783783783784,0.3333333333333333,0.6666666666666667,0.75,0.7567253711961851,0.7837837837837838,0.6666666666666666,0.33333333333333337,0.62,-0.27999906423700555
933,1'' oil hose,attribute_constraint,16,4,0.3963192732514654,0.4375,0.5,0.5,0.7,0.5997845536492749,0.625,0.5,0.5,0.5,0.5997845536492749,0.9375,1.0,0.0,0.3,-0.04720343200308506
978,1.25 sunglasses for women,multi_constraint,16,12,0.7269113173698524,0.625,0.5833333333333334,0.41666666666666663,1.0,0.8993071888311643,1.0,1.0,0.0,0.8,0.8993071888311643,1.0,1.0,0.0,0.32,-0.1252448582170299
1210,10 hottest models without cloth,multi_constraint,35,2,0.0,0.0,0.0,1.0,0.0,0.1426652228369381,0.0,0.0,1.0,0.0,0.26579723091265184,0.0,0.0,1.0,0.0,-0.2150392856438949
1293,10 qt stainless steel pot without aluminum,multi_constraint,39,10,0.0914282265676801,0.27586206896551724,0.1,0.9,1.0,0.15388096119588604,0.5172413793103449,0.2,0.8,0.9,0.5193603301560121,0.9310344827586207,1.0,0.0,0.72,0.009544271444636666
1310,10 succulent plants without plastic containers,multi_constraint,40,1,0.16732204276430102,0.21739130434782608,0.0,1.0,0.8,0.2095170577570129,0.391304347826087,0.0,1.0,0.65,0.4571074380529943,0.4782608695652174,0.0,1.0,0.42,-0.06017801992389849
1458,100% cranberry juice not from concentrate,multi_constraint,39,15,0.5559026721867444,0.21212121212121213,0.4666666666666667,0.5333333333333333,1.0,0.566221643705648,0.48484848484848486,0.6666666666666666,0.33333333333333337,1.0,0.7440241975743498,0.8181818181818182,0.9333333333333333,0.06666666666666665,0.64,0.14736534102967005
1476,100% remy hair bundles without weft for box braids,long_descriptive,40,17,0.32741411276453225,0.22857142857142856,0.17647058823529413,0.8235294117647058,1.0,0.3952242164554262,0.4857142857142857,0.4117647058823529,0.5882352941176471,1.0,0.7177381631358035,0.9428571428571428,0.9411764705882353,0.05882352941176472,0.76,-0.10694697167716155
1530,104 bcd crank arms without chainring,multi_constraint,40,17,0.3088745445168518,0.25,0.23529411764705882,0.7647058823529411,1.0,0.4494418725869469,0.4642857142857143,0.5882352941176471,0.4117647058823529,1.0,0.6865644332333484,0.9642857142857143,1.0,0.0,0.76,0.05255895297310232
1659,10×6 patio gazebo without cover,multi_constraint,40,5,0.10437823886264395,0.14285714285714285,0.2,0.8,1.0,0.27897626773761847,0.42857142857142855,0.6,0.4,0.95,0.43648207187864535,0.7619047619047619,0.8,0.19999999999999996,0.54,-0.11408053156669427
1816,12 hp engine,attribute_constraint,16,4,0.3138536042048971,0.6428571428571429,0.5,0.5,1.0,0.53356118377389,1.0,1.0,0.0,0.8,0.53356118377389,1.0,1.0,0.0,0.32,0.058919882513871404
2286,16x48 frame,attribute_constraint,39,13,0.3519828443958259,0.15,0.07692307692307693,0.9230769230769231,0.3,0.4798238458127167,0.25,0.15384615384615385,0.8461538461538461,0.3,0.6751237304414303,0.45,0.38461538461538464,0.6153846153846154,0.24,0.3236085399885712
2390,18x13 setting ring,attribute_constraint,16,2,0.2051510185879639,0.5625,0.5,0.5,0.9,0.3843236741225025,0.6875,0.5,0.5,0.55,0.3843236741225025,0.75,0.5,0.5,0.24,-0.33701696125398367
2692,2 ton jack handle replacement,multi_constraint,16,7,0.44848257252808993,0.5,0.5714285714285714,0.4285714285714286,1.0,0.6627903439927475,0.875,0.8571428571428571,0.1428571428571429,0.75,0.6627903439927475,0.875,0.8571428571428571,0.1428571428571429,0.3,-0.07921180343813396
2855,20lb maxima chameleon,attribute_constraint,40,7,0.7669937503272864,0.2647058823529412,0.7142857142857143,0.2857142857142857,1.0,0.7685658684329489,0.5294117647058824,0.7142857142857143,0.2857142857142857,0.95,0.8867006823504644,0.6470588235294118,0.8571428571428571,0.1428571428571429,0.48,0.4116581934114179
