query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.3279170860850912,0.125,0.0,1.0,0.2,0.4750972521446117,0.125,0.0,1.0,0.1,0.5340935941514053,0.25,0.16666666666666666,0.8333333333333334,0.12,0.217452134755671
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.2146795619840408,0.28,0.2857142857142857,0.7142857142857143,1.0,0.34972281132974026,0.64,0.5714285714285714,0.4285714285714286,1.0,0.5256260430953583,0.96,1.0,0.0,0.66,0.3303022239344348
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,1.0,0.25,0.45454545454545453,0.5454545454545454,1.0,0.9361839152203353,0.475,0.7727272727272727,0.2272727272727273,0.95,0.9896990155217384,0.65,0.9090909090909091,0.09090909090909094,0.52,0.756191161211314
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.6829144053543634,0.625,0.5714285714285714,0.4285714285714286,1.0,0.894647531672695,0.8125,0.8571428571428571,0.1428571428571429,0.65,0.894647531672695,0.875,0.8571428571428571,0.1428571428571429,0.28,0.10384755040678713
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.5711551641320416,0.08695652173913043,0.14285714285714285,0.8571428571428572,0.3,0.7166251775413437,0.34782608695652173,0.42857142857142855,0.5714285714285714,0.55,0.8301882960689018,0.6521739130434783,0.7857142857142857,0.2142857142857143,0.42,0.2940144835185266
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,0.8380940272459068,0.25,0.23076923076923078,0.7692307692307692,0.8,0.8585774888010828,0.5625,0.5769230769230769,0.42307692307692313,0.9,0.950925690089177,0.90625,0.9230769230769231,0.07692307692307687,0.58,0.5380648727578701
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.4840477813604176,0.0,0.0,1.0,0.1,0.4840477813604176,0.0,0.0,1.0,0.05,0.4840477813604176,0.0,0.0,1.0,0.02,-0.3467709910735329
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.7593330856480787,0.2631578947368421,0.2692307692307692,0.7307692307692308,1.0,0.7409625834224881,0.5,0.5384615384615384,0.46153846153846156,1.0,0.9133999114658891,1.0,1.0,0.0,0.8,0.10335405847294914
637,1 1/4” npt,attribute_constraint,16,13,0.7821091513649008,0.4375,0.46153846153846156,0.5384615384615384,0.7,0.8621408585836311,0.5,0.5384615384615384,0.46153846153846156,0.4,0.8621408585836311,0.6875,0.7692307692307693,0.23076923076923073,0.22,0.16637228904505552
861,1 pint mason jars without words,multi_constraint,40,24,0.3482378127145669,0.1891891891891892,0.125,0.875,0.8,0.41183338930865754,0.35135135135135137,0.3333333333333333,0.6666666666666667,0.7,0.7412189257953901,0.7567567567567568,0.6666666666666666,0.33333333333333337,0.62,-0.3281929732527704
933,1'' oil hose,attribute_constraint,16,4,0.3963192732514654,0.4375,0.5,0.5,0.7,0.5997845536492749,0.625,0.5,0.5,0.5,0.5997845536492749,0.9375,1.0,0.0,0.3,-0.04720343200308506
