query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.8364586133797036,0.002321724709784411,0.1794871794871795,0.8205128205128205,0.9,0.716661795478043,0.005306799336650083,0.28205128205128205,0.717948717948718,0.95,0.6104013568335741,0.014593698175787729,0.3076923076923077,0.6923076923076923,0.96,0.3909381104154573
1,smart coffee table,product_type,1436,8,0.5255664792793981,0.007052186177715092,0.125,0.875,1.0,0.6048136069557486,0.014104372355430184,0.125,0.875,1.0,0.716076660716058,0.03455571227080395,0.125,0.875,0.98,0.09792252921042797
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9796142089212673,0.31645569620253167,0.31788079470198677,0.6821192052980132,1.0,0.2570362692567979
3,turquoise pillows,brand_entity_proxy,997,55,0.8039369346935542,0.012953367875647668,0.10909090909090909,0.8909090909090909,1.0,0.7076187425839388,0.023316062176165803,0.18181818181818182,0.8181818181818181,1.0,0.5611179726682587,0.05699481865284974,0.21818181818181817,0.7818181818181819,0.94,0.5080880627669146
4,chair and a half recliner,multi_constraint,239,23,0.3965255762463672,0.0,0.0,1.0,0.0,0.46434805338364155,0.0,0.0,1.0,0.0,0.5855420941083836,0.005263157894736842,0.0,1.0,0.02,0.257875823636198
5,sofa with ottoman,product_type,1344,179,0.8108582970019788,0.0053475935828877,0.0335195530726257,0.9664804469273743,0.7,0.8320586906830686,0.01145912910618793,0.07262569832402235,0.9273743016759777,0.75,0.7563957936029255,0.03208556149732621,0.15083798882681565,0.8491620111731844,0.84,0.43597906465076613
6,acrylic clear chair,attribute_constraint,109,43,0.9432379215722527,0.04040404040404041,0.09302325581395349,0.9069767441860466,0.4,0.890007389751785,0.050505050505050504,0.09302325581395349,0.9069767441860466,0.25,0.8414135264346189,0.10101010101010101,0.20930232558139536,0.7906976744186046,0.2,0.4912995692214065
7,driftwood mirror,product_type,603,23,0.9575861412006988,0.018691588785046728,0.391304347826087,0.6086956521739131,1.0,0.7862930973581889,0.037383177570093455,0.4782608695652174,0.5217391304347826,1.0,0.8528588727800068,0.09158878504672897,0.6521739130434783,0.34782608695652173,0.98,0.48271227304531833
8,home sweet home sign,product_type,105,25,0.867129177606588,0.09574468085106383,0.28,0.72,0.9,0.8010847004722599,0.18085106382978725,0.48,0.52,0.85,0.8280124681168023,0.35106382978723405,0.56,0.43999999999999995,0.66,0.4241286671398293
9,coffee table fire pit,product_type,1516,74,0.92663607790064,0.006622516556291391,0.12162162162162163,0.8783783783783784,1.0,0.9526533201221142,0.012582781456953643,0.24324324324324326,0.7567567567567568,0.95,0.8939667403600491,0.031788079470198675,0.5405405405405406,0.45945945945945943,0.96,0.3572496025429463
10,king poster bed,attribute_constraint,177,21,0.700887374974622,0.045454545454545456,0.23809523809523808,0.7619047619047619,0.8,0.6396724932644381,0.09659090909090909,0.3333333333333333,0.6666666666666667,0.85,0.809274621160418,0.17613636363636365,0.5714285714285714,0.4285714285714286,0.62,0.3808490928662613
11,ombre rug,product_type,1428,65,0.955830517697074,0.007042253521126761,0.13846153846153847,0.8615384615384616,1.0,0.9466232914123492,0.014084507042253521,0.27692307692307694,0.7230769230769231,1.0,0.8236012795526872,0.035211267605633804,0.5076923076923077,0.49230769230769234,1.0,0.302252451099802
12,large spoon and fork wall decor,multi_constraint,225,27,0.8454846168880917,0.05113636363636364,0.25925925925925924,0.7407407407407407,0.9,0.8032907049680756,0.10795454545454546,0.4444444444444444,0.5555555555555556,0.95,0.8826845181543848,0.23295454545454544,0.7407407407407407,0.2592592592592593,0.82,0.5904017760878351
13,outdoor privacy wall,product_type,122,46,1.0,0.14035087719298245,0.17391304347826086,0.8260869565217391,0.8,0.942958166377989,0.2807017543859649,0.34782608695652173,0.6521739130434783,0.85,0.9513277791057684,0.6140350877192983,0.717391304347826,0.28260869565217395,0.72,0.7800417959955201
14,beds that have leds,product_type,2692,20,0.3943654851814646,0.001273074474856779,0.05,0.95,0.2,0.38481144038168646,0.0019096117122851686,0.05,0.95,0.25,0.4444342233486632,0.011457670273711012,0.15,0.85,0.54,0.3579712954524394
15,black 5 drawer dresser by guilford,multi_constraint,613,2,0.6675139551208341,0.015050167224080268,0.5,0.5,0.9,0.7480915721080779,0.026755852842809364,0.5,0.5,0.8,0.8635315317264599,0.07357859531772576,1.0,0.0,0.88,0.18749757337366652
16,blk 18x18 seat cushions,attribute_constraint,493,4,0.8153694657748439,0.011278195488721804,0.75,0.25,0.3,0.833913483815794,0.02631578947368421,0.75,0.25,0.4,0.7480017884330495,0.03759398496240601,0.75,0.25,0.26,0.04031658226541917
17,closet storage with zipper,product_type,103,21,0.7224117241296841,0.05825242718446602,0.14285714285714285,0.8571428571428572,0.6,0.6538721032102466,0.07766990291262135,0.14285714285714285,0.8571428571428572,0.4,0.8178580478294872,0.18446601941747573,0.3333333333333333,0.6666666666666667,0.38,0.2901618560420953
18,chrome bathroom 4 light vanity light,multi_constraint,1053,34,0.724529723117943,0.029197080291970802,0.11764705882352941,0.8823529411764706,0.8,0.654520398735381,0.05474452554744526,0.17647058823529413,0.8235294117647058,0.75,0.6866121612950293,0.15693430656934307,0.4117647058823529,0.5882352941176471,0.86,0.6195493961301456
