query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.8436666355597751,0.0029850746268656717,0.20512820512820512,0.7948717948717949,1.0,0.7225863779335463,0.005306799336650083,0.2564102564102564,0.7435897435897436,0.9,0.6506047145825785,0.014925373134328358,0.38461538461538464,0.6153846153846154,0.96,0.39025097147495924
1,smart coffee table,product_type,1436,8,0.5255664792793981,0.006346967559943582,0.125,0.875,0.9,0.6048136069557486,0.013399153737658674,0.125,0.875,0.95,0.716076660716058,0.03385049365303244,0.125,0.875,0.96,0.09194039059034512
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,0.9777083390768576,0.12658227848101267,0.12582781456953643,0.8741721854304636,1.0,0.9786736298004556,0.31645569620253167,0.31788079470198677,0.6821192052980132,1.0,0.28720492334016007
3,turquoise pillows,brand_entity_proxy,997,55,0.8039369346935542,0.012953367875647668,0.10909090909090909,0.8909090909090909,1.0,0.7072845495822113,0.023316062176165803,0.18181818181818182,0.8181818181818181,1.0,0.5741102723747021,0.05829015544041451,0.2545454545454545,0.7454545454545455,0.96,0.5179924090466917
4,chair and a half recliner,multi_constraint,239,23,0.6056906122838638,0.010526315789473684,0.043478260869565216,0.9565217391304348,0.2,0.5928359488944116,0.010526315789473684,0.043478260869565216,0.9565217391304348,0.1,0.651116136894709,0.031578947368421054,0.13043478260869565,0.8695652173913043,0.12,0.29798678631825637
5,sofa with ottoman,product_type,1344,179,0.9014470060563649,0.006111535523300229,0.0335195530726257,0.9664804469273743,0.8,0.9127237756768645,0.012223071046600458,0.07262569832402235,0.9273743016759777,0.8,0.8369249287341335,0.03132161955691368,0.1564245810055866,0.8435754189944134,0.82,0.4479694736842956
6,acrylic clear chair,attribute_constraint,109,43,0.8502244159847391,0.050505050505050504,0.09302325581395349,0.9069767441860466,0.5,0.8082011997942662,0.08080808080808081,0.16279069767441862,0.8372093023255813,0.4,0.776035068607344,0.09090909090909091,0.16279069767441862,0.8372093023255813,0.18,0.3822167253254792
7,driftwood mirror,product_type,603,23,0.9537125187088151,0.018691588785046728,0.391304347826087,0.6086956521739131,1.0,0.7573791431777901,0.037383177570093455,0.43478260869565216,0.5652173913043479,1.0,0.8108538113867715,0.09158878504672897,0.5652173913043478,0.4347826086956522,0.98,0.4984128442464458
8,home sweet home sign,product_type,105,25,0.8878984756873929,0.10638297872340426,0.32,0.6799999999999999,1.0,0.7640756411830701,0.1702127659574468,0.4,0.6,0.8,0.8306936528578704,0.3829787234042553,0.56,0.43999999999999995,0.72,0.42985896486913977
9,coffee table fire pit,product_type,1516,74,0.955830517697074,0.006622516556291391,0.12162162162162163,0.8783783783783784,1.0,0.9499355975577658,0.013245033112582781,0.24324324324324326,0.7567567567567568,1.0,0.932815417810346,0.030463576158940398,0.5540540540540541,0.44594594594594594,0.92,0.375694768791339
10,king poster bed,attribute_constraint,177,21,0.9086768598011254,0.056818181818181816,0.38095238095238093,0.6190476190476191,1.0,0.7521409986187516,0.11363636363636363,0.47619047619047616,0.5238095238095238,1.0,0.8937821767108304,0.1875,0.6190476190476191,0.38095238095238093,0.66,0.45484293375890916
11,ombre rug,product_type,1428,65,1.0,0.007042253521126761,0.15384615384615385,0.8461538461538461,1.0,0.9553813714509604,0.014084507042253521,0.27692307692307694,0.7230769230769231,1.0,0.8186577566757305,0.035211267605633804,0.49230769230769234,0.5076923076923077,1.0,0.2966393327208831
12,large spoon and fork wall decor,multi_constraint,225,27,0.8039369346935542,0.05113636363636364,0.2222222222222222,0.7777777777777778,0.9,0.7812927526413,0.10795454545454546,0.4444444444444444,0.5555555555555556,0.95,0.8937395850965811,0.2215909090909091,0.7777777777777778,0.2222222222222222,0.78,0.5728215398879928
13,outdoor privacy wall,product_type,122,46,1.0,0.14035087719298245,0.17391304347826086,0.8260869565217391,0.8,0.9393237009114748,0.2631578947368421,0.32608695652173914,0.6739130434782609,0.8,0.9336666368199016,0.6140350877192983,0.717391304347826,0.28260869565217395,0.72,0.7684193563766598
14,beds that have leds,product_type,2692,20,0.7138632635849925,0.001273074474856779,0.05,0.95,0.2,0.5430220809334407,0.003182686187141948,0.2,0.8,0.25,0.5591853332987964,0.008911521323997454,0.35,0.65,0.46,0.3374496393038217
15,black 5 drawer dresser by guilford,multi_constraint,613,2,0.6675139551208341,0.013377926421404682,0.5,0.5,0.8,0.7480915721080779,0.028428093645484948,0.5,0.5,0.85,0.8394023310174124,0.07357859531772576,0.5,0.5,0.88,0.22503447136524893
16,blk 18x18 seat cushions,attribute_constraint,493,4,0.497817266747333,0.011278195488721804,0.0,1.0,0.3,0.5624725742837474,0.015037593984962405,0.0,1.0,0.2,0.590210461639472,0.03007518796992481,0.25,0.75,0.18,-0.013186954882908232
17,closet storage with zipper,product_type,103,21,0.6925904614552043,0.05825242718446602,0.19047619047619047,0.8095238095238095,0.6,0.6600393648557757,0.06796116504854369,0.19047619047619047,0.8095238095238095,0.35,0.8371110884832665,0.18446601941747573,0.38095238095238093,0.6190476190476191,0.38,0.2901618560420953
18,chrome bathroom 4 light vanity light,multi_constraint,1053,34,0.679997865330383,0.029197080291970802,0.08823529411764706,0.9117647058823529,0.8,0.632582040093909,0.06204379562043796,0.20588235294117646,0.7941176470588236,0.85,0.659200015948632,0.1678832116788321,0.38235294117647056,0.6176470588235294,0.92,0.6626541507718795
19,gurney  slade 56,attribute_constraint,14,0,0.727329844310522,0.1,,,0.1,0.9623413365065762,0.2,,,0.1,0.9623413365065762,0.3,,,0.06,0.15689290811054724
20,foutains with brick look,product_type,94,12,0.2745666311321903,0.05555555555555555,0.0,1.0,0.6,0.4297309487945935,0.07777777777777778,0.0,1.0,0.45,0.6458931727961631,0.1111111111111111,0.0,1.0,0.24,-0.12283289853264828
