query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.7643246820991495,0.0026533996683250414,0.1794871794871795,0.8205128205128205,1.0,0.7154092054930385,0.005638474295190713,0.3076923076923077,0.6923076923076923,1.0,0.6562837209547485,0.014593698175787729,0.4358974358974359,0.5641025641025641,0.96,0.3771251704277679
1,smart coffee table,product_type,1436,8,0.5255664792793981,0.007052186177715092,0.125,0.875,1.0,0.6048136069557486,0.014104372355430184,0.125,0.875,1.0,0.716076660716058,0.03455571227080395,0.125,0.875,0.98,0.07748787651364786
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,0.9735859552961229,0.12658227848101267,0.12582781456953643,0.8741721854304636,1.0,0.9855818097594397,0.31645569620253167,0.32450331125827814,0.6754966887417219,1.0,0.30736528125583784
3,turquoise pillows,brand_entity_proxy,997,55,0.8590331472570637,0.011658031088082901,0.12727272727272726,0.8727272727272728,0.9,0.6934567587475822,0.022020725388601035,0.14545454545454545,0.8545454545454545,0.95,0.5557444505337312,0.05829015544041451,0.21818181818181817,0.7818181818181819,0.96,0.5068096308611687
4,chair and a half recliner,multi_constraint,239,23,0.37574719213263447,0.015789473684210527,0.0,1.0,0.3,0.41743957585364677,0.02631578947368421,0.0,1.0,0.25,0.5406986278077311,0.05789473684210526,0.043478260869565216,0.9565217391304348,0.22,0.2663374030744707
5,sofa with ottoman,product_type,1344,179,1.0,0.0053475935828877,0.03910614525139665,0.9608938547486033,0.7,0.9757624746743075,0.01145912910618793,0.0782122905027933,0.9217877094972067,0.75,0.9376845715225041,0.03284950343773873,0.2122905027932961,0.7877094972067039,0.86,0.4909553272756123
6,acrylic clear chair,attribute_constraint,109,43,1.0,0.06060606060606061,0.13953488372093023,0.8604651162790697,0.6,0.8799903044032715,0.09090909090909091,0.20930232558139536,0.7906976744186046,0.45,0.8235666457821317,0.12121212121212122,0.2558139534883721,0.7441860465116279,0.24,0.460230590208795
7,driftwood mirror,product_type,603,23,1.0,0.018691588785046728,0.43478260869565216,0.5652173913043479,1.0,0.8322999209062804,0.037383177570093455,0.5652173913043478,0.4347826086956522,1.0,0.8279890472800702,0.09158878504672897,0.5652173913043478,0.4347826086956522,0.98,0.4358584226479991
8,home sweet home sign,product_type,105,25,0.9053206285482486,0.10638297872340426,0.32,0.6799999999999999,1.0,0.8220679657481735,0.18085106382978725,0.48,0.52,0.85,0.8607859750509614,0.3723404255319149,0.56,0.43999999999999995,0.7,0.4154156442425624
9,coffee table fire pit,product_type,1516,74,0.9368077570869662,0.006622516556291391,0.12162162162162163,0.8783783783783784,1.0,0.9365091415773239,0.013245033112582781,0.24324324324324326,0.7567567567567568,1.0,0.9360694164894604,0.030463576158940398,0.5675675675675675,0.43243243243243246,0.92,0.378691343717786
