query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,1.0,0.003316749585406302,0.2564102564102564,0.7435897435897436,1.0,0.9659370277440176,0.005970149253731343,0.46153846153846156,0.5384615384615384,0.95,0.8837205291902177,0.014925373134328358,0.7948717948717948,0.20512820512820518,0.98,0.3479797411247497
1,smart coffee table,product_type,1436,8,0.5255664792793981,0.007052186177715092,0.125,0.875,1.0,0.6048136069557486,0.014104372355430184,0.125,0.875,1.0,0.716076660716058,0.03526093088857546,0.125,0.875,1.0,0.12478759094415119
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9892480018266367,0.31645569620253167,0.32450331125827814,0.6754966887417219,1.0,0.30189113031329234
3,turquoise pillows,brand_entity_proxy,997,55,0.8433004480985488,0.011658031088082901,0.12727272727272726,0.8727272727272728,1.0,0.6873206249020908,0.02461139896373057,0.14545454545454545,0.8545454545454545,1.0,0.5294855722920127,0.05569948186528497,0.2,0.8,0.98,0.5314752141170259
4,chair and a half recliner,multi_constraint,239,23,0.43250927056038185,0.031578947368421054,0.043478260869565216,0.9565217391304348,0.6,0.39733824497258335,0.05263157894736842,0.08695652173913043,0.9130434782608696,0.5,0.5861411804107604,0.12105263157894737,0.08695652173913043,0.9130434782608696,0.46,0.37989404624884604
5,sofa with ottoman,product_type,1344,179,0.955830517697074,0.007639419404125287,0.05027932960893855,0.9497206703910615,1.0,0.8495897332731818,0.015278838808250574,0.0782122905027933,0.9217877094972067,1.0,0.8080820328215899,0.03666921313980138,0.18435754189944134,0.8156424581005587,0.96,0.43602418245997493
6,acrylic clear chair,attribute_constraint,109,43,0.9368077570869662,0.04040404040404041,0.06976744186046512,0.9302325581395349,0.4,0.8337163113509743,0.06060606060606061,0.11627906976744186,0.8837209302325582,0.3,0.7519278743369938,0.09090909090909091,0.18604651162790697,0.813953488372093,0.18,0.3590003454039673
7,driftwood mirror,product_type,603,23,0.911298659909514,0.018691588785046728,0.34782608695652173,0.6521739130434783,1.0,0.7818560205881205,0.037383177570093455,0.4782608695652174,0.5217391304347826,1.0,0.8159937476256021,0.09345794392523364,0.5652173913043478,0.4347826086956522,1.0,0.45585895820724537
8,home sweet home sign,product_type,105,25,0.841610994396208,0.10638297872340426,0.28,0.72,1.0,0.784763296375499,0.18085106382978725,0.44,0.56,0.85,0.8107376455741705,0.39361702127659576,0.6,0.4,0.74,0.39472221486155346
9,coffee table fire pit,product_type,1516,74,1.0,0.006622516556291391,0.13513513513513514,0.8648648648648649,1.0,1.0,0.013245033112582781,0.2702702702702703,0.7297297297297297,1.0,0.9799709635303263,0.033112582781456956,0.6486486486486487,0.3513513513513513,1.0,0.3821113217071175
10,king poster bed,attribute_constraint,177,21,0.8022710688293164,0.05113636363636364,0.2857142857142857,0.7142857142857143,0.9,0.8032604213152267,0.10795454545454546,0.5714285714285714,0.4285714285714286,0.95,0.9317819806165123,0.25,0.8571428571428571,0.1428571428571429,0.88,0.5050706161984697
