query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.420235475836781,0.002321724709784411,0.02564102564102564,0.9743589743589743,0.9,0.3894171386162715,0.005306799336650083,0.02564102564102564,0.9743589743589743,0.9,0.3878009729353168,0.013266998341625208,0.02564102564102564,0.9743589743589743,0.9,0.19209453439312427
1,smart coffee table,product_type,1436,8,0.3649302102017378,0.007052186177715092,0.0,1.0,1.0,0.47100925925184517,0.012693935119887164,0.0,1.0,0.9,0.6199443599094665,0.031029619181946404,0.0,1.0,0.88,0.06674660000878356
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9890034391588551,0.31645569620253167,0.32450331125827814,0.6754966887417219,1.0,0.18801773181755185
3,turquoise pillows,brand_entity_proxy,997,55,0.5882196917171932,0.010362694300518135,0.05454545454545454,0.9454545454545454,0.9,0.5675246346502164,0.023316062176165803,0.10909090909090909,0.8909090909090909,0.95,0.4959001223458634,0.04922279792746114,0.18181818181818182,0.8181818181818181,0.82,0.45812004000026624
4,chair and a half recliner,multi_constraint,239,23,0.4270263730805316,0.005263157894736842,0.0,1.0,0.1,0.3819630919946632,0.010526315789473684,0.0,1.0,0.1,0.5031679672370636,0.015789473684210527,0.043478260869565216,0.9565217391304348,0.06,0.09339480576847163
5,sofa with ottoman,product_type,1344,179,0.6949093436133567,0.006111535523300229,0.0223463687150838,0.9776536312849162,0.8,0.6377308858537869,0.009931245225362872,0.027932960893854747,0.9720670391061452,0.65,0.5806145728666126,0.023682200152788387,0.05027932960893855,0.9497206703910615,0.62,0.2814442478033144
6,acrylic clear chair,attribute_constraint,109,43,0.8056273000821932,0.030303030303030304,0.06976744186046512,0.9302325581395349,0.3,0.7338487457203365,0.050505050505050504,0.09302325581395349,0.9069767441860466,0.25,0.7622937905159937,0.08080808080808081,0.11627906976744186,0.8837209302325582,0.16,0.3395395563521118
7,driftwood mirror,product_type,603,23,0.8590331472570637,0.018691588785046728,0.30434782608695654,0.6956521739130435,1.0,0.7204842480312407,0.037383177570093455,0.391304347826087,0.6086956521739131,1.0,0.7836618149204156,0.09345794392523364,0.5217391304347826,0.4782608695652174,1.0,0.4196284455760168
8,home sweet home sign,product_type,105,25,0.6564746593503457,0.06382978723404255,0.12,0.88,0.6,0.5650449758820082,0.09574468085106383,0.16,0.84,0.45,0.6681321190570786,0.24468085106382978,0.2,0.8,0.48,0.1560423191601438
9,coffee table fire pit,product_type,1516,74,0.8103670991788406,0.005960264900662252,0.08108108108108109,0.9189189189189189,0.9,0.8329984890672415,0.011258278145695364,0.16216216216216217,0.8378378378378378,0.85,0.7698910533209103,0.026490066225165563,0.35135135135135137,0.6486486486486487,0.8,0.3267045621187784
