query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,1.0,0.003316749585406302,0.2564102564102564,0.7435897435897436,1.0,0.9636437120114612,0.005970149253731343,0.46153846153846156,0.5384615384615384,0.95,0.8756356918117132,0.015257048092868989,0.7692307692307693,0.23076923076923073,0.98,0.3731621902654794
1,smart coffee table,product_type,1436,8,0.5255664792793981,0.007052186177715092,0.125,0.875,1.0,0.6048136069557486,0.014104372355430184,0.125,0.875,1.0,0.716076660716058,0.03526093088857546,0.125,0.875,1.0,0.09915433848486364
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9907940618881942,0.310126582278481,0.31788079470198677,0.6821192052980132,0.98,0.28289195593088173
3,turquoise pillows,brand_entity_proxy,997,55,0.8083682423538655,0.012953367875647668,0.10909090909090909,0.8909090909090909,1.0,0.6535245183092405,0.023316062176165803,0.12727272727272726,0.8727272727272728,0.95,0.5034396474333475,0.05569948186528497,0.16363636363636364,0.8363636363636364,0.96,0.5107993402762339
4,chair and a half recliner,multi_constraint,239,23,0.3333333333333333,0.031578947368421054,0.0,1.0,0.6,0.3680123456729482,0.06315789473684211,0.0,1.0,0.6,0.49778052841115533,0.1,0.08695652173913043,0.9130434782608696,0.38,0.16666486239981634
5,sofa with ottoman,product_type,1344,179,0.8905202757957813,0.007639419404125287,0.0446927374301676,0.9553072625698324,1.0,0.8097526523309819,0.015278838808250574,0.07262569832402235,0.9273743016759777,1.0,0.6853023688305293,0.0374331550802139,0.12290502793296089,0.8770949720670391,0.98,0.4300660396957415
6,acrylic clear chair,attribute_constraint,109,43,0.9510907186004265,0.04040404040404041,0.09302325581395349,0.9069767441860466,0.4,0.8496168858254636,0.0707070707070707,0.13953488372093023,0.8604651162790697,0.35,0.7475475579090843,0.1717171717171717,0.27906976744186046,0.7209302325581395,0.34,0.3159817590788129
7,driftwood mirror,product_type,603,23,0.955830517697074,0.018691588785046728,0.391304347826087,0.6086956521739131,1.0,0.7863579022447807,0.037383177570093455,0.4782608695652174,0.5217391304347826,1.0,0.7869260818418304,0.09158878504672897,0.4782608695652174,0.5217391304347826,1.0,0.4447515607696332
8,home sweet home sign,product_type,105,25,0.8743705652481897,0.10638297872340426,0.32,0.6799999999999999,1.0,0.7784204655226042,0.19148936170212766,0.48,0.52,0.9,0.828439720826521,0.3829787234042553,0.68,0.31999999999999995,0.72,0.4641788689801073
9,coffee table fire pit,product_type,1516,74,1.0,0.006622516556291391,0.13513513513513514,0.8648648648648649,1.0,0.9768332182007543,0.013245033112582781,0.25675675675675674,0.7432432432432432,1.0,0.9873543385351338,0.033112582781456956,0.6621621621621622,0.33783783783783783,1.0,0.38587074249223224
10,king poster bed,attribute_constraint,177,21,0.797441512093282,0.05113636363636364,0.23809523809523808,0.7619047619047619,0.9,0.7539891842003444,0.10795454545454546,0.5238095238095238,0.47619047619047616,0.95,0.9267317255260906,0.24431818181818182,0.9047619047619048,0.09523809523809523,0.86,0.5023676794135853
11,ombre rug,product_type,1428,65,0.9537125187088151,0.007042253521126761,0.13846153846153847,0.8615384615384616,1.0,0.9478359100090764,0.014084507042253521,0.27692307692307694,0.7230769230769231,1.0,0.9428723914810434,0.035211267605633804,0.6923076923076923,0.3076923076923077,1.0,0.3471556537258007
12,large spoon and fork wall decor,multi_constraint,225,27,0.8148636649541376,0.05113636363636364,0.2222222222222222,0.7777777777777778,0.9,0.8331147472229221,0.10795454545454546,0.48148148148148145,0.5185185185185186,0.95,0.8875940787081428,0.2215909090909091,0.7407407407407407,0.2592592592592593,0.78,0.5652039000508079
13,outdoor privacy wall,product_type,122,46,1.0,0.14035087719298245,0.17391304347826086,0.8260869565217391,0.8,0.9784411392344535,0.3157894736842105,0.391304347826087,0.6086956521739131,0.9,0.9485186563911415,0.6666666666666666,0.7608695652173914,0.23913043478260865,0.78,0.7743362347280797
14,beds that have leds,product_type,2692,20,0.8814802638931606,0.004455760661998727,0.3,0.7,0.7,0.6781937524614173,0.0076384468491406746,0.45,0.55,0.7,0.7100038031627455,0.012730744748567792,0.45,0.55,0.52,0.33182174640386536
15,black 5 drawer dresser by guilford,multi_constraint,613,2,0.8383354523103075,0.016722408026755852,0.5,0.5,1.0,0.8775146726258255,0.03177257525083612,0.5,0.5,0.95,0.9219126639569951,0.0802675585284281,0.5,0.5,0.96,0.24462380561478098
16,blk 18x18 seat cushions,attribute_constraint,493,4,0.8074483267440766,0.015037593984962405,0.5,0.5,0.4,0.8240391824609589,0.03383458646616541,0.5,0.5,0.45,0.8383976998168156,0.06390977443609022,0.5,0.5,0.36,0.012848585062324095
17,closet storage with zipper,product_type,103,21,0.6651975125779157,0.04854368932038835,0.047619047619047616,0.9523809523809523,0.5,0.6422360733653312,0.11650485436893204,0.2857142857142857,0.7142857142857143,0.6,0.8217756068286834,0.23300970873786409,0.5238095238095238,0.47619047619047616,0.48,0.3647285899970472
18,chrome bathroom 4 light vanity light,multi_constraint,1053,34,0.9510907186004265,0.0364963503649635,0.2647058823529412,0.7352941176470589,1.0,0.8508736872463246,0.06934306569343066,0.38235294117647056,0.6176470588235294,0.95,0.824145363739401,0.17518248175182483,0.6176470588235294,0.38235294117647056,0.96,0.5320878840379808
19,gurney  slade 56,attribute_constraint,14,0,0.8701249883466594,0.6,,,0.6,0.9874091811594069,0.6,,,0.3,0.9874091811594069,0.6,,,0.12,0.5491251783869153
20,foutains with brick look,product_type,94,12,0.21368192994278842,0.03333333333333333,0.0,1.0,0.5,0.3289994190941892,0.07777777777777778,0.0,1.0,0.45,0.5949790614602767,0.12222222222222222,0.0,1.0,0.26,-0.10166015287419289
21,living curtains pearl,product_type,127,1,0.6943559465628248,0.07086614173228346,0.0,1.0,0.9,0.7787676299523247,0.13385826771653545,0.0,1.0,0.85,0.865751383782762,0.28346456692913385,0.0,1.0,0.72,-0.11421231935596168
22,light and navy blue decorative pillow,multi_constraint,251,22,0.44281305753755196,0.03571428571428571,0.045454545454545456,0.9545454545454546,0.7,0.3918692099902895,0.061224489795918366,0.09090909090909091,0.9090909090909091,0.6,0.5660759054997291,0.10714285714285714,0.13636363636363635,0.8636363636363636,0.44,0.5475924943946577
23,stoneford end tables white and wood,multi_constraint,1266,0,1.0,0.008143322475570033,,,1.0,1.0,0.016286644951140065,,,1.0,1.0,0.03908794788273615,,,0.96,0.22018655736570167
24,wood coffee table set by storage,multi_constraint,2559,84,0.5140589806486533,0.004764173415912339,0.03571428571428571,0.9642857142857143,1.0,0.5012529767547684,0.009528346831824679,0.05952380952380952,0.9404761904761905,1.0,0.4656859447380554,0.023820867079561697,0.10714285714285714,0.8928571428571429,1.0,0.5797921431402981
25,sunflower,brand_entity_proxy,242,227,1.0,0.04329004329004329,0.04405286343612335,0.9559471365638766,1.0,1.0,0.08658008658008658,0.0881057268722467,0.9118942731277533,1.0,1.0,0.21645021645021645,0.22026431718061673,0.7797356828193833,1.0,0.311888814377303
26,leather chairs,attribute_constraint,3746,876,0.8376318198599177,0.002433830240340736,0.00684931506849315,0.9931506849315068,0.8,0.8235666327003626,0.004867660480681472,0.012557077625570776,0.9874429223744292,0.8,0.8617333169878038,0.013994523881959233,0.0410958904109589,0.9589041095890412,0.92,0.5426624573968154
27,outdoor welcome rug,product_type,344,100,0.7619490156024054,0.029239766081871343,0.07,0.9299999999999999,1.0,0.7305217806911519,0.05847953216374269,0.12,0.88,1.0,0.7215087566746937,0.13742690058479531,0.27,0.73,0.94,0.3627635493989988
28,rooster decor,brand_entity_proxy,725,175,1.0,0.03333333333333333,0.05714285714285714,0.9428571428571428,1.0,1.0,0.06666666666666667,0.11428571428571428,0.8857142857142857,1.0,0.9899228271924333,0.16666666666666666,0.28,0.72,1.0,0.7149673925996856
29,bathroom vanity knobs,product_type,802,138,0.914856882358379,0.06521739130434782,0.06521739130434782,0.9347826086956522,1.0,0.8798481502121173,0.12318840579710146,0.12318840579710146,0.8768115942028986,1.0,0.7683204398190173,0.2536231884057971,0.2536231884057971,0.7463768115942029,0.98,0.28216913162407103
30,3 1/2 inch drawer pull,multi_constraint,549,88,0.4980203956315679,0.029411764705882353,0.03409090909090909,0.9659090909090909,1.0,0.46603103075827956,0.05588235294117647,0.045454545454545456,0.9545454545454546,0.95,0.5058720058357884,0.1323529411764706,0.125,0.875,0.9,0.7465811872182276
31,burnt orange curtains,product_type,168,1,0.6943559465628248,0.047619047619047616,0.0,1.0,0.8,0.7787676299523247,0.07738095238095238,0.0,1.0,0.65,0.865751383782762,0.13690476190476192,0.0,1.0,0.46,-0.13323467750529827
32,dark gray dresser,attribute_constraint,211,3,0.6593007041766438,0.038461538461538464,0.3333333333333333,0.6666666666666667,0.7,0.7748512910504423,0.06593406593406594,0.3333333333333333,0.6666666666666667,0.6,0.8517062951373683,0.14835164835164835,0.6666666666666666,0.33333333333333337,0.54,0.5618638723447928
33,non slip shower floor tile,multi_constraint,669,125,0.6219713612221489,0.012987012987012988,0.016,0.984,0.5,0.589159661965489,0.033766233766233764,0.04,0.96,0.65,0.5425983984882078,0.09090909090909091,0.088,0.912,0.72,0.6117137644731184
34,bar stool with backrest,product_type,740,374,0.9368077570869662,0.010884353741496598,0.01871657754010695,0.9812834224598931,0.8,0.841424038635535,0.02312925170068027,0.034759358288770054,0.9652406417112299,0.85,0.8219483356725035,0.055782312925170066,0.07754010695187166,0.9224598930481284,0.82,0.1911193190917198
35,enclosed shoe rack,product_type,174,51,0.4342648940640067,0.046511627906976744,0.0196078431372549,0.9803921568627451,0.8,0.42334243396897486,0.09883720930232558,0.058823529411764705,0.9411764705882353,0.85,0.43589142626781285,0.2558139534883721,0.1568627450980392,0.8431372549019608,0.88,-0.06866444550625221
36,laundry basket with wheels,product_type,157,37,0.8585157560180571,0.057692307692307696,0.1891891891891892,0.8108108108108107,0.9,0.7706407118716626,0.08974358974358974,0.2972972972972973,0.7027027027027026,0.7,0.7413818186011194,0.21153846153846154,0.43243243243243246,0.5675675675675675,0.66,0.3304944722783675
37,bar stool 24 inches height,multi_constraint,875,110,0.7602059953957722,0.010935601458080195,0.045454545454545456,0.9545454545454546,0.9,0.6817662423313186,0.023086269744835967,0.08181818181818182,0.9181818181818182,0.95,0.6092487115440324,0.05710814094775213,0.15454545454545454,0.8454545454545455,0.94,0.24335069582674662
38,calvin patio chair,product_type,255,1,1.0,0.04716981132075472,1.0,0.0,1.0,1.0,0.08962264150943396,1.0,0.0,0.95,1.0,0.2169811320754717,1.0,0.0,0.92,0.5966164333345766
39,door jewelry organizer,product_type,149,31,0.5289704589316268,0.06711409395973154,0.06451612903225806,0.935483870967742,1.0,0.5034416680297178,0.1342281879194631,0.12903225806451613,0.8709677419354839,1.0,0.6088122575694012,0.33557046979865773,0.3548387096774194,0.6451612903225806,1.0,0.19143512578812605
40,elegant executive chair,product_type,166,40,0.6821022741997647,0.054878048780487805,0.1,0.9,0.9,0.6779946000283074,0.11585365853658537,0.25,0.75,0.95,0.7097220716459207,0.24390243902439024,0.45,0.55,0.8,0.34205251001206805
41,closet pull out valet rod,multi_constraint,143,19,0.867129177606588,0.125,0.3684210526315789,0.631578947368421,1.0,0.8406047421680221,0.25,0.6842105263157895,0.3157894736842105,1.0,0.8996514913605181,0.375,0.7894736842105263,0.21052631578947367,0.66,0.5752422620392791
42,toddler couch fold out,product_type,149,3,0.6295622542805632,0.10666666666666667,0.3333333333333333,0.6666666666666667,0.8,0.753051663562428,0.21333333333333335,0.3333333333333333,0.6666666666666667,0.8,0.8495794694979162,0.5066666666666667,1.0,0.0,0.76,0.8008236399434189
43,solid teak end table,product_type,1231,22,0.630067391571673,0.009514747859181731,0.22727272727272727,0.7727272727272727,1.0,0.5995342567099464,0.019029495718363463,0.36363636363636365,0.6363636363636364,1.0,0.664544329231611,0.046622264509990484,0.36363636363636365,0.6363636363636364,0.98,0.33865611456692524
44,chrome shower head and valve,multi_constraint,219,33,0.5858555591172903,0.041474654377880185,0.09090909090909091,0.9090909090909091,0.9,0.5699306401018595,0.07834101382488479,0.21212121212121213,0.7878787878787878,0.85,0.649518719957035,0.1889400921658986,0.3939393939393939,0.6060606060606061,0.82,0.3126022741683567
45,70s inspired furniture,attribute_constraint,169,20,0.584297301519495,0.028037383177570093,0.05,0.95,0.3,0.5065350405240834,0.056074766355140186,0.1,0.9,0.3,0.6330682225435761,0.06542056074766354,0.15,0.85,0.14,0.4888882622310308
46,beach blue headboard,attribute_constraint,104,5,0.6385504794149334,0.0784313725490196,0.4,0.6,0.8,0.7832001903080497,0.09803921568627451,0.4,0.6,0.5,0.8507671354947681,0.22549019607843138,0.8,0.19999999999999996,0.46,0.3314513837304078
47,porcelain loaf pan,product_type,105,0,1.0,0.1,,,1.0,1.0,0.2,,,1.0,0.9843500333548644,0.49,,,1.0,0.24493119794575124
48,arwen table lamp,product_type,282,1,1.0,0.031914893617021274,1.0,0.0,0.9,1.0,0.0673758865248227,1.0,0.0,0.95,1.0,0.17375886524822695,1.0,0.0,0.98,0.10295973345818706
49,moen matte black hooks,attribute_constraint,135,0,1.0,0.0603448275862069,,,0.7,1.0,0.10344827586206896,,,0.6,1.0,0.21551724137931033,,,0.5,0.5476848101626752
50,tufted chair with gold legs,multi_constraint,404,28,0.7872698329069556,0.017902813299232736,0.17857142857142858,0.8214285714285714,0.7,0.7010015800838039,0.03580562659846547,0.2857142857142857,0.7142857142857143,0.7,0.7155592488987654,0.09462915601023018,0.32142857142857145,0.6785714285714286,0.74,0.30054494748642874
51,kohen 5 drawer dresser,attribute_constraint,595,1,1.0,0.017006802721088437,1.0,0.0,1.0,1.0,0.034013605442176874,1.0,0.0,1.0,1.0,0.08503401360544217,1.0,0.0,1.0,0.1961783089114969
52,westling coffee table,product_type,1433,0,1.0,0.007042253521126761,,,1.0,1.0,0.014084507042253521,,,1.0,1.0,0.03450704225352113,,,0.98,0.13984638230670923
53,carolyn console table,product_type,610,0,1.0,0.01639344262295082,,,1.0,1.0,0.03278688524590164,,,1.0,1.0,0.08196721311475409,,,1.0,
54,wayfair sleep zippered,product_type,143,5,0.7476112839213618,0.07246376811594203,0.4,0.6,1.0,0.8394416884925002,0.11594202898550725,0.6,0.4,0.8,0.8894806375502221,0.3188405797101449,0.6,0.4,0.88,0.16271624094762135
55,tollette teal outdoor rug,product_type,171,1,1.0,0.058823529411764705,1.0,0.0,1.0,1.0,0.11764705882352941,1.0,0.0,1.0,1.0,0.2823529411764706,1.0,0.0,0.96,0.18622492465354767
56,royal blue counter height chairs,multi_constraint,344,0,0.9337457765456111,0.030303030303030304,,,0.7,0.8486853283855637,0.047619047619047616,,,0.7,0.6639873066526099,0.1038961038961039,,,0.66,-0.24099432637702942
57,jordanna solid wood rocking,attribute_constraint,1406,1,0.9455636957344249,0.042105263157894736,1.0,0.0,0.9,0.9605977198840381,0.09473684210526316,1.0,0.0,0.95,0.9492041869149914,0.21052631578947367,1.0,0.0,0.84,0.2960084190392036
