query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,1.0,0.003316749585406302,0.2564102564102564,0.7435897435897436,1.0,0.9603789329441845,0.006301824212271974,0.48717948717948717,0.5128205128205128,1.0,0.871500396223157,0.015257048092868989,0.7692307692307693,0.23076923076923073,0.98,0.39320634490829015
1,smart coffee table,product_type,1436,8,0.5255664792793981,0.007052186177715092,0.125,0.875,1.0,0.6048136069557486,0.014104372355430184,0.125,0.875,1.0,0.716076660716058,0.03526093088857546,0.125,0.875,1.0,0.1115659035160101
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9904743550716205,0.31645569620253167,0.32450331125827814,0.6754966887417219,1.0,0.2812662989843076
3,turquoise pillows,brand_entity_proxy,997,55,0.7917199243085452,0.011658031088082901,0.10909090909090909,0.8909090909090909,1.0,0.7038735237720523,0.023316062176165803,0.16363636363636364,0.8363636363636364,0.95,0.5153128485248383,0.05699481865284974,0.16363636363636364,0.8363636363636364,0.98,0.5225069893131821
4,chair and a half recliner,multi_constraint,239,23,0.3333333333333333,0.042105263157894736,0.0,1.0,0.8,0.3570066732722763,0.05263157894736842,0.0,1.0,0.5,0.5031967121926663,0.07894736842105263,0.043478260869565216,0.9565217391304348,0.3,0.28573456764471256
5,sofa with ottoman,product_type,1344,179,0.6927913446250978,0.007639419404125287,0.027932960893854747,0.9720670391061452,1.0,0.6810120725763043,0.014514896867838044,0.055865921787709494,0.9441340782122905,0.95,0.6651853687850164,0.03666921313980138,0.12849162011173185,0.8715083798882681,0.96,0.3790437208227303
6,acrylic clear chair,attribute_constraint,109,43,0.9363792118010482,0.030303030303030304,0.06976744186046512,0.9302325581395349,0.3,0.8203986863704388,0.06060606060606061,0.13953488372093023,0.8604651162790697,0.3,0.7634456672635028,0.08080808080808081,0.18604651162790697,0.813953488372093,0.16,0.32076160200383
7,driftwood mirror,product_type,603,23,0.9095430364058891,0.018691588785046728,0.34782608695652173,0.6521739130434783,1.0,0.7052002615621595,0.037383177570093455,0.34782608695652173,0.6521739130434783,1.0,0.8044835338546287,0.09345794392523364,0.5652173913043478,0.4347826086956522,1.0,0.48563248023149647
8,home sweet home sign,product_type,105,25,0.8611375561264455,0.10638297872340426,0.32,0.6799999999999999,1.0,0.7465224955112392,0.2127659574468085,0.44,0.56,1.0,0.8102573691592166,0.425531914893617,0.6,0.4,0.82,0.45679012655160117
9,coffee table fire pit,product_type,1516,74,1.0,0.006622516556291391,0.13513513513513514,0.8648648648648649,1.0,1.0,0.013245033112582781,0.2702702702702703,0.7297297297297297,1.0,0.9778728896266614,0.033112582781456956,0.6486486486486487,0.3513513513513513,1.0,0.3843795562124936
