query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.8463507934928552,0.003316749585406302,0.1794871794871795,0.8205128205128205,1.0,0.712390956779562,0.006633499170812604,0.23076923076923078,0.7692307692307692,1.0,0.6141625548425422,0.01625207296849088,0.2564102564102564,0.7435897435897436,0.98,0.39084728123332546
1,smart coffee table,product_type,1436,8,0.5255664792793981,0.007052186177715092,0.125,0.875,1.0,0.5861517175110211,0.013399153737658674,0.125,0.875,1.0,0.7026689471364524,0.03385049365303244,0.125,0.875,0.98,0.0870371927328693
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9896622657318656,0.31645569620253167,0.32450331125827814,0.6754966887417219,1.0,0.29576450481395855
3,turquoise pillows,brand_entity_proxy,997,55,0.8645073774981994,0.012953367875647668,0.12727272727272726,0.8727272727272728,1.0,0.6881566691244321,0.02461139896373057,0.14545454545454545,0.8545454545454545,1.0,0.5505788677764994,0.06217616580310881,0.2,0.8,1.0,0.5412405541384612
4,chair and a half recliner,multi_constraint,239,23,0.3775028156362593,0.021052631578947368,0.0,1.0,0.4,0.43195183030561446,0.042105263157894736,0.0,1.0,0.4,0.565639673796322,0.1,0.17391304347826086,0.8260869565217391,0.38,0.5303393360474407
5,sofa with ottoman,product_type,1344,179,0.7370031770794806,0.006111535523300229,0.027932960893854747,0.9720670391061452,0.8,0.6657211574712889,0.013750954927425516,0.0446927374301676,0.9553072625698324,0.9,0.5762775115457933,0.03514132925897632,0.07262569832402235,0.9273743016759777,0.92,0.43133884605719364
6,acrylic clear chair,attribute_constraint,109,43,1.0,0.09090909090909091,0.20930232558139536,0.7906976744186046,0.9,0.9777083390768576,0.15151515151515152,0.3488372093023256,0.6511627906976745,0.75,0.8734507114273289,0.21212121212121213,0.4418604651162791,0.5581395348837209,0.42,0.6179654067343613
7,driftwood mirror,product_type,603,23,0.867129177606588,0.018691588785046728,0.30434782608695654,0.6956521739130435,1.0,0.7692074483794668,0.037383177570093455,0.4782608695652174,0.5217391304347826,1.0,0.8228863714150291,0.09345794392523364,0.6086956521739131,0.3913043478260869,1.0,0.35957180710297065
8,home sweet home sign,product_type,105,25,0.8842222191013388,0.10638297872340426,0.32,0.6799999999999999,1.0,0.8344076522619854,0.2127659574468085,0.56,0.43999999999999995,1.0,0.9134514288249874,0.425531914893617,0.76,0.24,0.8,0.5617672007200926
9,coffee table fire pit,product_type,1516,74,1.0,0.005960264900662252,0.12162162162162163,0.8783783783783784,0.9,0.9542036139087611,0.011920529801324504,0.22972972972972974,0.7702702702702703,0.9,0.8957727922804697,0.02781456953642384,0.47297297297297297,0.527027027027027,0.84,0.3472323271755371
10,king poster bed,attribute_constraint,177,21,0.7991971355969069,0.056818181818181816,0.2857142857142857,0.7142857142857143,1.0,0.7512481949817046,0.11363636363636363,0.5238095238095238,0.47619047619047616,1.0,0.9233946624613004,0.2556818181818182,0.9523809523809523,0.04761904761904767,0.9,0.4901401082438701
11,ombre rug,product_type,1428,65,1.0,0.007042253521126761,0.15384615384615385,0.8461538461538461,1.0,0.9784411392344535,0.014084507042253521,0.2923076923076923,0.7076923076923076,1.0,0.9028252852334168,0.035211267605633804,0.6153846153846154,0.3846153846153846,1.0,0.3526107387009535
12,large spoon and fork wall decor,multi_constraint,225,27,0.8039369346935542,0.05113636363636364,0.2222222222222222,0.7777777777777778,0.9,0.8053002085192077,0.10795454545454546,0.4444444444444444,0.5555555555555556,0.95,0.8745561232957056,0.24431818181818182,0.7407407407407407,0.2592592592592593,0.86,0.6019600529264053
13,outdoor privacy wall,product_type,122,46,1.0,0.17543859649122806,0.21739130434782608,0.782608695652174,1.0,1.0,0.3157894736842105,0.391304347826087,0.6086956521739131,0.9,0.9832498559375323,0.7543859649122807,0.8913043478260869,0.10869565217391308,0.88,0.8356181890820712
14,beds that have leds,product_type,2692,20,0.5637884576902256,0.002546148949713558,0.2,0.8,0.9,0.45102717164126455,0.004455760661998727,0.3,0.7,0.8,0.42758500185411114,0.005728835136855506,0.3,0.7,0.82,-0.008950690207165312
15,black 5 drawer dresser by guilford,multi_constraint,613,2,0.8383354523103075,0.016722408026755852,0.5,0.5,1.0,0.8775146726258255,0.033444816053511704,0.5,0.5,1.0,0.9492728506001012,0.08361204013377926,1.0,0.0,1.0,0.258708029765259
16,blk 18x18 seat cushions,attribute_constraint,493,4,0.4971901823215494,0.02631578947368421,0.0,1.0,0.8,0.5814606161692291,0.041353383458646614,0.5,0.5,0.65,0.5872658972091223,0.07142857142857142,0.5,0.5,0.48,0.10883852043526435
17,closet storage with zipper,product_type,103,21,0.3333333333333333,0.07766990291262135,0.0,1.0,0.8,0.3589230921102553,0.1650485436893204,0.047619047619047616,0.9523809523809523,0.85,0.6133555583103034,0.36893203883495146,0.2857142857142857,0.7142857142857143,0.76,-0.003242031911084864
