query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.724529723117943,0.003316749585406302,0.1282051282051282,0.8717948717948718,1.0,0.6568313833886458,0.006633499170812604,0.20512820512820512,0.7948717948717949,1.0,0.5913558608445303,0.01625207296849088,0.2564102564102564,0.7435897435897436,0.98,0.39041402785989554
1,smart coffee table,product_type,1436,8,0.4854074120099831,0.006346967559943582,0.125,0.875,1.0,0.5713625200297726,0.013399153737658674,0.125,0.875,1.0,0.6920435855144101,0.03455571227080395,0.125,0.875,1.0,0.08506948440912437
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9891293597761979,0.31645569620253167,0.32450331125827814,0.6754966887417219,1.0,0.2728173064184393
3,turquoise pillows,brand_entity_proxy,997,55,0.8645073774981994,0.012953367875647668,0.12727272727272726,0.8727272727272728,1.0,0.6761357177867575,0.025906735751295335,0.12727272727272726,0.8727272727272728,1.0,0.5405672450784837,0.06217616580310881,0.18181818181818182,0.8181818181818181,1.0,0.5458842391856662
4,chair and a half recliner,multi_constraint,239,23,0.38224261473290666,0.02631578947368421,0.0,1.0,0.5,0.4336478887018305,0.042105263157894736,0.043478260869565216,0.9565217391304348,0.4,0.6280746172621792,0.08421052631578947,0.13043478260869565,0.8695652173913043,0.32,0.5526337489080076
5,sofa with ottoman,product_type,1344,179,0.7788708846071952,0.006875477463712758,0.027932960893854747,0.9720670391061452,0.9,0.7647904408825493,0.013750954927425516,0.061452513966480445,0.9385474860335196,0.9,0.627706036007137,0.03361344537815126,0.0893854748603352,0.9106145251396648,0.88,0.43790479689276285
6,acrylic clear chair,attribute_constraint,109,43,1.0,0.08080808080808081,0.18604651162790697,0.813953488372093,0.8,0.9544166796826724,0.13131313131313133,0.3023255813953488,0.6976744186046512,0.65,0.8639544627611448,0.20202020202020202,0.4186046511627907,0.5813953488372092,0.4,0.6089178469120072
7,driftwood mirror,product_type,603,23,0.9575861412006988,0.018691588785046728,0.391304347826087,0.6086956521739131,1.0,0.8073453999840382,0.037383177570093455,0.5217391304347826,0.4782608695652174,1.0,0.80936838654812,0.09345794392523364,0.5217391304347826,0.4782608695652174,1.0,0.376154427919281
8,home sweet home sign,product_type,105,25,0.9053206285482486,0.10638297872340426,0.32,0.6799999999999999,1.0,0.8495527539784975,0.2127659574468085,0.56,0.43999999999999995,1.0,0.8988091646634331,0.4148936170212766,0.72,0.28,0.78,0.5652078546482746
9,coffee table fire pit,product_type,1516,74,1.0,0.006622516556291391,0.13513513513513514,0.8648648648648649,1.0,0.9525956928750619,0.013245033112582781,0.24324324324324326,0.7567567567567568,1.0,0.8838000525287052,0.031125827814569535,0.5135135135135135,0.4864864864864865,0.94,0.32824202837203625
10,king poster bed,attribute_constraint,177,21,0.7554797864180018,0.056818181818181816,0.23809523809523808,0.7619047619047619,1.0,0.7267398417936394,0.11363636363636363,0.47619047619047616,0.5238095238095238,1.0,0.9340985354570586,0.25,0.9047619047619048,0.09523809523809523,0.88,0.49302475506471316
11,ombre rug,product_type,1428,65,1.0,0.007042253521126761,0.15384615384615385,0.8461538461538461,1.0,1.0,0.014084507042253521,0.3076923076923077,0.6923076923076923,1.0,0.9325188925124156,0.03450704225352113,0.6461538461538462,0.3538461538461538,0.98,0.34855405114579857
12,large spoon and fork wall decor,multi_constraint,225,27,0.8148636649541376,0.05113636363636364,0.2222222222222222,0.7777777777777778,0.9,0.7623377615524755,0.10795454545454546,0.4074074074074074,0.5925925925925926,0.95,0.8859057160802385,0.24431818181818182,0.7037037037037037,0.2962962962962963,0.86,0.6031949708599382
13,outdoor privacy wall,product_type,122,46,1.0,0.17543859649122806,0.21739130434782608,0.782608695652174,1.0,1.0,0.3157894736842105,0.391304347826087,0.6086956521739131,0.9,0.9839579318903414,0.7368421052631579,0.8913043478260869,0.10869565217391308,0.86,0.8473815067569178
14,beds that have leds,product_type,2692,20,0.7056544131665645,0.0038192234245703373,0.25,0.75,0.9,0.5537009052672783,0.007001909611712286,0.4,0.6,0.8,0.47738986669201666,0.010184595798854232,0.4,0.6,0.78,0.0341144096944486
15,black 5 drawer dresser by guilford,multi_constraint,613,2,0.8383354523103075,0.016722408026755852,0.5,0.5,1.0,0.8775146726258255,0.033444816053511704,0.5,0.5,1.0,0.948564113603927,0.08193979933110368,1.0,0.0,0.98,0.2528909951752982
16,blk 18x18 seat cushions,attribute_constraint,493,4,0.321275428246335,0.018796992481203006,0.0,1.0,0.8,0.43907890389665793,0.03383458646616541,0.25,0.75,0.75,0.5455420868119997,0.06015037593984962,0.25,0.75,0.48,0.09656044732772823
17,closet storage with zipper,product_type,103,21,0.38224261473290666,0.08737864077669903,0.047619047619047616,0.9523809523809523,0.9,0.36489778658525723,0.1650485436893204,0.047619047619047616,0.9523809523809523,0.85,0.6176767925687741,0.36893203883495146,0.19047619047619047,0.8095238095238095,0.76,0.0048630478666272965
18,chrome bathroom 4 light vanity light,multi_constraint,1053,34,0.8842222191013388,0.0364963503649635,0.23529411764705882,0.7647058823529411,1.0,0.8299035879364931,0.072992700729927,0.4117647058823529,0.5882352941176471,1.0,0.820066819145867,0.17883211678832117,0.6764705882352942,0.32352941176470584,0.98,0.5182872219008076
19,gurney  slade 56,attribute_constraint,14,0,0.8454256604216018,0.1,,,0.1,0.9631529598049084,0.2,,,0.1,0.9631529598049084,0.3,,,0.06,0.31378581622109447
20,foutains with brick look,product_type,94,12,0.320948252359826,0.022222222222222223,0.08333333333333333,0.9166666666666666,0.4,0.38404676667472715,0.05555555555555555,0.08333333333333333,0.9166666666666666,0.35,0.639444401099759,0.1,0.08333333333333333,0.9166666666666666,0.22,-0.15486856803467905
21,living curtains pearl,product_type,127,1,0.6943559465628248,0.047244094488188976,0.0,1.0,0.6,0.7787676299523247,0.08661417322834646,0.0,1.0,0.55,0.8904919046172654,0.14173228346456693,0.0,1.0,0.36,0.053461085655982066
22,light and navy blue decorative pillow,multi_constraint,251,22,0.38559884598578353,0.03571428571428571,0.045454545454545456,0.9545454545454546,0.7,0.36706378864974476,0.05612244897959184,0.045454545454545456,0.9545454545454546,0.55,0.5463674278758559,0.15306122448979592,0.13636363636363635,0.8636363636363636,0.6,0.6213006508208118
23,stoneford end tables white and wood,multi_constraint,1266,0,1.0,0.007328990228013029,,,0.9,1.0,0.012214983713355049,,,0.75,1.0,0.02768729641693811,,,0.68,0.20701311091455227
24,wood coffee table set by storage,multi_constraint,2559,84,0.48006117753205346,0.004764173415912339,0.011904761904761904,0.9880952380952381,1.0,0.47187721477779393,0.009528346831824679,0.03571428571428571,0.9642857142857143,1.0,0.4835550312330979,0.023820867079561697,0.11904761904761904,0.8809523809523809,1.0,0.5781753120423258
25,sunflower,brand_entity_proxy,242,227,1.0,0.04329004329004329,0.04405286343612335,0.9559471365638766,1.0,1.0,0.08658008658008658,0.0881057268722467,0.9118942731277533,1.0,1.0,0.21645021645021645,0.22026431718061673,0.7797356828193833,1.0,0.31091910159186087
26,leather chairs,attribute_constraint,3746,876,0.9368077570869662,0.0027380590203833284,0.0091324200913242,0.9908675799086758,0.9,0.9592177897479789,0.004867660480681472,0.017123287671232876,0.9828767123287672,0.8,0.9373837792105453,0.013994523881959233,0.04794520547945205,0.952054794520548,0.92,0.5203980610993227
27,outdoor welcome rug,product_type,344,100,0.7177795332994793,0.029239766081871343,0.06,0.94,1.0,0.7474096384960671,0.05847953216374269,0.13,0.87,1.0,0.7224409929522063,0.13157894736842105,0.26,0.74,0.9,0.40666569329766566
28,rooster decor,brand_entity_proxy,725,175,1.0,0.03333333333333333,0.05714285714285714,0.9428571428571428,1.0,1.0,0.06666666666666667,0.11428571428571428,0.8857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,0.7142857142857143,1.0,0.6994092698229706
29,bathroom vanity knobs,product_type,802,138,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.98,-0.5570610821038551
30,3 1/2 inch drawer pull,multi_constraint,549,88,0.5172314361145776,0.029411764705882353,0.03409090909090909,0.9659090909090909,1.0,0.5263400742805916,0.058823529411764705,0.06818181818181818,0.9318181818181819,1.0,0.6014186256909111,0.14705882352941177,0.25,0.75,1.0,0.768322403835676
