query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.6272802195539117,0.003316749585406302,0.10256410256410256,0.8974358974358975,1.0,0.5694670835580742,0.006301824212271974,0.1282051282051282,0.8717948717948718,0.95,0.5625890369370742,0.015588723051409618,0.2564102564102564,0.7435897435897436,0.94,0.4172751241510049
1,smart coffee table,product_type,1436,8,0.46628041186554436,0.007052186177715092,0.125,0.875,1.0,0.5207344302456374,0.012693935119887164,0.125,0.875,1.0,0.655669619795734,0.03385049365303244,0.125,0.875,1.0,0.057821338957512805
2,dinosaur,brand_entity_proxy,165,151,0.9368077570869662,0.06329113924050633,0.059602649006622516,0.9403973509933775,1.0,0.9376589289824323,0.12658227848101267,0.11920529801324503,0.880794701986755,1.0,0.9557241731426236,0.310126582278481,0.304635761589404,0.695364238410596,0.98,0.22054192963982758
3,turquoise pillows,brand_entity_proxy,997,55,0.7665802947463118,0.011658031088082901,0.10909090909090909,0.8909090909090909,1.0,0.6678696156940456,0.022020725388601035,0.16363636363636364,0.8363636363636364,0.95,0.5584022269008551,0.05829015544041451,0.23636363636363636,0.7636363636363637,0.94,0.5627164581178283
4,chair and a half recliner,multi_constraint,239,23,0.5534250996314135,0.02631578947368421,0.08695652173913043,0.9130434782608696,0.5,0.5009631317439127,0.04736842105263158,0.08695652173913043,0.9130434782608696,0.45,0.6149989360334935,0.08947368421052632,0.13043478260869565,0.8695652173913043,0.34,0.48135664130769606
5,sofa with ottoman,product_type,1344,179,0.9048032373092417,0.007639419404125287,0.0446927374301676,0.9553072625698324,1.0,0.8682985512877289,0.015278838808250574,0.08379888268156424,0.9162011173184358,1.0,0.747262090928407,0.03590527119938885,0.15083798882681565,0.8491620111731844,0.94,0.4405097987098211
6,acrylic clear chair,attribute_constraint,109,43,1.0,0.10101010101010101,0.23255813953488372,0.7674418604651163,1.0,0.9757624746743075,0.18181818181818182,0.3953488372093023,0.6046511627906976,0.9,0.8964322489474557,0.25252525252525254,0.5581395348837209,0.4418604651162791,0.52,0.6632032058461308
7,driftwood mirror,product_type,603,23,0.9477344873475497,0.018691588785046728,0.391304347826087,0.6086956521739131,1.0,0.8018195238767367,0.037383177570093455,0.5217391304347826,0.4782608695652174,1.0,0.8779059656216339,0.09345794392523364,0.7391304347826086,0.26086956521739135,1.0,0.4815781778076287
8,home sweet home sign,product_type,105,25,0.7979589033322888,0.10638297872340426,0.24,0.76,1.0,0.7532228192016621,0.20212765957446807,0.44,0.56,0.95,0.8693032692192677,0.4148936170212766,0.68,0.31999999999999995,0.78,0.4823103725944483
9,coffee table fire pit,product_type,1516,74,0.955830517697074,0.006622516556291391,0.12162162162162163,0.8783783783783784,1.0,0.9223857660866567,0.011920529801324504,0.20270270270270271,0.7972972972972973,0.9,0.7563286871757725,0.029801324503311258,0.33783783783783783,0.6621621621621622,0.9,0.27283884383161316
10,king poster bed,attribute_constraint,177,21,0.7490360318138383,0.056818181818181816,0.2857142857142857,0.7142857142857143,1.0,0.7456314330739762,0.10795454545454546,0.5238095238095238,0.47619047619047616,0.95,0.892561955037008,0.23295454545454544,0.8571428571428571,0.1428571428571429,0.82,0.4903066757768322
11,ombre rug,product_type,1428,65,1.0,0.007042253521126761,0.15384615384615385,0.8461538461538461,1.0,0.9772913518293451,0.014084507042253521,0.2923076923076923,0.7076923076923076,1.0,0.7991327592997742,0.035211267605633804,0.46153846153846156,0.5384615384615384,1.0,0.2842339373519425
