query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.5323266901845036,0.003316749585406302,0.05128205128205128,0.9487179487179487,1.0,0.5059587897070432,0.006633499170812604,0.10256410256410256,0.8974358974358975,1.0,0.49873788435849015,0.01658374792703151,0.15384615384615385,0.8461538461538461,1.0,0.4116452025907287
1,smart coffee table,product_type,1436,8,0.5255664792793981,0.007052186177715092,0.125,0.875,1.0,0.6048136069557486,0.014104372355430184,0.125,0.875,1.0,0.716076660716058,0.03526093088857546,0.125,0.875,1.0,0.1040640111450099
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9778752394599243,0.31645569620253167,0.31788079470198677,0.6821192052980132,1.0,0.26458396222303493
3,turquoise pillows,brand_entity_proxy,997,55,0.7139059108075956,0.012953367875647668,0.10909090909090909,0.8909090909090909,1.0,0.7141002631765236,0.02461139896373057,0.21818181818181817,0.7818181818181819,1.0,0.5890285165059346,0.06088082901554404,0.3090909090909091,0.6909090909090909,0.98,0.5113738573215572
4,chair and a half recliner,multi_constraint,239,23,0.3333333333333333,0.02631578947368421,0.0,1.0,0.5,0.4061774057137201,0.042105263157894736,0.0,1.0,0.4,0.5769985636811318,0.08421052631578947,0.08695652173913043,0.9130434782608696,0.32,0.5061305140191324
5,sofa with ottoman,product_type,1344,179,0.9014470060563649,0.007639419404125287,0.0446927374301676,0.9553072625698324,1.0,0.8909386728934193,0.014514896867838044,0.08379888268156424,0.9162011173184358,0.95,0.8491260088395788,0.03590527119938885,0.19553072625698323,0.8044692737430168,0.94,0.4965991709667935
6,acrylic clear chair,attribute_constraint,109,43,1.0,0.10101010101010101,0.23255813953488372,0.7674418604651163,1.0,0.9544166796826724,0.1717171717171717,0.37209302325581395,0.627906976744186,0.85,0.9040222029596952,0.25252525252525254,0.5348837209302325,0.4651162790697675,0.5,0.6819811601944126
7,driftwood mirror,product_type,603,23,0.8101238658574904,0.018691588785046728,0.2608695652173913,0.7391304347826086,1.0,0.6410383750792527,0.037383177570093455,0.2608695652173913,0.7391304347826086,1.0,0.7686134007647771,0.09345794392523364,0.5217391304347826,0.4782608695652174,1.0,0.4387445101210868
8,home sweet home sign,product_type,105,25,0.911298659909514,0.10638297872340426,0.32,0.6799999999999999,1.0,0.8736232686796286,0.2127659574468085,0.6,0.4,1.0,0.9335957011998981,0.4574468085106383,0.88,0.12,0.86,0.6006540159803379
9,coffee table fire pit,product_type,1516,74,1.0,0.006622516556291391,0.13513513513513514,0.8648648648648649,1.0,0.9322936335303763,0.011920529801324504,0.22972972972972974,0.7702702702702703,0.9,0.8066098988785829,0.027152317880794703,0.3918918918918919,0.6081081081081081,0.82,0.33414158667202537
