query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.6437814404752934,0.002321724709784411,0.15384615384615385,0.8461538461538461,1.0,0.6504591325934368,0.004975124378109453,0.3076923076923077,0.6923076923076923,1.0,0.6383201583014905,0.012271973466003316,0.48717948717948717,0.5128205128205128,0.9,0.2422011708173409
1,smart coffee table,product_type,1436,8,0.3649302102017378,0.005641748942172073,0.0,1.0,0.8,0.47100925925184517,0.012693935119887164,0.0,1.0,0.9,0.6199443599094665,0.03314527503526093,0.0,1.0,0.94,0.040308559407275936
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9796978590842722,0.31645569620253167,0.31788079470198677,0.6821192052980132,1.0,0.23260165004961728
3,turquoise pillows,brand_entity_proxy,997,55,0.6664577051289793,0.011658031088082901,0.07272727272727272,0.9272727272727272,1.0,0.5483209258664734,0.02461139896373057,0.07272727272727272,0.9272727272727272,1.0,0.5021220874409423,0.05958549222797927,0.18181818181818182,0.8181818181818181,0.98,0.5526373399619243
4,chair and a half recliner,multi_constraint,239,23,0.5323266901845036,0.010526315789473684,0.043478260869565216,0.9565217391304348,0.2,0.5386321187972785,0.02631578947368421,0.043478260869565216,0.9565217391304348,0.25,0.6702774559127255,0.06842105263157895,0.21739130434782608,0.782608695652174,0.26,0.43869095140578024
5,sofa with ottoman,product_type,1344,179,0.7612059172192025,0.004583651642475172,0.0223463687150838,0.9776536312849162,0.6,0.6545450904520914,0.006875477463712758,0.0335195530726257,0.9664804469273743,0.5,0.7106365912341271,0.020626432391138275,0.0670391061452514,0.9329608938547486,0.56,0.42136136926851875
6,acrylic clear chair,attribute_constraint,109,43,0.9069212362975005,0.0707070707070707,0.13953488372093023,0.8604651162790697,0.7,0.8676545310354871,0.12121212121212122,0.23255813953488372,0.7674418604651163,0.6,0.8719090582158822,0.1717171717171717,0.27906976744186046,0.7209302325581395,0.34,0.5746054030574199
7,driftwood mirror,product_type,603,23,0.7659543835545644,0.018691588785046728,0.21739130434782608,0.782608695652174,1.0,0.6610773402524709,0.037383177570093455,0.30434782608695654,0.6956521739130435,1.0,0.7277815519472071,0.09345794392523364,0.391304347826087,0.6086956521739131,1.0,0.4612921372943289
8,home sweet home sign,product_type,105,25,0.6255245960502868,0.06382978723404255,0.08,0.92,0.6,0.6386014232474482,0.1276595744680851,0.2,0.8,0.6,0.7498718516308946,0.23404255319148937,0.36,0.64,0.46,0.387457236962838
9,coffee table fire pit,product_type,1516,74,0.439004693160654,0.005298013245033113,0.02702702702702703,0.972972972972973,0.8,0.42640134554421105,0.011920529801324504,0.04054054054054054,0.9594594594594594,0.9,0.4602306434261284,0.030463576158940398,0.13513513513513514,0.8648648648648649,0.92,0.23757638539185127
10,king poster bed,attribute_constraint,177,21,0.7581015865263904,0.03977272727272727,0.23809523809523808,0.7619047619047619,0.7,0.6810926020936289,0.07954545454545454,0.3333333333333333,0.6666666666666667,0.7,0.7675408480892244,0.1590909090909091,0.42857142857142855,0.5714285714285714,0.56,0.20699044471135775
11,ombre rug,product_type,1428,65,0.92663607790064,0.007042253521126761,0.13846153846153847,0.8615384615384616,1.0,0.8598413043360069,0.014084507042253521,0.23076923076923078,0.7692307692307692,1.0,0.733443987927006,0.035211267605633804,0.4,0.6,1.0,0.2789852430731991
12,large spoon and fork wall decor,multi_constraint,225,27,0.852946122977999,0.03977272727272727,0.2222222222222222,0.7777777777777778,0.8,0.6909373089118013,0.056818181818181816,0.2962962962962963,0.7037037037037037,0.55,0.8303502186839345,0.09090909090909091,0.37037037037037035,0.6296296296296297,0.38,0.38199203045118924
