query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.657757122187338,0.002321724709784411,0.15384615384615385,0.8461538461538461,1.0,0.6452507106681055,0.004975124378109453,0.28205128205128205,0.717948717948718,1.0,0.655816378495659,0.011940298507462687,0.4358974358974359,0.5641025641025641,0.88,0.2479934699949721
1,smart coffee table,product_type,1436,8,0.3649302102017378,0.006346967559943582,0.0,1.0,0.9,0.47100925925184517,0.013399153737658674,0.0,1.0,0.95,0.6199443599094665,0.03385049365303244,0.0,1.0,0.96,0.059831686225672746
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.980694839871016,0.31645569620253167,0.31788079470198677,0.6821192052980132,1.0,0.23194917549282904
3,turquoise pillows,brand_entity_proxy,997,55,0.5615682608436059,0.010362694300518135,0.05454545454545454,0.9454545454545454,1.0,0.5769000157435858,0.023316062176165803,0.12727272727272726,0.8727272727272728,1.0,0.4959733519520308,0.05958549222797927,0.2,0.8,1.0,0.5546504553384768
4,chair and a half recliner,multi_constraint,239,23,0.5534250996314135,0.010526315789473684,0.043478260869565216,0.9565217391304348,0.2,0.5017874176708679,0.021052631578947368,0.08695652173913043,0.9130434782608696,0.2,0.6914176614121075,0.05263157894736842,0.08695652173913043,0.9130434782608696,0.2,0.46433203510773186
5,sofa with ottoman,product_type,1344,179,0.8311363972596455,0.0053475935828877,0.0223463687150838,0.9776536312849162,0.7,0.821324976399984,0.009167303284950344,0.05027932960893855,0.9497206703910615,0.6,0.8210610307774141,0.023682200152788387,0.12849162011173185,0.8715083798882681,0.62,0.46001133250974624
6,acrylic clear chair,attribute_constraint,109,43,0.92663607790064,0.0707070707070707,0.13953488372093023,0.8604651162790697,0.7,0.8757783497303522,0.1111111111111111,0.20930232558139536,0.7906976744186046,0.55,0.8462425712922532,0.1717171717171717,0.3023255813953488,0.6976744186046512,0.34,0.548828392997506
7,driftwood mirror,product_type,603,23,0.7424350571691596,0.018691588785046728,0.21739130434782608,0.782608695652174,1.0,0.6215917534213448,0.037383177570093455,0.2608695652173913,0.7391304347826086,1.0,0.7558305926149901,0.09345794392523364,0.5217391304347826,0.4782608695652174,1.0,0.4782861758123555
8,home sweet home sign,product_type,105,25,0.5666445186342807,0.05319148936170213,0.04,0.96,0.5,0.6250407952254214,0.11702127659574468,0.16,0.84,0.55,0.7661152510427527,0.2127659574468085,0.36,0.64,0.4,0.3997099254121196
9,coffee table fire pit,product_type,1516,74,0.6249016527668734,0.005960264900662252,0.04054054054054054,0.9594594594594594,0.9,0.5707651052569435,0.011920529801324504,0.06756756756756757,0.9324324324324325,0.9,0.5169747550666113,0.031788079470198675,0.13513513513513514,0.8648648648648649,0.96,0.24716798994210087
