query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.5486074391227889,0.002321724709784411,0.07692307692307693,0.9230769230769231,0.8,0.5190453594681071,0.005306799336650083,0.15384615384615385,0.8461538461538461,0.85,0.5361144913350867,0.012603648424543947,0.3076923076923077,0.6923076923076923,0.8,0.2822243549219289
1,smart coffee table,product_type,1436,8,0.3649302102017378,0.005641748942172073,0.0,1.0,0.8,0.47100925925184517,0.012693935119887164,0.0,1.0,0.9,0.6199443599094665,0.03314527503526093,0.0,1.0,0.94,0.02401720137217693
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9791056826438647,0.310126582278481,0.31125827814569534,0.6887417218543046,0.98,0.21363012289418926
3,turquoise pillows,brand_entity_proxy,997,55,0.4256473482532249,0.010362694300518135,0.03636363636363636,0.9636363636363636,0.9,0.36855693155436575,0.019430051813471502,0.03636363636363636,0.9636363636363636,0.9,0.39155035973932717,0.05181347150259067,0.09090909090909091,0.9090909090909091,0.88,0.5076928981878355
4,chair and a half recliner,multi_constraint,239,23,0.43450812738535693,0.0,0.0,1.0,0.0,0.4033078660335801,0.005263157894736842,0.0,1.0,0.05,0.5780619227260396,0.03684210526315789,0.08695652173913043,0.9130434782608696,0.14,0.4178637068247642
5,sofa with ottoman,product_type,1344,179,0.8018189357052955,0.002291825821237586,0.0111731843575419,0.9888268156424581,0.3,0.7977755020526447,0.007639419404125287,0.03910614525139665,0.9608938547486033,0.5,0.7341059658239252,0.019098548510313215,0.09497206703910614,0.9050279329608939,0.5,0.4204905873779776
6,acrylic clear chair,attribute_constraint,109,43,0.7490496219327154,0.010101010101010102,0.023255813953488372,0.9767441860465116,0.1,0.6651814329752204,0.010101010101010102,0.023255813953488372,0.9767441860465116,0.05,0.6931328952817977,0.010101010101010102,0.023255813953488372,0.9767441860465116,0.02,0.25025891885982693
7,driftwood mirror,product_type,603,23,0.5856672792443884,0.018691588785046728,0.13043478260869565,0.8695652173913043,1.0,0.5225954676362627,0.037383177570093455,0.17391304347826086,0.8260869565217391,1.0,0.6390184316834877,0.09345794392523364,0.30434782608695654,0.6956521739130435,1.0,0.5025662039018663
8,home sweet home sign,product_type,105,25,0.5147385148083378,0.02127659574468085,0.04,0.96,0.2,0.5424292499727297,0.031914893617021274,0.04,0.96,0.15,0.707686589648255,0.18085106382978725,0.2,0.8,0.36,0.33932521132722576
9,coffee table fire pit,product_type,1516,74,0.894393898287665,0.006622516556291391,0.10810810810810811,0.8918918918918919,1.0,0.9318452701567194,0.012582781456953643,0.22972972972972974,0.7702702702702703,0.95,0.8529564238962988,0.031788079470198675,0.4864864864864865,0.5135135135135135,0.96,0.33633813346284763
