query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.8236998933965709,0.002321724709784411,0.1794871794871795,0.8205128205128205,0.9,0.731892996837113,0.004643449419568822,0.2564102564102564,0.7435897435897436,0.85,0.6810224927240194,0.011940298507462687,0.41025641025641024,0.5897435897435898,0.78,0.2926040400228229
1,smart coffee table,product_type,1436,8,0.3649302102017378,0.005641748942172073,0.0,1.0,0.8,0.47100925925184517,0.011988716502115656,0.0,1.0,0.85,0.6199443599094665,0.03314527503526093,0.0,1.0,0.94,0.047360356484782457
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9810565350946091,0.31645569620253167,0.31788079470198677,0.6821192052980132,1.0,0.2093060965941179
3,turquoise pillows,brand_entity_proxy,997,55,0.6413645912295859,0.010362694300518135,0.09090909090909091,0.9090909090909091,1.0,0.5841304529654177,0.023316062176165803,0.12727272727272726,0.8727272727272728,1.0,0.5314304822747389,0.05829015544041451,0.2545454545454545,0.7454545454545455,0.98,0.5532404047254537
4,chair and a half recliner,multi_constraint,239,23,0.5021969360736879,0.02631578947368421,0.08695652173913043,0.9130434782608696,0.5,0.4765253840768855,0.03684210526315789,0.13043478260869565,0.8695652173913043,0.35,0.582492335336892,0.06842105263157895,0.13043478260869565,0.8695652173913043,0.26,0.4109445630350305
5,sofa with ottoman,product_type,1344,179,0.5277835411283265,0.004583651642475172,0.0111731843575419,0.9888268156424581,0.7,0.5782268204916159,0.01145912910618793,0.0446927374301676,0.9553072625698324,0.8,0.6281738275827374,0.030557677616501147,0.11173184357541899,0.888268156424581,0.82,0.4118630021268956
6,acrylic clear chair,attribute_constraint,109,43,0.7058098804580714,0.020202020202020204,0.023255813953488372,0.9767441860465116,0.2,0.6936763955623209,0.030303030303030304,0.046511627906976744,0.9534883720930233,0.15,0.6960597374332392,0.04040404040404041,0.06976744186046512,0.9302325581395349,0.08,0.30761703396003287
7,driftwood mirror,product_type,603,23,0.79584090434403,0.018691588785046728,0.2608695652173913,0.7391304347826086,1.0,0.6537305984575399,0.037383177570093455,0.30434782608695654,0.6956521739130435,1.0,0.7074642727752668,0.09345794392523364,0.34782608695652173,0.6521739130434783,1.0,0.52514993193283
8,home sweet home sign,product_type,105,25,0.7445530561574184,0.07446808510638298,0.16,0.84,0.7,0.6564852386717076,0.11702127659574468,0.24,0.76,0.55,0.7751204843158329,0.22340425531914893,0.36,0.64,0.44,0.36729599505992916
9,coffee table fire pit,product_type,1516,74,0.9575861412006988,0.006622516556291391,0.12162162162162163,0.8783783783783784,1.0,0.9287769587200518,0.011920529801324504,0.21621621621621623,0.7837837837837838,0.9,0.8640299252891184,0.031125827814569535,0.4864864864864865,0.5135135135135135,0.94,0.34134343176721776
10,king poster bed,attribute_constraint,177,21,0.7979589033322888,0.05113636363636364,0.2857142857142857,0.7142857142857143,0.9,0.7283232387737778,0.07954545454545454,0.38095238095238093,0.6190476190476191,0.7,0.8186656977365231,0.19318181818181818,0.5714285714285714,0.4285714285714286,0.68,0.33313506592412817
11,ombre rug,product_type,1428,65,0.8645073774981994,0.007042253521126761,0.1076923076923077,0.8923076923076922,1.0,0.7709633109831692,0.014084507042253521,0.16923076923076924,0.8307692307692307,1.0,0.5909129309746961,0.035211267605633804,0.2,0.8,1.0,0.1726771196312241
12,large spoon and fork wall decor,multi_constraint,225,27,0.8611511462453225,0.05113636363636364,0.25925925925925924,0.7407407407407407,0.9,0.7809722264830347,0.10227272727272728,0.4074074074074074,0.5925925925925926,0.95,0.8723070053554693,0.21022727272727273,0.7777777777777778,0.2222222222222222,0.76,0.5129904597824524
13,outdoor privacy wall,product_type,122,46,0.9069212362975005,0.07017543859649122,0.08695652173913043,0.9130434782608696,0.4,0.9172213569007335,0.15789473684210525,0.15217391304347827,0.8478260869565217,0.45,0.8174025548260314,0.3508771929824561,0.3695652173913043,0.6304347826086957,0.44,0.5879545666583537
14,beds that have leds,product_type,2692,20,0.6460000622137831,0.005728835136855506,0.15,0.85,0.9,0.5394314551556667,0.010821133036282623,0.2,0.8,0.95,0.5956028381402102,0.025461489497135583,0.2,0.8,0.96,0.3867350459018258
15,black 5 drawer dresser by guilford,multi_constraint,613,2,0.5821032065260975,0.013377926421404682,0.0,1.0,0.8,0.6833800218492042,0.026755852842809364,0.0,1.0,0.8,0.798147164547621,0.07023411371237458,0.0,1.0,0.84,0.21561006575449798
16,blk 18x18 seat cushions,attribute_constraint,493,4,0.5298241244530195,0.007518796992481203,0.0,1.0,0.2,0.607311329563756,0.007518796992481203,0.0,1.0,0.1,0.7370642108370418,0.018796992481203006,0.0,1.0,0.1,0.13082332158311308
17,closet storage with zipper,product_type,103,21,0.752909654305722,0.019417475728155338,0.047619047619047616,0.9523809523809523,0.2,0.6505442187523713,0.06796116504854369,0.19047619047619047,0.8095238095238095,0.35,0.816022416352961,0.1941747572815534,0.38095238095238093,0.6190476190476191,0.4,0.23909985344250875
18,chrome bathroom 4 light vanity light,multi_constraint,1053,34,0.6522810115252851,0.032846715328467155,0.11764705882352941,0.8823529411764706,0.9,0.5618803988761832,0.06204379562043796,0.14705882352941177,0.8529411764705882,0.85,0.5984960165938445,0.15693430656934307,0.20588235294117646,0.7941176470588236,0.86,0.5263622346039061
19,gurney  slade 56,attribute_constraint,14,0,0.8603818544462509,0.3,,,0.3,0.9776660472589986,0.4,,,0.2,0.9776660472589986,0.4,,,0.08,0.4314554973040049
20,foutains with brick look,product_type,94,12,0.20224053345123122,0.011111111111111112,0.0,1.0,0.2,0.3613313052546509,0.03333333333333333,0.0,1.0,0.25,0.5796750120599958,0.044444444444444446,0.0,1.0,0.14,-0.1873024709973704
21,living curtains pearl,product_type,127,1,0.6943559465628248,0.031496062992125984,0.0,1.0,0.4,0.7787676299523247,0.031496062992125984,0.0,1.0,0.2,0.8931105868465893,0.047244094488188976,0.0,1.0,0.12,0.08505172717997148
22,light and navy blue decorative pillow,multi_constraint,251,22,0.4781738085681532,0.02040816326530612,0.045454545454545456,0.9545454545454546,0.4,0.47295615248938433,0.03571428571428571,0.09090909090909091,0.9090909090909091,0.35,0.667135514411307,0.07653061224489796,0.13636363636363635,0.8636363636363636,0.3,0.6605206363041382
23,stoneford end tables white and wood,multi_constraint,1266,0,1.0,0.006514657980456026,,,0.8,1.0,0.011400651465798045,,,0.7,0.9851168632159073,0.028501628664495113,,,0.7,0.25773087975147735
24,wood coffee table set by storage,multi_constraint,2559,84,0.3965255762463672,0.004287756074321105,0.011904761904761904,0.9880952380952381,0.9,0.44608729047187445,0.009051929490233444,0.047619047619047616,0.9523809523809523,0.95,0.47509789372057964,0.023344449737970462,0.13095238095238096,0.8690476190476191,0.98,0.507016806957196
