query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.8421283856352149,0.003316749585406302,0.1794871794871795,0.8205128205128205,1.0,0.7453335535839699,0.006301824212271974,0.28205128205128205,0.717948717948718,1.0,0.7603948386955924,0.01625207296849088,0.5897435897435898,0.41025641025641024,1.0,0.3437846024193727
1,smart coffee table,product_type,1436,8,0.3649302102017378,0.007052186177715092,0.0,1.0,1.0,0.47100925925184517,0.014104372355430184,0.0,1.0,1.0,0.6199443599094665,0.03526093088857546,0.0,1.0,1.0,0.10184715452013376
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9892480018266367,0.31645569620253167,0.32450331125827814,0.6754966887417219,1.0,0.25079352540413735
3,turquoise pillows,brand_entity_proxy,997,55,0.7307044045196786,0.010362694300518135,0.10909090909090909,0.8909090909090909,1.0,0.6393644744026749,0.023316062176165803,0.14545454545454545,0.8545454545454545,1.0,0.5321461835470377,0.05569948186528497,0.23636363636363636,0.7636363636363637,0.98,0.546465388061799
4,chair and a half recliner,multi_constraint,239,23,0.5076288161633667,0.02631578947368421,0.08695652173913043,0.9130434782608696,0.5,0.4677279273142822,0.04736842105263158,0.13043478260869565,0.8695652173913043,0.45,0.5728780345553675,0.11578947368421053,0.17391304347826086,0.8260869565217391,0.44,0.40429594544108033
5,sofa with ottoman,product_type,1344,179,0.6023217777339953,0.007639419404125287,0.0223463687150838,0.9776536312849162,1.0,0.5735653154057302,0.015278838808250574,0.03910614525139665,0.9608938547486033,1.0,0.6103512995267857,0.0374331550802139,0.12290502793296089,0.8770949720670391,1.0,0.3872838681248469
6,acrylic clear chair,attribute_constraint,109,43,0.8056273000821932,0.020202020202020204,0.046511627906976744,0.9534883720930233,0.2,0.7340852523225178,0.020202020202020204,0.046511627906976744,0.9534883720930233,0.1,0.7064170415379312,0.0707070707070707,0.11627906976744186,0.8837209302325582,0.14,0.3028371910350157
7,driftwood mirror,product_type,603,23,0.8083682423538655,0.018691588785046728,0.2608695652173913,0.7391304347826086,1.0,0.6399053529938243,0.037383177570093455,0.2608695652173913,0.7391304347826086,1.0,0.6976159346997174,0.09345794392523364,0.30434782608695654,0.6956521739130435,1.0,0.467049563719362
8,home sweet home sign,product_type,105,25,0.8013151345851657,0.07446808510638298,0.2,0.8,0.7,0.6836519144823131,0.13829787234042554,0.28,0.72,0.65,0.7570125869683371,0.3191489361702128,0.4,0.6,0.6,0.3313919049676404
9,coffee table fire pit,product_type,1516,74,1.0,0.006622516556291391,0.13513513513513514,0.8648648648648649,1.0,1.0,0.013245033112582781,0.2702702702702703,0.7297297297297297,1.0,0.9220263740908424,0.03245033112582781,0.5540540540540541,0.44594594594594594,0.98,0.3469506543082667
10,king poster bed,attribute_constraint,177,21,0.8545365814817667,0.056818181818181816,0.3333333333333333,0.6666666666666667,1.0,0.7697426437906051,0.11363636363636363,0.5238095238095238,0.47619047619047616,1.0,0.8778955919968812,0.24431818181818182,0.7142857142857143,0.2857142857142857,0.86,0.4437056228049457
11,ombre rug,product_type,1428,65,0.9575861412006988,0.007042253521126761,0.13846153846153847,0.8615384615384616,1.0,0.9483899550830481,0.014084507042253521,0.27692307692307694,0.7230769230769231,1.0,0.8674985114101985,0.035211267605633804,0.5692307692307692,0.4307692307692308,1.0,0.2903692216004716
12,large spoon and fork wall decor,multi_constraint,225,27,0.8480411588814943,0.056818181818181816,0.25925925925925924,0.7407407407407407,1.0,0.7927128491007336,0.10227272727272728,0.48148148148148145,0.5185185185185186,0.95,0.8676533900643828,0.20454545454545456,0.7407407407407407,0.2592592592592593,0.78,0.4555320871671828
13,outdoor privacy wall,product_type,122,46,0.9368077570869662,0.17543859649122806,0.1956521739130435,0.8043478260869565,1.0,0.9020083316886961,0.2982456140350877,0.32608695652173914,0.6739130434782609,0.85,0.759322378121866,0.43859649122807015,0.5,0.5,0.6,0.519840026589032
14,beds that have leds,product_type,2692,20,0.7965435533767592,0.004455760661998727,0.35,0.65,0.8,0.65744134506452,0.0076384468491406746,0.4,0.6,0.8,0.7457468144430646,0.022915340547422024,0.5,0.5,0.8,0.39069389508882535
15,black 5 drawer dresser by guilford,multi_constraint,613,2,0.7437677542157901,0.016722408026755852,0.5,0.5,1.0,0.8058653492233786,0.03177257525083612,0.5,0.5,0.95,0.8762345005906258,0.0802675585284281,0.5,0.5,0.96,0.23732215331428386
16,blk 18x18 seat cushions,attribute_constraint,493,4,0.6055815572184523,0.0037593984962406013,0.25,0.75,0.1,0.6445857644954519,0.007518796992481203,0.25,0.75,0.1,0.6408171467303072,0.03383458646616541,0.25,0.75,0.24,0.007898952201385654
17,closet storage with zipper,product_type,103,21,0.7112967139961989,0.06796116504854369,0.19047619047619047,0.8095238095238095,0.7,0.6028483169036046,0.1553398058252427,0.2857142857142857,0.7142857142857143,0.8,0.7503606943715123,0.34951456310679613,0.42857142857142855,0.5714285714285714,0.72,0.18479581893183727
18,chrome bathroom 4 light vanity light,multi_constraint,1053,34,0.7568371608459036,0.0364963503649635,0.20588235294117646,0.7941176470588236,1.0,0.752993571979702,0.06569343065693431,0.35294117647058826,0.6470588235294117,0.9,0.7497900261241737,0.17518248175182483,0.5882352941176471,0.4117647058823529,0.96,0.37281861265000854
19,gurney  slade 56,attribute_constraint,14,0,0.9337457765456111,0.5,,,0.5,0.9915527766293166,0.5,,,0.25,0.9915527766293166,0.5,,,0.1,0.6275716324421889
20,foutains with brick look,product_type,94,12,0.23339677154592775,0.0,0.0,1.0,0.1,0.34411007702168034,0.0,0.0,1.0,0.05,0.5974906079484914,0.011111111111111112,0.0,1.0,0.06,-0.1279435612777927
21,living curtains pearl,product_type,127,1,0.6943559465628248,0.031496062992125984,0.0,1.0,0.4,0.8385530573335902,0.031496062992125984,0.0,1.0,0.2,0.9020304820637299,0.06299212598425197,0.0,1.0,0.16,0.1263625660959576
22,light and navy blue decorative pillow,multi_constraint,251,22,0.4066972554326934,0.04081632653061224,0.045454545454545456,0.9545454545454546,0.8,0.4043533531501621,0.08163265306122448,0.09090909090909091,0.9090909090909091,0.8,0.5568152855572772,0.19387755102040816,0.13636363636363635,0.8636363636363636,0.76,0.6016634799009603
23,stoneford end tables white and wood,multi_constraint,1266,0,1.0,0.007328990228013029,,,0.9,1.0,0.015472312703583062,,,0.95,1.0,0.03664495114006515,,,0.9,0.23689403416288052
24,wood coffee table set by storage,multi_constraint,2559,84,0.6464912600369213,0.004764173415912339,0.05952380952380952,0.9404761904761905,1.0,0.535435234139241,0.009528346831824679,0.05952380952380952,0.9404761904761905,1.0,0.5149112640644333,0.023820867079561697,0.14285714285714285,0.8571428571428572,1.0,0.5737511389217309
25,sunflower,brand_entity_proxy,242,227,1.0,0.04329004329004329,0.04405286343612335,0.9559471365638766,1.0,1.0,0.08658008658008658,0.0881057268722467,0.9118942731277533,1.0,0.9900020461948187,0.21645021645021645,0.21585903083700442,0.7841409691629956,1.0,0.27933503939517296
26,leather chairs,attribute_constraint,3746,876,0.9074250374176304,0.0030422878004259203,0.010273972602739725,0.9897260273972602,1.0,0.8956365133153981,0.0060845756008518406,0.019406392694063926,0.980593607305936,1.0,0.8931435753532765,0.015211439002129602,0.04794520547945205,0.952054794520548,1.0,0.4053132153551011
