query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.3333333333333333,0.001990049751243781,0.0,1.0,0.6,0.3333333333333334,0.003980099502487562,0.0,1.0,0.6,0.3825259245057671,0.006301824212271974,0.0,1.0,0.38,0.15589477635300913
1,smart coffee table,product_type,1436,8,0.3649302102017378,0.007052186177715092,0.0,1.0,1.0,0.47100925925184517,0.014104372355430184,0.0,1.0,1.0,0.6199443599094665,0.03526093088857546,0.0,1.0,1.0,0.014952512727358133
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,0.9744102412230782,0.12658227848101267,0.12582781456953643,0.8741721854304636,1.0,0.9763193531903946,0.2721518987341772,0.271523178807947,0.7284768211920529,0.86,0.07796518009080027
3,turquoise pillows,brand_entity_proxy,997,55,0.6590964594587343,0.006476683937823834,0.05454545454545454,0.9454545454545454,0.5,0.5891535385842327,0.014248704663212436,0.07272727272727272,0.9272727272727272,0.55,0.49792833545385,0.03756476683937824,0.14545454545454545,0.8545454545454545,0.62,0.45162821793504465
4,chair and a half recliner,multi_constraint,239,23,0.44911111423199457,0.015789473684210527,0.043478260869565216,0.9565217391304348,0.3,0.42996251318086315,0.03684210526315789,0.043478260869565216,0.9565217391304348,0.35,0.53404762174033,0.04736842105263158,0.043478260869565216,0.9565217391304348,0.18,0.18218193955714904
5,sofa with ottoman,product_type,1344,179,0.47605580957989446,0.0053475935828877,0.00558659217877095,0.994413407821229,0.7,0.6159880971176848,0.012223071046600458,0.0446927374301676,0.9553072625698324,0.8,0.700379121393485,0.030557677616501147,0.1452513966480447,0.8547486033519553,0.8,0.4012282367332629
6,acrylic clear chair,attribute_constraint,109,43,0.47175364180209284,0.0,0.0,1.0,0.0,0.47192837949868893,0.0,0.0,1.0,0.0,0.5724761014132955,0.0,0.0,1.0,0.0,0.06401575346005123
7,driftwood mirror,product_type,603,23,0.3333333333333333,0.018691588785046728,0.0,1.0,1.0,0.3333333333333334,0.03551401869158879,0.0,1.0,0.95,0.48099083560936157,0.09158878504672897,0.043478260869565216,0.9565217391304348,0.98,0.4463725773322003
8,home sweet home sign,product_type,105,25,0.5003902951798916,0.010638297872340425,0.04,0.96,0.1,0.46343810276516295,0.07446808510638298,0.04,0.96,0.35,0.6101623441561524,0.1276595744680851,0.08,0.92,0.26,-0.012178429731407162
9,coffee table fire pit,product_type,1516,74,0.5455596993062479,0.006622516556291391,0.04054054054054054,0.9594594594594594,1.0,0.5198781269176854,0.012582781456953643,0.06756756756756757,0.9324324324324325,0.95,0.4647232813908687,0.031125827814569535,0.10810810810810811,0.8918918918918919,0.94,0.1881267494894717
10,king poster bed,attribute_constraint,177,21,0.4826703743434503,0.056818181818181816,0.09523809523809523,0.9047619047619048,1.0,0.5186378673832056,0.10227272727272728,0.19047619047619047,0.8095238095238095,0.9,0.6995869054701034,0.1590909090909091,0.42857142857142855,0.5714285714285714,0.56,0.17649344367630343
11,ombre rug,product_type,1428,65,0.3333333333333333,0.007042253521126761,0.0,1.0,1.0,0.3333333333333334,0.014084507042253521,0.0,1.0,1.0,0.36409279143458273,0.03450704225352113,0.046153846153846156,0.9538461538461538,0.98,-0.025893580404386638
12,large spoon and fork wall decor,multi_constraint,225,27,0.7388779427463892,0.028409090909090908,0.14814814814814814,0.8518518518518519,0.5,0.6792111323466147,0.05113636363636364,0.18518518518518517,0.8148148148148149,0.45,0.7309813459923779,0.056818181818181816,0.18518518518518517,0.8148148148148149,0.2,0.47640081269564577
13,outdoor privacy wall,product_type,122,46,0.2567737273477602,0.017543859649122806,0.021739130434782608,0.9782608695652174,0.1,0.19977635182858272,0.03508771929824561,0.021739130434782608,0.9782608695652174,0.15,0.2784597065464525,0.03508771929824561,0.021739130434782608,0.9782608695652174,0.16,-0.19821542477256585
14,beds that have leds,product_type,2692,20,0.3088786926335466,0.005092297899427116,0.0,1.0,0.9,0.2943601126525725,0.010184595798854232,0.0,1.0,0.95,0.41032371903406273,0.021642266072565246,0.05,0.95,0.88,0.3202626893813334
15,black 5 drawer dresser by guilford,multi_constraint,613,2,0.5821032065260975,0.010033444816053512,0.0,1.0,0.6,0.6833800218492042,0.023411371237458192,0.0,1.0,0.7,0.798147164547621,0.05852842809364549,0.0,1.0,0.7,0.1767754666366247
16,blk 18x18 seat cushions,attribute_constraint,493,4,0.4700182601018591,0.011278195488721804,0.0,1.0,0.3,0.5734682959508455,0.011278195488721804,0.0,1.0,0.15,0.6596328797586657,0.03007518796992481,0.0,1.0,0.16,0.04565192554630687
17,closet storage with zipper,product_type,103,21,0.6023343810309869,0.019417475728155338,0.047619047619047616,0.9523809523809523,0.2,0.5311753515446072,0.04854368932038835,0.09523809523809523,0.9047619047619048,0.25,0.7538603273904055,0.1262135922330097,0.14285714285714285,0.8571428571428572,0.26,0.08834536957706256
18,chrome bathroom 4 light vanity light,multi_constraint,1053,34,0.3753186468467166,0.032846715328467155,0.029411764705882353,0.9705882352941176,0.9,0.4540505528172614,0.058394160583941604,0.11764705882352941,0.8823529411764706,0.85,0.548744184480165,0.13138686131386862,0.2647058823529412,0.7352941176470589,0.74,0.4669368042819775
19,gurney  slade 56,attribute_constraint,14,0,0.88995411685096,0.0,,,0.0,0.9477611169346656,0.0,,,0.0,0.9477611169346656,0.0,,,0.0,0.3922322702763681
20,foutains with brick look,product_type,94,12,0.29478061493313346,0.022222222222222223,0.0,1.0,0.3,0.3620060672946058,0.03333333333333333,0.08333333333333333,0.9166666666666666,0.2,0.583463321418254,0.03333333333333333,0.08333333333333333,0.9166666666666666,0.1,-0.22427181059536308
21,living curtains pearl,product_type,127,1,0.8871958738785231,0.0,0.0,1.0,0.0,0.9183497146685337,0.0,0.0,1.0,0.0,0.9504528301300131,0.007874015748031496,0.0,1.0,0.02,0.15066305957594944
22,light and navy blue decorative pillow,multi_constraint,251,22,0.6988885181496468,0.01020408163265306,0.045454545454545456,0.9545454545454546,0.2,0.6161968871703695,0.015306122448979591,0.09090909090909091,0.9090909090909091,0.15,0.7307386003284527,0.04081632653061224,0.18181818181818182,0.8181818181818181,0.16,0.6821286937319456
23,stoneford end tables white and wood,multi_constraint,1266,0,1.0,0.0024429967426710096,,,0.3,1.0,0.005700325732899023,,,0.35,0.9857115326074308,0.010586319218241042,,,0.26,0.2440380955075423
24,wood coffee table set by storage,multi_constraint,2559,84,0.6153529168639604,0.004764173415912339,0.05952380952380952,0.9404761904761905,1.0,0.5811000662373451,0.009051929490233444,0.08333333333333333,0.9166666666666666,0.95,0.5008632686799815,0.022868032396379228,0.13095238095238096,0.8690476190476191,0.96,0.25653291044227694
25,sunflower,brand_entity_proxy,242,227,1.0,0.04329004329004329,0.04405286343612335,0.9559471365638766,1.0,1.0,0.08225108225108226,0.08370044052863436,0.9162995594713657,0.95,1.0,0.1341991341991342,0.13656387665198239,0.8634361233480177,0.62,0.15099856799769756
26,leather chairs,attribute_constraint,3746,876,0.5662182253913374,0.0027380590203833284,0.0045662100456621,0.995433789954338,1.0,0.6254842713515155,0.005476118040766657,0.010273972602739725,0.9897260273972602,0.95,0.6856932656986268,0.012777608761788866,0.030821917808219176,0.9691780821917808,0.9,0.29554688657513173
27,outdoor welcome rug,product_type,344,100,0.48006117753205346,0.005847953216374269,0.01,0.99,0.2,0.4759375583537404,0.008771929824561403,0.01,0.99,0.15,0.5322402937808056,0.011695906432748537,0.01,0.99,0.08,0.1564570083237554
28,rooster decor,brand_entity_proxy,725,175,0.8215411869830251,0.023333333333333334,0.02857142857142857,0.9714285714285714,0.8,0.8120464768583279,0.03333333333333333,0.045714285714285714,0.9542857142857143,0.55,0.6102568722022931,0.04666666666666667,0.05142857142857143,0.9485714285714286,0.3,0.28348652852689726
29,bathroom vanity knobs,product_type,802,138,0.8643145546088337,0.050724637681159424,0.050724637681159424,0.9492753623188406,0.9,0.7392721618376203,0.08695652173913043,0.08695652173913043,0.9130434782608696,0.85,0.5431973138854893,0.15942028985507245,0.15942028985507245,0.8405797101449275,0.84,0.01823575980862517
30,3 1/2 inch drawer pull,multi_constraint,549,88,0.42590829591570295,0.01764705882352941,0.011363636363636364,0.9886363636363636,0.6,0.40714411393170646,0.03529411764705882,0.011363636363636364,0.9886363636363636,0.6,0.37206348816760415,0.047058823529411764,0.022727272727272728,0.9772727272727273,0.32,0.12546854246955977
31,burnt orange curtains,product_type,168,1,0.6943559465628248,0.023809523809523808,0.0,1.0,0.4,0.7787676299523247,0.047619047619047616,0.0,1.0,0.4,0.865751383782762,0.1130952380952381,0.0,1.0,0.38,-0.13323467750529827
32,dark gray dresser,attribute_constraint,211,3,0.5159958223394444,0.027472527472527472,0.0,1.0,0.5,0.6653519929051986,0.038461538461538464,0.0,1.0,0.35,0.8002361074795475,0.08241758241758242,0.0,1.0,0.3,0.5367129615032801
33,non slip shower floor tile,multi_constraint,669,125,0.5692537154456775,0.012987012987012988,0.016,0.984,0.5,0.6283326066869019,0.033766233766233764,0.048,0.952,0.65,0.605809562363241,0.08571428571428572,0.12,0.88,0.66,0.7609306044842583
34,bar stool with backrest,product_type,740,374,0.6181629968452508,0.0013605442176870747,0.0,1.0,0.1,0.6226192482489347,0.004081632653061225,0.00267379679144385,0.9973262032085561,0.15,0.6922952971158502,0.005442176870748299,0.00267379679144385,0.9973262032085561,0.08,0.15136475745203332
35,enclosed shoe rack,product_type,174,51,0.3333333333333333,0.023255813953488372,0.0,1.0,0.4,0.40205502193298537,0.05232558139534884,0.0,1.0,0.45,0.4518568178743132,0.12209302325581395,0.058823529411764705,0.9411764705882353,0.42,-0.12503673802446277
36,laundry basket with wheels,product_type,157,37,0.5250842331427514,0.03205128205128205,0.05405405405405406,0.9459459459459459,0.5,0.5249580843486155,0.07692307692307693,0.08108108108108109,0.9189189189189189,0.6,0.5536357882207463,0.16666666666666666,0.16216216216216217,0.8378378378378378,0.52,-0.004985853990098941
37,bar stool 24 inches height,multi_constraint,875,110,0.31124859218187034,0.006075334143377886,0.0,1.0,0.5,0.31908056249498956,0.00850546780072904,0.0,1.0,0.35,0.34524899863031333,0.024301336573511544,0.0,1.0,0.42,0.09516290446456135
38,calvin patio chair,product_type,255,1,0.5979359829049758,0.0,0.0,1.0,0.0,0.6806634873635214,0.0047169811320754715,0.0,1.0,0.05,0.7008083454066971,0.0047169811320754715,0.0,1.0,0.04,-0.11065949860859867
39,door jewelry organizer,product_type,149,31,0.3333333333333333,0.06711409395973154,0.0,1.0,1.0,0.35974737803721046,0.1342281879194631,0.03225806451612903,0.967741935483871,1.0,0.524264241704537,0.3087248322147651,0.25806451612903225,0.7419354838709677,0.92,0.08187887910215029
40,elegant executive chair,product_type,166,40,0.4237902969274442,0.018292682926829267,0.0,1.0,0.3,0.48421135232690615,0.036585365853658534,0.0,1.0,0.3,0.5370012878488972,0.054878048780487805,0.05,0.95,0.18,0.07520919943326679
