query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.837993815480853,0.0029850746268656717,0.20512820512820512,0.7948717948717949,1.0,0.7991101426049803,0.006301824212271974,0.358974358974359,0.641025641025641,1.0,0.7453175610521263,0.015257048092868989,0.5897435897435898,0.41025641025641024,0.98,0.331755760535715
1,smart coffee table,product_type,1436,8,0.3649302102017378,0.007052186177715092,0.0,1.0,1.0,0.47100925925184517,0.013399153737658674,0.0,1.0,0.95,0.6114278157618004,0.03385049365303244,0.0,1.0,0.98,0.1007909018872093
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,1.0,0.12658227848101267,0.13245033112582782,0.8675496688741722,1.0,0.9903521848605263,0.310126582278481,0.31788079470198677,0.6821192052980132,0.98,0.24015487246125086
3,turquoise pillows,brand_entity_proxy,997,55,0.7333950452665389,0.011658031088082901,0.09090909090909091,0.9090909090909091,1.0,0.63866871912648,0.02461139896373057,0.12727272727272726,0.8727272727272728,1.0,0.5182197351871585,0.06088082901554404,0.18181818181818182,0.8181818181818181,1.0,0.5397123027084033
4,chair and a half recliner,multi_constraint,239,23,0.3333333333333333,0.031578947368421054,0.0,1.0,0.6,0.3792983341954187,0.06315789473684211,0.0,1.0,0.6,0.5469198845335566,0.1368421052631579,0.13043478260869565,0.8695652173913043,0.52,0.3386758896606582
5,sofa with ottoman,product_type,1344,179,0.5332700211316628,0.007639419404125287,0.01675977653631285,0.9832402234636871,1.0,0.6756209292917308,0.015278838808250574,0.0670391061452514,0.9329608938547486,1.0,0.7259368011967446,0.03819709702062643,0.1787709497206704,0.8212290502793296,1.0,0.4461348877453844
6,acrylic clear chair,attribute_constraint,109,43,0.9074250374176304,0.020202020202020204,0.023255813953488372,0.9767441860465116,0.2,0.7774610816581967,0.050505050505050504,0.09302325581395349,0.9069767441860466,0.25,0.7209045130912591,0.09090909090909091,0.18604651162790697,0.813953488372093,0.18,0.3764126303451013
7,driftwood mirror,product_type,603,23,0.8056273000821932,0.018691588785046728,0.2608695652173913,0.7391304347826086,1.0,0.6608450865183285,0.037383177570093455,0.30434782608695654,0.6956521739130435,1.0,0.7254290045868872,0.09345794392523364,0.391304347826087,0.6086956521739131,1.0,0.48600097313287305
8,home sweet home sign,product_type,105,25,0.5764961724874297,0.010638297872340425,0.04,0.96,0.1,0.515852448859126,0.02127659574468085,0.04,0.96,0.1,0.6573145087177363,0.20212765957446807,0.16,0.84,0.38,0.189792906434074
9,coffee table fire pit,product_type,1516,74,1.0,0.006622516556291391,0.13513513513513514,0.8648648648648649,1.0,1.0,0.012582781456953643,0.25675675675675674,0.7432432432432432,0.95,0.8924615142904783,0.03245033112582781,0.527027027027027,0.472972972972973,0.98,0.28497175607457204
