dataset,retriever,representation,cNDCG@10,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,RelevanceVisibilitySpearman
wands,minilm,C0_original,0.7383275191401981,0.09304074186997571,0.21222596741733465,0.7877740325826653,0.32370565322380707
wands,minilm,C1_reverse_attribute_order,0.7362516288638435,0.09357829544185409,0.20922787602834791,0.7907721239716522,0.33506985568299485
wands,minilm,C2_random_attribute_order_s1,0.7343647055333771,0.09269906319817373,0.2090039363851884,0.7909960636148117,0.3289176195668193
wands,minilm,C2_random_attribute_order_s2,0.7351152672135689,0.09306381575867859,0.20633957103559958,0.7936604289644003,0.3335946773642667
wands,minilm,C2_random_attribute_order_s3,0.7394834546401381,0.0937077081814712,0.20844047925227896,0.7915595207477211,0.3270099199991809
wands,minilm,C2_random_attribute_order_s4,0.7371038273698962,0.09336378923337481,0.20358349192679182,0.7964165080732082,0.3361180419043543
wands,minilm,C2_random_attribute_order_s5,0.7371775406360931,0.09187543633754341,0.20986763704618858,0.7901323629538114,0.33444792035724397
wands,bge_base,C0_original,0.7932800258062271,0.10187871355551037,0.30136277942375056,0.6986372205762493,0.3771903384333545
wands,bge_base,C1_reverse_attribute_order,0.8061666723377379,0.10454255666251681,0.31832162676752945,0.6816783732324705,0.38519166511107716
wands,bge_base,C2_random_attribute_order_s1,0.7945139740464151,0.10313669049117631,0.29139788040974984,0.7086021195902502,0.38003398492011314
wands,bge_base,C2_random_attribute_order_s2,0.7916576422190487,0.10320495264542774,0.3041790372136202,0.6958209627863797,0.38268611429811406
wands,bge_base,C2_random_attribute_order_s3,0.7960130565857669,0.10352024395166201,0.30832099999734236,0.6916790000026576,0.3790414277414627
wands,bge_base,C2_random_attribute_order_s4,0.794242774963581,0.10373100211800067,0.3011841502219957,0.6988158497780044,0.38210751357118655
wands,bge_base,C2_random_attribute_order_s5,0.798779537286527,0.1035543573045597,0.307428867849747,0.692571132150253,0.3809823642862503
