dataset,retriever,label,pairs,VI@20_micro,VI@20_query_macro,ci_low,ci_high,rank_range_median
wands,minilm,Exact,25470,0.13262661955241462,0.1916761044628586,0.17090878688631175,0.21268538535278134,207.0
wands,minilm,Irrelevant,60719,0.007592351652695202,0.022315268413249087,0.015210744212089403,0.030931085672835628,2022.0
wands,minilm,Partial,145670,0.05126656140591748,0.09623610316355033,0.08820216152122397,0.10461590435400552,610.0
wands,bge_base,Exact,25470,0.09407145661562623,0.1205155301548153,0.10580092100290404,0.1366739382632207,81.0
wands,bge_base,Irrelevant,60719,0.0039032263377196596,0.008887189848731734,0.005625449206116702,0.013241052097771608,1040.0
wands,bge_base,Partial,145670,0.029395208347635066,0.05493191230575563,0.049979350741093845,0.060212716906263286,325.0
wands,gte_modernbert,Exact,25470,0.1133097762073027,0.14434006794821969,0.12937335281715573,0.15983547610806553,107.0
wands,gte_modernbert,Irrelevant,60719,0.006439499991765346,0.018810349548397932,0.011317045243567204,0.027986815665614315,1317.0
wands,gte_modernbert,Partial,145670,0.036898469142582546,0.07369580817524707,0.06668414763941292,0.0815119993882959,377.0
esci,minilm,C,505,0.04554455445544554,0.04056195127623699,0.018560378257583224,0.0678970497526398,2.0
esci,minilm,E,4434,0.04668470906630582,0.040373317303826914,0.0318509075428092,0.04986070255615964,2.0
esci,minilm,I,1650,0.034545454545454546,0.03163761789971679,0.020490076201326216,0.04486476069173604,7.0
esci,minilm,S,3545,0.048801128349788434,0.04178858690677117,0.03413026560068596,0.04991295786173069,3.0
esci,bge_base,C,505,0.06732673267326733,0.0435290727216193,0.023620022144866866,0.066724223412888,2.0
esci,bge_base,E,4434,0.04420387911592242,0.03661806169556642,0.028427142458473244,0.04569317882370912,2.0
esci,bge_base,I,1650,0.040606060606060604,0.04305542457639226,0.028793094361179973,0.05943354256569222,6.0
esci,bge_base,S,3545,0.05500705218617771,0.049200149776580784,0.04030871466767152,0.0587746463715723,2.0
esci,gte_modernbert,C,505,0.055445544554455446,0.06949702586348548,0.03669716799763383,0.1075111530119294,4.0
esci,gte_modernbert,E,4434,0.08254397834912043,0.06909510986215128,0.057823901516996914,0.08130500860806411,3.0
esci,gte_modernbert,I,1650,0.05818181818181818,0.06025755128279247,0.04171499425916766,0.08091288603281101,15.0
esci,gte_modernbert,S,3545,0.08236953455571228,0.07582315566795048,0.06367934006992243,0.08847336553684097,4.0
