dataset,retriever,representation,cNDCG@10,delta_cNDCG@10,HighestRecall@20,delta_HighestRecall@20
wands,minilm,C0,0.7792599092618921,0.0,0.3116087338512682,0.0
wands,minilm,C3,0.7817527098266762,0.00249280056478407,0.311589846891337,-1.888695993118583e-05
wands,minilm,C4,0.6752270020117364,-0.10403290725015579,0.0950297788795539,-0.2165789549717143
wands,minilm,C5asc,0.6521949402925544,-0.12706496896933772,0.07684359920278072,-0.23476513464848747
wands,minilm,C5desc,0.7642144828631434,-0.015045426398748729,0.22185738277904013,-0.08975135107222806
wands,bge_base,C0,0.8276964916293978,0.0,0.36211107237284224,0.0
wands,bge_base,C3,0.8267476511854096,-0.0009488404439882414,0.3606007423759113,-0.0015103299969309592
wands,bge_base,C4,0.7255555345703653,-0.10214095705903259,0.15058334946639443,-0.2115277229064478
wands,bge_base,C5asc,0.7235129778704732,-0.10418351375892465,0.13389798909502412,-0.2282130832778181
wands,bge_base,C5desc,0.8282012115887402,0.0005047199593423146,0.35925694646586287,-0.0028541259069793656
wands,gte_modernbert,C0,0.821896465711637,0.0,0.3593594793235715,0.0
wands,gte_modernbert,C3,0.8239353587607013,0.0020388930490643498,0.36055109601299795,0.0011916166894264668
wands,gte_modernbert,C4,0.8102017204911146,-0.011694745220522385,0.32669524784753656,-0.03266423147603492
wands,gte_modernbert,C5asc,0.8023205363218522,-0.019575929389784807,0.3192914336649363,-0.0400680456586352
wands,gte_modernbert,C5desc,0.8122246084745146,-0.009671857237122383,0.34177076172438947,-0.017588717599182013
esci,minilm,C0,0.6853370764119394,0.0,0.6795206657015723,0.0
esci,minilm,C3,0.6823685145703042,-0.0029685618416351867,0.6680954570621547,-0.01142520863941765
esci,minilm,C4,0.6747552432241306,-0.010581833187808809,0.6467928488855497,-0.03272781681602266
esci,minilm,C5asc,0.6440243538619013,-0.04131272255003815,0.5766535139015393,-0.10286715180003303
esci,minilm,C5desc,0.6589776110135196,-0.026359465398419824,0.6257574784176019,-0.05376318728397045
esci,bge_base,C0,0.7124454703586713,0.0,0.7410465636379934,0.0
esci,bge_base,C3,0.7083148289082409,-0.004130641450430406,0.7387051480406541,-0.002341415597339247
esci,bge_base,C4,0.6985587395376561,-0.013886730821015214,0.7088766198714087,-0.03216994376658466
esci,bge_base,C5asc,0.6948029030637205,-0.01764256729495084,0.7035253154924352,-0.03752124814555813
esci,bge_base,C5desc,0.7077565427869208,-0.004688927571750545,0.7317704935064709,-0.00927607013152243
esci,gte_modernbert,C0,0.7167828384738955,0.0,0.7244962730851259,0.0
esci,gte_modernbert,C3,0.7161025293572364,-0.0006803091166590614,0.7212840795405902,-0.003212193544535724
esci,gte_modernbert,C4,0.7108544434161297,-0.005928395057765767,0.7005715307280977,-0.023924742357028128
esci,gte_modernbert,C5asc,0.7113943527761417,-0.005388485697753742,0.7323964521806587,0.007900179095532867
esci,gte_modernbert,C5desc,0.7075078668257935,-0.009274971648101982,0.7210350227727863,-0.00346125031233957
