dataset,retriever,representation,subset,pairs,single_rank_delta_median,full_rank_delta_median,single_improved_fraction,single_worsened_fraction,single_crossing@20,full_crossing@20
wands,minilm,M1_factual_field_sentence,all_relevant,171140,129.0,12.0,0.7367418487787776,0.2531494682715905,0.046441509874956176,0.029028865256515133
wands,minilm,M1_factual_field_sentence,highest,25470,26.0,3.0,0.6554770318021201,0.32116215155084415,0.09709462112288968,0.0690223792697291
wands,minilm,M2_normalized_attributes,all_relevant,171140,-23.0,5.0,0.4598983288535702,0.5360991001519224,0.0458396634334463,0.05070118032020568
wands,minilm,M2_normalized_attributes,highest,25470,-56.0,-3.0,0.3475461327051433,0.6428739693757362,0.10270906949352179,0.11535139379662347
wands,bge_base,M1_factual_field_sentence,all_relevant,171140,-41.0,1.0,0.36560710529391144,0.6272992871333412,0.031336917143858826,0.027030501343928946
wands,bge_base,M1_factual_field_sentence,highest,25470,-47.0,-1.0,0.21621515508441302,0.7681193561052219,0.08433451118963486,0.0679230467216333
wands,bge_base,M2_normalized_attributes,all_relevant,171140,-377.0,6.0,0.16461960967628841,0.8314011920065444,0.036543181021386,0.0428888629192474
wands,bge_base,M2_normalized_attributes,highest,25470,-180.0,0.0,0.14236356497840597,0.8477424420887318,0.10121711817824892,0.10957989791912054
wands,gte_modernbert,M1_factual_field_sentence,all_relevant,171140,-12.0,2.0,0.45950099333878697,0.5342643449807175,0.03528105644501578,0.03400724552997546
wands,gte_modernbert,M1_factual_field_sentence,highest,25470,-35.0,0.0,0.3077345897133883,0.6797801334903808,0.09340400471142521,0.0822928936003141
wands,gte_modernbert,M2_normalized_attributes,all_relevant,171140,1.0,4.0,0.5033948813836625,0.4879163258151221,0.034468855907444196,0.032791866308285615
wands,gte_modernbert,M2_normalized_attributes,highest,25470,-15.0,0.0,0.37879858657243815,0.6010208087946604,0.08476639183352964,0.08001570475068709
esci,minilm,M1_factual_field_sentence,all_relevant,8484,0.0,0.0,0.39427157001414426,0.42527109853842526,0.09229137199434229,0.08628005657708628
esci,minilm,M1_factual_field_sentence,highest,4434,0.0,0.0,0.37099684258006316,0.43121335137573297,0.08615245827695084,0.07848443843031123
esci,minilm,M2_normalized_attributes,all_relevant,8484,0.0,0.0,0.41053748231966053,0.41324846770391327,0.10608203677510608,0.10525695426685526
esci,minilm,M2_normalized_attributes,highest,4434,0.0,0.0,0.39174560216508797,0.41768155164636894,0.10802886783942264,0.10712674785746504
esci,bge_base,M1_factual_field_sentence,all_relevant,8484,-1.0,0.0,0.2078029231494578,0.5908769448373409,0.08710513908533711,0.06789250353606789
esci,bge_base,M1_factual_field_sentence,highest,4434,-1.0,0.0,0.18876860622462788,0.5942715381145692,0.08434821831303563,0.06134415877311682
esci,bge_base,M2_normalized_attributes,all_relevant,8484,0.0,0.0,0.3361621876473362,0.41772748703441775,0.07355021216407355,0.07036775106082037
esci,bge_base,M2_normalized_attributes,highest,4434,0.0,0.0,0.32047812359043754,0.41204330175913395,0.07036535859269283,0.06811005863779883
esci,gte_modernbert,M1_factual_field_sentence,all_relevant,8484,0.0,0.0,0.3541961338991042,0.4618104667609618,0.09677039132484677,0.09052333804809053
esci,gte_modernbert,M1_factual_field_sentence,highest,4434,0.0,0.0,0.3125845737483085,0.48872350022553,0.08930987821380243,0.08186738836265223
esci,gte_modernbert,M2_normalized_attributes,all_relevant,8484,-2.0,0.0,0.21074964639321075,0.617043847241867,0.09912776991984913,0.08486562942008487
esci,gte_modernbert,M2_normalized_attributes,highest,4434,-2.0,0.0,0.19327920613441588,0.6127649977447001,0.09697789806044203,0.07983761840324763
