dataset,retriever,query_type,queries,pairs,VI@20_micro,VI@20_query_macro,rank_range_median
wands,minilm,attribute_constraint,56,3970,0.08438287153652393,0.1538480119209389,680.5
wands,minilm,brand_entity_proxy,78,7280,0.12967032967032968,0.1826319907734207,137.0
wands,minilm,long_descriptive,10,69,0.37681159420289856,0.2672360248447205,63.0
wands,minilm,multi_constraint,48,1521,0.13872452333990795,0.18832925423717772,232.0
wands,minilm,product_type,174,11912,0.11652115513767629,0.17170303940903295,299.0
wands,minilm,style,13,718,0.0807799442896936,0.1841211329389775,1862.0
wands,bge_base,attribute_constraint,56,3970,0.11914357682619647,0.29192019055527574,671.0
wands,bge_base,brand_entity_proxy,78,7280,0.17637362637362639,0.225075572361228,133.0
wands,bge_base,long_descriptive,10,69,0.4927536231884058,0.411231884057971,44.0
wands,bge_base,multi_constraint,48,1521,0.2215647600262985,0.2607022339347523,177.0
wands,bge_base,product_type,174,11912,0.1762928139691068,0.23881870788977583,281.0
wands,bge_base,style,13,718,0.1935933147632312,0.32799730656414555,1156.0
