dataset,retriever,query_type,queries,pairs,VI@20_micro,VI@20_query_macro,rank_range_median
wands,minilm,attribute_constraint,56,3970,0.10050377833753149,0.21210900410528222,520.5
wands,minilm,brand_entity_proxy,78,7280,0.13557692307692307,0.18831756102087605,103.0
wands,minilm,long_descriptive,10,69,0.4492753623188406,0.29126121463077986,35.0
wands,minilm,multi_constraint,48,1521,0.16502301117685733,0.18270641836359888,177.0
wands,minilm,product_type,174,11912,0.1365849563465413,0.18500737901354858,197.0
wands,minilm,style,13,718,0.11559888579387187,0.16958195582932906,1218.0
wands,bge_base,attribute_constraint,56,3970,0.07405541561712846,0.1331477714165076,220.0
wands,bge_base,brand_entity_proxy,78,7280,0.08901098901098901,0.10130561248470711,44.0
wands,bge_base,long_descriptive,10,69,0.17391304347826086,0.16142167011732228,16.0
wands,bge_base,multi_constraint,48,1521,0.13149243918474687,0.11178624129439403,62.0
wands,bge_base,product_type,174,11912,0.0987239758226998,0.12607047523456102,80.0
wands,bge_base,style,13,718,0.09192200557103064,0.1077733831865893,182.0
wands,gte_modernbert,attribute_constraint,56,3970,0.08060453400503778,0.13664233211366153,284.5
wands,gte_modernbert,brand_entity_proxy,78,7280,0.10851648351648352,0.11432180816444532,70.0
wands,gte_modernbert,long_descriptive,10,69,0.3188405797101449,0.25877329192546583,28.0
wands,gte_modernbert,multi_constraint,48,1521,0.16042077580539119,0.12317325237376281,66.0
wands,gte_modernbert,product_type,174,11912,0.12038280725319006,0.16066479691256957,98.0
wands,gte_modernbert,style,13,718,0.10584958217270195,0.12923772470777734,298.0
esci,minilm,attribute_constraint,63,452,0.048672566371681415,0.033028684374440065,2.0
esci,minilm,brand_entity_proxy,91,858,0.04312354312354312,0.03394720359006073,2.0
esci,minilm,long_descriptive,19,183,0.04371584699453552,0.025746183640920482,2.0
esci,minilm,multi_constraint,132,1180,0.046610169491525424,0.03803141837743486,2.0
esci,minilm,product_type,190,1733,0.04731679169070975,0.04824714724908152,2.0
esci,minilm,style,4,28,0.10714285714285714,0.075,7.0
esci,bge_base,attribute_constraint,63,452,0.061946902654867256,0.04578687645457832,2.0
esci,bge_base,brand_entity_proxy,91,858,0.037296037296037296,0.02921455833543746,3.0
esci,bge_base,long_descriptive,19,183,0.04918032786885246,0.021130572214163548,2.0
esci,bge_base,multi_constraint,132,1180,0.038135593220338986,0.03285610805045571,2.0
esci,bge_base,product_type,190,1733,0.04616272360069244,0.04087277697997442,2.0
esci,bge_base,style,4,28,0.07142857142857142,0.05625,2.5
esci,gte_modernbert,attribute_constraint,63,452,0.09513274336283185,0.07027251997353882,4.0
esci,gte_modernbert,brand_entity_proxy,91,858,0.06643356643356643,0.07631792512048126,5.0
esci,gte_modernbert,long_descriptive,19,183,0.12568306010928962,0.061811425588515365,3.0
esci,gte_modernbert,multi_constraint,132,1180,0.08220338983050847,0.06012599504821958,3.0
esci,gte_modernbert,product_type,190,1733,0.0830929024812464,0.07260690233878934,3.0
esci,gte_modernbert,style,4,28,0.07142857142857142,0.05,5.0
