dataset,retriever,representation,queries,delta_cNDCG_at_10,ci_low_cNDCG_at_10,ci_high_cNDCG_at_10,p_cNDCG_at_10,delta_RelevantRecall_at_20,ci_low_RelevantRecall_at_20,ci_high_RelevantRecall_at_20,p_RelevantRecall_at_20,delta_HighestRecall_at_20,ci_low_HighestRecall_at_20,ci_high_HighestRecall_at_20,p_HighestRecall_at_20,delta_RelevantHidden_at_20,ci_low_RelevantHidden_at_20,ci_high_RelevantHidden_at_20,p_RelevantHidden_at_20,delta_RelevanceVisibilitySpearman,ci_low_RelevanceVisibilitySpearman,ci_high_RelevanceVisibilitySpearman,p_RelevanceVisibilitySpearman,delta_VI_at_20,ci_low_VI_at_20,ci_high_VI_at_20,p_VI_at_20,relevance_not_confirmed_worse,VI_reduced,VI_reduction_confirmed,mitigation_success,holm_p_cNDCG_at_10,holm_p_VI_at_20
wands,minilm,M1_factual_field_sentence,480,0.0021272150362420627,-0.005662288180121198,0.009733391168462127,0.6071392860713929,-0.0006170003040835018,-0.003001965337728199,0.0014986418044614694,0.6100389961003899,-0.0019972272478685433,-0.01740213978087138,0.012486287128161746,0.7917208279172083,0.001997227247868541,-0.01248628712816175,0.017402139780871375,0.7917208279172083,0.009388214708770038,-0.002468500009222807,0.01773814770618626,0.037396260373962605,-0.009676169847206425,-0.02585474730859307,0.005757190076868348,0.23637636236376364,True,True,False,True,0.6071392860713929,0.23637636236376364
wands,minilm,M2_normalized_attributes,480,-0.024268624965119497,-0.036172576613858795,-0.012177478658958468,9.999000099990002e-05,-0.006993537672472669,-0.011264010576969486,-0.0030243294210025346,0.0004999500049995,-0.05471213014603844,-0.07843609711682983,-0.03253042798709886,9.999000099990002e-05,0.05471213014603846,0.03253042798709884,0.07843609711682982,9.999000099990002e-05,-0.019082908231950742,-0.029971946196519276,-0.00849135641832568,0.00039996000399960006,-0.1916761044628586,-0.21304311950014942,-0.17140225941907047,9.999000099990002e-05,False,True,True,False,0.00019998000199980003,0.00019998000199980003
wands,bge_base,M1_factual_field_sentence,480,-0.00560651121035471,-0.012371311888048173,0.0008423488657539915,0.0943905609439056,0.000821518123997061,-0.0008449194028465123,0.002604157063196717,0.35026497350264973,-0.00012932723974411325,-0.012137574416227774,0.012556933401681004,0.9849015098490151,0.00012932723974411195,-0.01255693340168101,0.012137574416227766,0.9849015098490151,0.0004294914493605916,-0.005948319891314508,0.006119999578709937,0.8967103289671033,-0.001146222305948296,-0.015751318711638616,0.012260935668796467,0.8802119788021198,True,True,False,True,0.0943905609439056,0.8802119788021198
wands,bge_base,M2_normalized_attributes,480,-0.024647480905128652,-0.03514586662379225,-0.014669533712901113,9.999000099990002e-05,0.0018279554612658086,-0.0008483444939894204,0.004731617017710987,0.20237976202379762,-0.004489948879035341,-0.017310136899504648,0.008481112272549846,0.5089491050894911,0.004489948879035339,-0.008481112272549851,0.01731013689950464,0.5089491050894911,-0.025795243691107517,-0.03441282271668442,-0.017411213966891888,9.999000099990002e-05,-0.1205155301548153,-0.1365055154933438,-0.10569484730561203,9.999000099990002e-05,False,True,True,False,0.00019998000199980003,0.00019998000199980003
wands,gte_modernbert,M1_factual_field_sentence,480,-0.005156747827852249,-0.014081429859712885,0.0033854694196650817,0.2506749325067493,-0.0026112662675006463,-0.005498894212030462,-8.575988945355607e-05,0.052394760523947606,-0.00964584453132271,-0.025040936851676448,0.005676109534466257,0.23367663233676633,0.009645844531322712,-0.00567610953446626,0.025040936851676444,0.23367663233676633,0.006241281023702809,-0.0028354876976633674,0.017507391023468714,0.2800719928007199,0.004344061298022453,-0.011912365585703773,0.02081915628332005,0.6188381161883811,True,False,False,False,0.5013498650134987,0.6188381161883811
wands,gte_modernbert,M2_normalized_attributes,480,-0.0011052208502995622,-0.008717273906678908,0.006725139485008645,0.7817218278172183,0.0013331518024287065,-0.0001370299549911303,0.00283965420359965,0.08359164083591641,0.0036279125136819963,-0.011006204481755509,0.019025013295999503,0.6407359264073592,-0.0036279125136820006,-0.01902501329599951,0.011006204481755499,0.6407359264073592,0.008230806516847947,-0.0009345357201566742,0.019913825449849515,0.13068693130686931,-0.14434006794821969,-0.16047910566303578,-0.12959304316059653,9.999000099990002e-05,True,True,True,True,0.7817218278172183,0.00019998000199980003
esci,minilm,M1_factual_field_sentence,500,-0.005608752777246478,-0.014984839780154838,0.003957076266255312,0.24237576242375763,-0.004604732926666944,-0.012757762868649228,0.003138193562349045,0.2602739726027397,-0.0017462122375080475,-0.013930613991752838,0.010423496000126231,0.7868213178682132,0.0017462122375080475,-0.010423496000126237,0.013930613991752824,0.7868213178682132,-0.0011457823455427443,-0.012035045479026635,0.009497041152153371,0.8312168783121687,0.0026370997572211573,-0.007719385127724663,0.01275416036138248,0.6127387261273872,True,False,False,False,0.48475152484751527,0.6127387261273872
esci,minilm,M2_normalized_attributes,500,-0.00016412581931432447,-0.010060929014974032,0.009882382482935737,0.9734026597340266,9.350426661697408e-05,-0.007019590686560118,0.007076392935620983,0.9786021397860214,-0.0034183357057133985,-0.01604479662722959,0.008459686827616995,0.5833416658334166,0.003418335705713398,-0.008459686827617002,0.01604479662722959,0.5833416658334166,0.0017237154433818271,-0.009993100849915707,0.013481217025325589,0.7731226877312268,-0.040373317303826914,-0.049886948977172864,-0.031664709822617,9.999000099990002e-05,True,True,True,True,0.9734026597340266,0.00019998000199980003
esci,bge_base,M1_factual_field_sentence,500,-0.006328026284007329,-0.014072094551536091,0.0011894837162808873,0.10418958104189581,0.0017039477279627822,-0.003622328417944449,0.0071590750761884,0.5505449455054494,0.0021209472693884362,-0.007365546545138345,0.011896959787118909,0.6677332266773323,-0.002120947269388435,-0.011896959787118909,0.007365546545138343,0.6677332266773323,-0.007440762284808711,-0.015770479814776424,0.0008579225593476446,0.08599140085991401,-0.0058380013463266225,-0.01576033246202593,0.0032688679620568066,0.2298770122987701,True,True,False,True,0.20837916208379162,0.2298770122987701
esci,bge_base,M2_normalized_attributes,500,0.006781779681533476,-0.0013656185823900642,0.015257962339040476,0.10778922107789221,0.008355130852689806,0.002676148970898317,0.014335322785247765,0.006299370062993701,0.010380892797988922,-0.0007356355151093864,0.021901637855769745,0.0694930506949305,-0.010380892797988922,-0.02190163785576975,0.0007356355151093793,0.0694930506949305,0.005668534583281494,-0.0023191968115686065,0.013714928455280672,0.16968303169683033,-0.03661806169556642,-0.04549533434883199,-0.02851767439941652,9.999000099990002e-05,True,True,True,True,0.20837916208379162,0.00019998000199980003
esci,gte_modernbert,M1_factual_field_sentence,500,-0.01283219483382063,-0.02161669063228308,-0.004427000896356181,0.0034996500349965005,0.006998252176527956,-0.0002573992461869976,0.014428582340448096,0.0648935106489351,-3.5740101539876245e-05,-0.01309038489293242,0.012739964948138529,0.9955004499550045,3.574010153987758e-05,-0.01273996494813853,0.013090384892932412,0.9955004499550045,-0.010714242517337352,-0.021598766559666794,0.0003828859796951458,0.05879412058794121,-0.030543544954648564,-0.04316519327675128,-0.017672278928221947,9.999000099990002e-05,False,True,True,False,0.006999300069993001,0.00019998000199980003
