dataset,retriever,query_type,queries,pairs,VI@20_micro,VI@20_query_macro,rank_range_median
wands,minilm,attribute_constraint,56,3970,0.1005037783375314,0.2121090041052822,520.5
wands,minilm,brand_entity_proxy,78,7280,0.135576923076923,0.188317561020876,103.0
wands,minilm,long_descriptive,10,69,0.4492753623188406,0.2912612146307798,35.0
wands,minilm,multi_constraint,48,1521,0.1650230111768573,0.1827064183635988,177.0
wands,minilm,product_type,174,11912,0.1365849563465413,0.1850073790135485,197.0
wands,minilm,style,13,718,0.1155988857938718,0.169581955829329,1218.0
wands,bge_base,attribute_constraint,56,3970,0.0740554156171284,0.1331477714165076,220.0
wands,bge_base,brand_entity_proxy,78,7280,0.089010989010989,0.1013056124847071,44.0
wands,bge_base,long_descriptive,10,69,0.1739130434782608,0.1614216701173222,16.0
wands,bge_base,multi_constraint,48,1521,0.1314924391847468,0.111786241294394,62.0
wands,bge_base,product_type,174,11912,0.0987239758226998,0.126070475234561,80.0
wands,bge_base,style,13,718,0.0919220055710306,0.1077733831865893,182.0
wands,gte_modernbert,attribute_constraint,56,3970,0.0806045340050377,0.1366423321136615,284.5
wands,gte_modernbert,brand_entity_proxy,78,7280,0.1085164835164835,0.1143218081644453,70.0
wands,gte_modernbert,long_descriptive,10,69,0.3188405797101449,0.2587732919254658,28.0
wands,gte_modernbert,multi_constraint,48,1521,0.1604207758053911,0.1231732523737628,66.0
wands,gte_modernbert,product_type,174,11912,0.12038280725319,0.1606647969125695,98.0
wands,gte_modernbert,style,13,718,0.1058495821727019,0.1292377247077773,298.0
esci,minilm,attribute_constraint,63,452,0.0486725663716814,0.03302868437444,2.0
esci,minilm,brand_entity_proxy,91,858,0.0431235431235431,0.0339472035900607,2.0
esci,minilm,long_descriptive,19,183,0.0437158469945355,0.0257461836409204,2.0
esci,minilm,multi_constraint,132,1180,0.0466101694915254,0.0380314183774348,2.0
esci,minilm,product_type,190,1733,0.0473167916907097,0.0482471472490815,2.0
esci,minilm,style,4,28,0.1071428571428571,0.075,7.0
esci,bge_base,attribute_constraint,63,452,0.0619469026548672,0.0457868764545783,2.0
esci,bge_base,brand_entity_proxy,91,858,0.0372960372960372,0.0292145583354374,3.0
esci,bge_base,long_descriptive,19,183,0.0491803278688524,0.0211305722141635,2.0
esci,bge_base,multi_constraint,132,1180,0.0381355932203389,0.0328561080504557,2.0
esci,bge_base,product_type,190,1733,0.0461627236006924,0.0408727769799744,2.0
esci,bge_base,style,4,28,0.0714285714285714,0.05625,2.5
esci,gte_modernbert,attribute_constraint,63,452,0.0951327433628318,0.0702725199735388,4.0
esci,gte_modernbert,brand_entity_proxy,91,858,0.0664335664335664,0.0763179251204812,5.0
esci,gte_modernbert,long_descriptive,19,183,0.1256830601092896,0.0618114255885153,3.0
esci,gte_modernbert,multi_constraint,132,1180,0.0822033898305084,0.0601259950482195,3.0
esci,gte_modernbert,product_type,190,1733,0.0830929024812464,0.0726069023387893,3.0
esci,gte_modernbert,style,4,28,0.0714285714285714,0.05,5.0
