query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.47011907454613894,0.0,0.0,1.0,0.0,0.5517335602858889,0.0,0.0,1.0,0.05,0.6127571341650888,0.125,0.16666666666666666,0.8333333333333334,0.06,0.3489473537900793
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.2853349651172873,0.36,0.2857142857142857,0.7142857142857143,1.0,0.42537804109120175,0.48,0.5714285714285714,0.4285714285714286,0.8,0.6037372323516846,0.8,0.8571428571428571,0.1428571428571429,0.54,0.27908319775656765
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,0.862526180565181,0.225,0.36363636363636365,0.6363636363636364,0.9,0.8767327113198452,0.425,0.6818181818181818,0.31818181818181823,0.85,0.9381281814020042,0.65,1.0,0.0,0.52,0.7324759715510876
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.7091443292935299,0.625,0.7142857142857143,0.2857142857142857,1.0,0.8524287214763449,0.9375,1.0,0.0,0.75,0.8524287214763449,1.0,1.0,0.0,0.32,0.2501781896163508
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.7194046926007223,0.17391304347826086,0.21428571428571427,0.7857142857142857,0.4,0.743343348106535,0.2608695652173913,0.35714285714285715,0.6428571428571428,0.35,0.8918447076406782,0.5652173913043478,0.6428571428571429,0.3571428571428571,0.36,0.32963297821790766
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,0.8910545756824505,0.25,0.2692307692307692,0.7307692307692308,0.8,0.8183994177462914,0.4375,0.4230769230769231,0.5769230769230769,0.75,0.940872448415282,0.6875,0.7307692307692307,0.2692307692307693,0.46,0.45755550452531135
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.46592566153499865,0.0,0.0,1.0,0.0,0.46592566153499865,0.0,0.0,1.0,0.0,0.46592566153499865,0.0,0.0,1.0,0.0,-0.40225434964529816
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.3229350544802649,0.23684210526315788,0.15384615384615385,0.8461538461538461,1.0,0.4973630399237576,0.5,0.46153846153846156,0.5384615384615384,1.0,0.7609869850277899,1.0,1.0,0.0,0.8,-0.13787990070877756
637,1 1/4” npt,attribute_constraint,16,13,0.8380940272459068,0.5,0.46153846153846156,0.5384615384615384,0.8,0.9553349127286364,0.75,0.7692307692307693,0.23076923076923073,0.6,0.9553349127286364,1.0,1.0,0.0,0.32,-0.02376746986357936
861,1 pint mason jars without words,multi_constraint,40,24,0.5042574164600588,0.1891891891891892,0.16666666666666666,0.8333333333333334,0.8,0.5056653448845503,0.35135135135135137,0.25,0.75,0.7,0.8264857582582507,0.6756756756756757,0.5833333333333334,0.41666666666666663,0.56,-0.2821553912623194
933,1'' oil hose,attribute_constraint,16,4,0.5585180164561048,0.5625,0.5,0.5,0.9,0.7560231723210296,0.75,0.5,0.5,0.6,0.7560231723210296,0.9375,1.0,0.0,0.3,0.01258758186748935
978,1.25 sunglasses for women,multi_constraint,16,12,0.6446353319300818,0.5,0.5,0.5,0.8,0.7820064548991605,0.8125,0.9166666666666666,0.08333333333333337,0.65,0.7820064548991605,1.0,1.0,0.0,0.32,-0.06262242910851495
1210,10 hottest models without cloth,multi_constraint,35,2,0.38669001665237274,0.0,0.0,1.0,0.0,0.5358456654027624,0.0,0.0,1.0,0.0,0.5370881389406388,0.0,0.0,1.0,0.0,0.1688869861307005
1293,10 qt stainless steel pot without aluminum,multi_constraint,39,10,0.06898434783386968,0.20689655172413793,0.0,1.0,0.9,0.24623170025277769,0.5172413793103449,0.4,0.6,0.95,0.50918202133115,0.9310344827586207,0.8,0.19999999999999996,0.72,-0.09544271444636665
1310,10 succulent plants without plastic containers,multi_constraint,40,1,0.14575117948223548,0.21739130434782608,0.0,1.0,0.6,0.3592229033734907,0.30434782608695654,0.0,1.0,0.7,0.4732594822686797,0.6086956521739131,1.0,0.0,0.48,-0.02232244499741192
1458,100% cranberry juice not from concentrate,multi_constraint,39,15,0.5093242997939936,0.24242424242424243,0.4,0.6,1.0,0.5735804203339754,0.48484848484848486,0.6666666666666666,0.33333333333333337,0.95,0.7505501460432907,0.8787878787878788,0.8666666666666667,0.1333333333333333,0.68,0.1811456751381033
1476,100% remy hair bundles without weft for box braids,long_descriptive,40,17,0.6898480312672766,0.2857142857142857,0.35294117647058826,0.6470588235294117,1.0,0.615637165855381,0.4857142857142857,0.5294117647058824,0.47058823529411764,0.95,0.8731094369766742,0.9428571428571428,0.8823529411764706,0.11764705882352944,0.76,0.15899177659639094
1530,104 bcd crank arms without chainring,multi_constraint,40,17,0.7219751067983877,0.32142857142857145,0.4117647058823529,0.5882352941176471,1.0,0.6613931272269238,0.5357142857142857,0.6470588235294118,0.3529411764705882,1.0,0.8601620014994781,0.9285714285714286,1.0,0.0,0.76,0.20636095524599907
1659,10×6 patio gazebo without cover,multi_constraint,40,5,0.38663706895776345,0.2857142857142857,0.6,0.4,1.0,0.39255541063924115,0.3333333333333333,0.6,0.4,0.9,0.5395541618839654,0.6190476190476191,0.8,0.19999999999999996,0.6,-0.11064801999743092
1816,12 hp engine,attribute_constraint,16,4,0.24827267045498363,0.5714285714285714,0.5,0.5,1.0,0.4609343911243016,0.9285714285714286,1.0,0.0,0.75,0.4609343911243016,1.0,1.0,0.0,0.32,-0.3436993146642498
2286,16x48 frame,attribute_constraint,39,13,0.46189047850958415,0.25,0.15384615384615385,0.8461538461538461,0.6,0.5750386085264392,0.35,0.3076923076923077,0.6923076923076923,0.4,0.7292045781497503,0.55,0.5384615384615384,0.46153846153846156,0.3,0.31390248970943213
2390,18x13 setting ring,attribute_constraint,16,2,0.040974156246074575,0.5,0.0,1.0,0.8,0.36325609102403456,0.6875,0.5,0.5,0.55,0.36325609102403456,0.875,1.0,0.0,0.28,-0.4958410464426427
2692,2 ton jack handle replacement,multi_constraint,16,7,0.3226126307509564,0.5,0.42857142857142855,0.5714285714285714,1.0,0.612762702306551,0.875,0.8571428571428571,0.1428571428571429,0.65,0.612762702306551,0.875,0.8571428571428571,0.1428571428571429,0.3,-0.27394082022354654
2855,20lb maxima chameleon,attribute_constraint,40,7,0.7856663651419751,0.2647058823529412,0.7142857142857143,0.2857142857142857,1.0,0.8525657209600391,0.5588235294117647,0.8571428571428571,0.1428571428571429,1.0,0.9122324087009444,0.6764705882352942,0.8571428571428571,0.1428571428571429,0.5,0.4193020080899399
3012,24 rims 6 lug,attribute_constraint,17,5,0.40350579246106333,0.46153846153846156,0.4,0.6,0.6,0.585103902890697,0.5384615384615384,0.6,0.4,0.5,0.585103902890697,0.9230769230769231,1.0,0.0,0.32,0.1308041608924859
3492,3.5 ft christmas tree with lights,multi_constraint,15,1,0.3317012581794504,0.6666666666666666,1.0,0.0,1.0,0.34009974361023326,1.0,1.0,0.0,0.75,0.34009974361023326,1.0,1.0,0.0,0.3,-0.06185895741317418
3494,3.5 mm male to male rca cable,long_descriptive,16,11,0.8318477135310892,0.6666666666666666,0.7272727272727273,0.2727272727272727,1.0,0.9441765960257644,1.0,1.0,0.0,0.8,0.9441765960257644,1.0,1.0,0.0,0.32,0.19885291966710147
3986,3w landscape light,attribute_constraint,16,14,0.8062868907963915,0.625,0.5714285714285714,0.4285714285714286,1.0,0.9267675086787457,1.0,1.0,0.0,0.8,0.9267675086787457,1.0,1.0,0.0,0.32,-0.2709942960594042
4299,49ers gym apparel,attribute_constraint,16,1,0.413758108453865,0.5,1.0,0.0,0.8,0.42247280909849283,0.5,1.0,0.0,0.4,0.42247280909849283,0.5,1.0,0.0,0.16,0.1960392117639214
4321,4exls,attribute_constraint,32,5,0.20106700646606437,0.0,0.0,1.0,0.0,0.3706194488760516,0.0,0.0,1.0,0.0,0.5147478502881704,0.0,0.0,1.0,0.0,0.12644024127454603
4860,6 gallon water dispenser,attribute_constraint,16,2,0.9489219854189689,0.5625,1.0,0.0,0.9,0.9743484505944435,0.6875,1.0,0.0,0.55,0.9743484505944435,0.9375,1.0,0.0,0.3,0.29493269421623475
4956,60 watt speaker amp,attribute_constraint,16,7,0.6039219467467951,0.375,0.5714285714285714,0.4285714285714286,0.6,0.7588982000607232,0.75,0.8571428571428571,0.1428571428571429,0.6,0.7588982000607232,0.9375,1.0,0.0,0.3,0.18074756777870774
5079,6x6 square mold,attribute_constraint,16,10,0.675516636802642,0.375,0.3,0.7,0.6,0.9084926894197548,0.5,0.4,0.6,0.4,0.9084926894197548,0.5625,0.5,0.5,0.18,0.08401680504168059
5094,7 1/8 baseball helmet,multi_constraint,16,11,0.5105863366040863,0.625,0.5454545454545454,0.4545454545454546,1.0,0.7457938960066914,1.0,1.0,0.0,0.8,0.7457938960066914,1.0,1.0,0.0,0.32,-0.45338890295882095
5419,8x12 rustic picture frame,style,16,5,0.6085107218755107,0.5625,0.6,0.4,0.9,0.7003393747431363,0.8125,1.0,0.0,0.65,0.7003393747431363,1.0,1.0,0.0,0.32,0.2778835211683096
5787,a big idea not the savior,multi_constraint,13,2,0.3117493271863297,0.3333333333333333,0.0,1.0,0.1,0.48225967155909966,0.3333333333333333,0.0,1.0,0.05,0.48225967155909966,0.3333333333333333,0.0,1.0,0.02,0.24584458594722083
5921,a world without you,product_type,17,2,0.17862593087985,0.0,0.0,1.0,0.4,0.3438152697480704,0.0,0.0,1.0,0.35,0.3438152697480704,0.3333333333333333,0.0,1.0,0.16,-0.10516676765788631
6138,abu garcia baitcasting combo,product_type,15,3,0.7101604590725946,0.6666666666666666,0.6666666666666666,0.33333333333333337,1.0,0.8353108134591612,1.0,1.0,0.0,0.75,0.8353108134591612,1.0,1.0,0.0,0.3,0.3086066999241838
6685,adidas joggers for men,product_type,16,8,0.6988404577710325,0.3333333333333333,0.375,0.625,0.6,0.8282130400196416,0.5333333333333333,0.625,0.375,0.45,0.8282130400196416,1.0,1.0,0.0,0.32,0.03795565581410585
7034,aeramax 290 small room,attribute_constraint,15,1,0.04388065628739695,0.0,0.0,1.0,0.0,0.31924727515528173,0.06666666666666667,0.0,1.0,0.05,0.31924727515528173,0.2,0.0,1.0,0.06,-0.18557687223952254
7126,afx slot car race track sets,multi_constraint,14,7,0.9536268902824718,0.7692307692307693,1.0,0.0,1.0,0.9536908187970117,0.9230769230769231,1.0,0.0,0.65,0.9536908187970117,1.0,1.0,0.0,0.28,0.5725316909422539
7303,air force ones for men,multi_constraint,16,12,0.7510916729774055,0.5714285714285714,0.6666666666666666,0.33333333333333337,1.0,0.874220375996993,0.9285714285714286,1.0,0.0,0.75,0.874220375996993,0.9285714285714286,1.0,0.0,0.3,-0.14720281066265953
7340,air intake gasket kit,product_type,16,2,0.2842105156867104,0.375,0.5,0.5,0.6,0.446059283797444,0.625,0.5,0.5,0.5,0.446059283797444,0.9375,1.0,0.0,0.3,0.0
7545,airpods case anti-lost strap,multi_constraint,16,12,0.567021045641193,0.5625,0.5,0.5,0.9,0.7635951193595498,0.9375,1.0,0.0,0.75,0.7635951193595498,0.9375,1.0,0.0,0.3,-0.2818009309883173
7581,airpods pro soft tips,product_type,16,10,0.6128621518623919,0.5833333333333334,0.6,0.4,1.0,0.8473878600318198,1.0,1.0,0.0,0.8,0.8473878600318198,1.0,1.0,0.0,0.32,0.020498001542269693
8063,all boots,brand_entity_proxy,16,12,0.8630152897016883,0.5,0.5,0.5,0.7,0.9796198920670747,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.5,0.9796198920670747,0.9166666666666666,0.9166666666666666,0.08333333333333337,0.26,0.4383570037596047
8519,amazon basics wireless charger,product_type,16,8,0.32621000000733663,0.5,0.25,0.75,0.8,0.6528332391436431,0.7142857142857143,0.625,0.375,0.6,0.6528332391436431,1.0,1.0,0.0,0.32,-0.4461858821525229
8605,amazon rewards points,product_type,16,6,0.7742158010001621,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.6,0.8498664043748654,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.65,0.8498664043748654,1.0,1.0,0.0,0.3,0.36407282184728257
8740,amelia bedelia hat,product_type,16,1,0.4556588443449323,0.5833333333333334,1.0,0.0,0.7,0.45853072449163873,0.75,1.0,0.0,0.45,0.45853072449163873,1.0,1.0,0.0,0.24,0.7484100794743638
9096,angel halos,brand_entity_proxy,16,11,0.8431749389571827,0.6666666666666666,0.7272727272727273,0.2727272727272727,1.0,0.9587984713549556,0.8666666666666667,0.9090909090909091,0.09090909090909094,0.65,0.9587984713549556,1.0,1.0,0.0,0.3,0.4609772228646444
9695,apple fast charger,product_type,16,9,0.5843798129999472,0.625,0.6666666666666666,0.33333333333333337,1.0,0.7639757833887642,1.0,1.0,0.0,0.8,0.7639757833887642,1.0,1.0,0.0,0.32,-0.040996003084539386
9776,apple plastic container,attribute_constraint,16,9,0.7024157701429099,0.375,0.5555555555555556,0.4444444444444444,0.6,0.8853551069030984,0.5625,0.6666666666666666,0.33333333333333337,0.45,0.8853551069030984,0.75,0.7777777777777778,0.2222222222222222,0.24,0.23231068414572317
9967,aprilia helmet vaisor,product_type,16,3,0.6105456988825855,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.5,0.7414476890507826,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.3,0.7414476890507826,1.0,1.0,0.0,0.22,0.15631503171567185
10312,arm and bra fat workout,multi_constraint,39,20,0.7204683142265743,0.25,0.3,0.7,0.8,0.6142621148836808,0.375,0.35,0.65,0.7,0.89018130633269,0.5625,0.55,0.44999999999999996,0.42,0.07302831768965608
10370,armor of god book,product_type,16,10,0.8630152897016883,0.8,0.8,0.19999999999999996,1.0,0.978253905247018,0.9,0.9,0.09999999999999998,0.75,0.978253905247018,1.0,1.0,0.0,0.32,0.5601120336112039
11509,award winning childrens books ages 9-12,multi_constraint,14,5,0.46157900957337544,0.14285714285714285,0.0,1.0,0.2,0.5534367867069808,0.21428571428571427,0.0,1.0,0.15,0.5534367867069808,0.21428571428571427,0.0,1.0,0.06,-0.20339007194925068
11621,b'patriot supply',product_type,15,1,0.6471247982008933,0.13333333333333333,1.0,0.0,0.2,0.6515593677365488,0.13333333333333333,1.0,0.0,0.1,0.6515593677365488,0.26666666666666666,1.0,0.0,0.08,0.3711537444790451
11875,baby cribs with mattress included,multi_constraint,16,5,0.757341916506703,0.46153846153846156,0.6,0.4,0.7,0.8594219843658879,0.7692307692307693,1.0,0.0,0.6,0.8594219843658879,0.8461538461538461,1.0,0.0,0.26,0.23483410915693106
11925,baby fleece suit,product_type,40,28,0.853648803993702,0.2222222222222222,0.21428571428571427,0.7857142857142857,0.8,0.8050622932203463,0.3333333333333333,0.35714285714285715,0.6428571428571428,0.6,0.9445750205734014,0.5555555555555556,0.5714285714285714,0.4285714285714286,0.42,0.11882825093706872
12176,baby shower gifts,product_type,51,27,0.780685410378173,0.09302325581395349,0.14814814814814814,0.8518518518518519,0.4,0.6813428547499384,0.16279069767441862,0.2222222222222222,0.7777777777777778,0.4,0.9049775589093398,0.3488372093023256,0.4074074074074074,0.5925925925925926,0.38,0.11392453061173922
12432,backless tanks,brand_entity_proxy,16,12,0.7165174701450555,0.0,0.0,1.0,0.0,0.8402958638563576,0.06666666666666667,0.0,1.0,0.05,0.8402958638563576,0.26666666666666666,0.25,0.75,0.08,0.07184804645770711
12557,badges without borders,product_type,40,8,0.5223352625055311,0.4444444444444444,0.375,0.625,0.4,0.584170748257887,0.4444444444444444,0.375,0.625,0.4,0.7796881253410635,0.5555555555555556,0.5,0.5,0.38,0.07237621627972543
12664,baking soda bulk,product_type,18,5,0.6565320411090328,0.5555555555555556,0.6,0.4,1.0,0.8334066311420257,1.0,1.0,0.0,0.9,0.8334066311420257,1.0,1.0,0.0,0.36,0.2032130570576223
12809,balloons co,brand_entity_proxy,16,4,0.8017133146440942,0.5,0.5,0.5,0.5,0.801713314644094,0.9,1.0,0.0,0.45,0.801713314644094,1.0,1.0,0.0,0.2,0.7360629170703947
13089,bar stools,brand_entity_proxy,38,32,0.6882686706390454,0.2631578947368421,0.25,0.75,1.0,0.7662824576765265,0.5263157894736842,0.53125,0.46875,1.0,0.883634668039821,1.0,1.0,0.0,0.76,-0.04606858606810743
13169,barbie holder,brand_entity_proxy,16,11,0.564881478881591,0.5625,0.5454545454545454,0.4545454545454546,0.9,0.7971309196447818,0.625,0.5454545454545454,0.4545454545454546,0.5,0.7971309196447818,0.8125,0.7272727272727273,0.2727272727272727,0.26,-0.25169111285381685
13471,bass amp headphones,product_type,40,21,0.7073137299792596,0.25925925925925924,0.2857142857142857,0.7142857142857143,1.0,0.6313356251231986,0.48148148148148145,0.5238095238095238,0.47619047619047616,1.0,0.8831645983789074,0.7777777777777778,0.7619047619047619,0.23809523809523814,0.66,-0.013775048344530654
13639,bath salts unicorn,product_type,16,15,0.9148568823583791,0.6,0.6,0.4,1.0,0.9757389827110585,0.9333333333333333,0.9333333333333333,0.06666666666666665,0.75,0.9757389827110585,1.0,1.0,0.0,0.32,-0.1960392117639214
13785,bathroom storage shelf,product_type,16,8,0.8716708352827344,0.3076923076923077,0.375,0.625,0.4,0.9425500953277273,0.6153846153846154,0.625,0.375,0.4,0.9425500953277273,0.8461538461538461,1.0,0.0,0.26,0.521384234622797
13954,battery powered inverter generator,product_type,16,13,0.6031255529974244,0.6,0.5384615384615384,0.46153846153846156,1.0,0.8026893822056168,0.9333333333333333,0.9230769230769231,0.07692307692307687,0.75,0.8026893822056168,1.0,1.0,0.0,0.32,-0.5250450160772532
14346,beat belle,brand_entity_proxy,16,10,0.9337457765456111,0.4166666666666667,0.5,0.5,0.5,0.9886755019218016,0.5,0.6,0.4,0.3,0.9886755019218016,0.75,0.9,0.09999999999999998,0.2,0.604691045496956
14880,ben 10 ver,attribute_constraint,16,4,0.7606395682357036,0.5,0.5,0.5,0.3,0.7606395682357036,0.75,0.75,0.25,0.2,0.7606395682357036,1.0,1.0,0.0,0.1,0.6262242910851494
14882,ben affleck batman funko pop,multi_constraint,39,11,0.5201351308647366,0.30303030303030304,0.5454545454545454,0.4545454545454546,1.0,0.640093313698474,0.5454545454545454,0.8181818181818182,0.18181818181818177,0.95,0.7249230116583203,0.9696969696969697,0.9090909090909091,0.09090909090909094,0.76,0.4301309413332099
15154,best sellers,brand_entity_proxy,32,28,0.9305687780632229,0.0,0.0,1.0,0.0,0.9220882399274619,0.0,0.0,1.0,0.0,0.9800900752661361,0.03225806451612903,0.03571428571428571,0.9642857142857143,0.02,0.08812052127431905
15164,best sleep aid for insomnia,multi_constraint,16,7,0.9033068894251539,0.5625,0.8571428571428571,0.1428571428571429,0.9,0.9747119363556292,0.875,1.0,0.0,0.7,0.9747119363556292,0.875,1.0,0.0,0.28,0.6696013837141432
15311,beyblade',brand_entity_proxy,16,10,0.7161749845588831,0.7692307692307693,0.7,0.30000000000000004,1.0,0.893256177506415,0.8461538461538461,0.8,0.19999999999999996,0.55,0.893256177506415,1.0,1.0,0.0,0.26,0.42066707063154524
15647,big joe bean bag covers only without filling,long_descriptive,40,21,0.6638243848722287,0.28125,0.2857142857142857,0.7142857142857143,1.0,0.5722609642995072,0.5625,0.47619047619047616,0.5238095238095238,1.0,0.8609829689459486,0.9375,0.9047619047619048,0.09523809523809523,0.74,0.10818096418194609
15716,big&j deer attractant,product_type,40,14,0.7880571227738568,0.2564102564102564,0.5,0.5,1.0,0.7662161045048222,0.5128205128205128,0.7142857142857143,0.2857142857142857,1.0,0.9171617168382229,0.9487179487179487,0.9285714285714286,0.0714285714285714,0.74,0.43193028131252736
15777,bike rear wheel parts,product_type,16,12,0.9148568823583791,0.6153846153846154,0.6666666666666666,0.33333333333333337,0.9,0.9636090309482466,0.9230769230769231,0.9166666666666666,0.08333333333333337,0.75,0.9636090309482466,1.0,1.0,0.0,0.32,0.19612574843860592
