query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.8481064169964802,0.003316749585406302,0.1794871794871795,0.8205128205128205,1.0,0.80328332234916,0.006633499170812604,0.3333333333333333,0.6666666666666667,1.0,0.8502047565376885,0.015257048092868989,0.7948717948717948,0.20512820512820518,0.98,0.3244155598342655
1,smart coffee table,product_type,1436,8,0.5255664792793981,0.007052186177715092,0.125,0.875,1.0,0.6048136069557486,0.014104372355430184,0.125,0.875,1.0,0.716076660716058,0.03385049365303244,0.125,0.875,0.96,0.09665260808937935
2,dinosaur,brand_entity_proxy,165,151,0.955830517697074,0.06329113924050633,0.059602649006622516,0.9403973509933775,1.0,0.9714944583233123,0.12658227848101267,0.12582781456953643,0.8741721854304636,1.0,0.9844401594904405,0.31645569620253167,0.32450331125827814,0.6754966887417219,1.0,0.29856240418459296
3,turquoise pillows,brand_entity_proxy,997,55,0.8122418648457492,0.012953367875647668,0.10909090909090909,0.8909090909090909,1.0,0.6755753839439703,0.02461139896373057,0.14545454545454545,0.8545454545454545,1.0,0.504867911219242,0.05569948186528497,0.16363636363636364,0.8363636363636364,0.98,0.5207913346827344
4,chair and a half recliner,multi_constraint,239,23,0.5151134371263187,0.02631578947368421,0.0,1.0,0.5,0.4597633779109092,0.042105263157894736,0.08695652173913043,0.9130434782608696,0.4,0.5953222611020073,0.07894736842105263,0.17391304347826086,0.8260869565217391,0.32,0.3721458705688085
5,sofa with ottoman,product_type,1344,179,1.0,0.007639419404125287,0.055865921787709494,0.9441340782122905,1.0,0.9565311588560688,0.015278838808250574,0.1005586592178771,0.8994413407821229,1.0,0.9270280521668146,0.03819709702062643,0.24022346368715083,0.7597765363128491,1.0,0.4936952116107037
6,acrylic clear chair,attribute_constraint,109,43,0.955830517697074,0.06060606060606061,0.13953488372093023,0.8604651162790697,0.6,0.9267688157585201,0.08080808080808081,0.18604651162790697,0.813953488372093,0.4,0.823348098389558,0.10101010101010101,0.20930232558139536,0.7906976744186046,0.2,0.49283594730444774
7,driftwood mirror,product_type,603,23,1.0,0.018691588785046728,0.43478260869565216,0.5652173913043479,1.0,0.7891679910835502,0.037383177570093455,0.4782608695652174,0.5217391304347826,1.0,0.8247966450241758,0.09345794392523364,0.5652173913043478,0.4347826086956522,1.0,0.45752488071478326
9,coffee table fire pit,product_type,1516,74,0.9575861412006988,0.006622516556291391,0.12162162162162163,0.8783783783783784,1.0,0.9726274804087407,0.013245033112582781,0.25675675675675674,0.7432432432432432,1.0,0.9650295867266325,0.03245033112582781,0.6216216216216216,0.3783783783783784,0.98,0.3756970632250761
10,king poster bed,attribute_constraint,177,21,0.8634438349876061,0.056818181818181816,0.38095238095238093,0.6190476190476191,1.0,0.7482019287877487,0.10227272727272728,0.5238095238095238,0.47619047619047616,0.9,0.9010216543145811,0.20454545454545456,0.6666666666666666,0.33333333333333337,0.72,0.4793813598648205
11,ombre rug,product_type,1428,65,0.9477344873475497,0.007042253521126761,0.13846153846153847,0.8615384615384616,1.0,0.9662695446835886,0.014084507042253521,0.2923076923076923,0.7076923076923076,1.0,0.9399609369664572,0.035211267605633804,0.6923076923076923,0.3076923076923077,1.0,0.33738286846895293
13,outdoor privacy wall,product_type,122,46,1.0,0.14035087719298245,0.17391304347826086,0.8260869565217391,0.8,0.9541245700300994,0.2807017543859649,0.32608695652173914,0.6739130434782609,0.8,0.8921369413120938,0.6140350877192983,0.6739130434782609,0.32608695652173914,0.72,0.705517304378827
14,beds that have leds,product_type,2692,20,0.9086768598011254,0.005092297899427116,0.35,0.65,0.8,0.7260438573200814,0.008911521323997454,0.55,0.44999999999999996,0.85,0.8165478780122014,0.020369191597708464,0.65,0.35,0.76,0.41872224981587125
16,blk 18x18 seat cushions,attribute_constraint,493,4,0.6280875503383928,0.011278195488721804,0.0,1.0,0.3,0.7044273067113463,0.011278195488721804,0.0,1.0,0.15,0.7379468886986861,0.03759398496240601,0.5,0.5,0.2,0.07213541147992213
