query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.734381376971092,0.003316749585406302,0.1282051282051282,0.8717948717948718,1.0,0.7794697213175973,0.006633499170812604,0.3333333333333333,0.6666666666666667,1.0,0.8289135420063087,0.015588723051409618,0.7692307692307693,0.23076923076923073,0.98,0.37043530628269955
1,smart coffee table,product_type,1436,8,0.5255664792793981,0.007052186177715092,0.125,0.875,1.0,0.6048136069557486,0.014104372355430184,0.125,0.875,1.0,0.716076660716058,0.03526093088857546,0.125,0.875,1.0,0.09913951136221727
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,0.9744102412230782,0.12658227848101267,0.12582781456953643,0.8741721854304636,1.0,0.9860317488520963,0.31645569620253167,0.32450331125827814,0.6754966887417219,1.0,0.3306331874843547
3,turquoise pillows,brand_entity_proxy,997,55,0.8101238658574904,0.012953367875647668,0.10909090909090909,0.8909090909090909,1.0,0.6646767425970985,0.023316062176165803,0.14545454545454545,0.8545454545454545,1.0,0.4898347828598765,0.054404145077720206,0.14545454545454545,0.8545454545454545,0.98,0.5395936392054983
4,chair and a half recliner,multi_constraint,239,23,0.4280127047850847,0.02631578947368421,0.0,1.0,0.5,0.4340045282663217,0.042105263157894736,0.043478260869565216,0.9565217391304348,0.4,0.5641492311712476,0.07368421052631578,0.17391304347826086,0.8260869565217391,0.3,0.35327775924435273
5,sofa with ottoman,product_type,1344,179,1.0,0.007639419404125287,0.055865921787709494,0.9441340782122905,1.0,1.0,0.015278838808250574,0.11173184357541899,0.888268156424581,1.0,0.9710599330743201,0.0374331550802139,0.2569832402234637,0.7430167597765363,0.98,0.5421640835375778
6,acrylic clear chair,attribute_constraint,109,43,0.955830517697074,0.0707070707070707,0.16279069767441862,0.8372093023255813,0.7,0.9487858101526574,0.08080808080808081,0.18604651162790697,0.813953488372093,0.4,0.8261474325095999,0.1111111111111111,0.23255813953488372,0.7674418604651163,0.22,0.5153694925223858
7,driftwood mirror,product_type,603,23,1.0,0.018691588785046728,0.43478260869565216,0.5652173913043479,1.0,0.7891679910835502,0.037383177570093455,0.4782608695652174,0.5217391304347826,1.0,0.8393271832563705,0.09345794392523364,0.6086956521739131,0.3913043478260869,1.0,0.4871881190212387
9,coffee table fire pit,product_type,1516,74,1.0,0.006622516556291391,0.13513513513513514,0.8648648648648649,1.0,0.9520891347353647,0.013245033112582781,0.24324324324324326,0.7567567567567568,1.0,0.9645421218688469,0.031788079470198675,0.6081081081081081,0.3918918918918919,0.96,0.3832982998672995
10,king poster bed,attribute_constraint,177,21,0.7768604938853789,0.056818181818181816,0.2857142857142857,0.7142857142857143,1.0,0.743286373038725,0.11363636363636363,0.5238095238095238,0.47619047619047616,1.0,0.9149189224545351,0.22727272727272727,0.8095238095238095,0.19047619047619047,0.8,0.4918209260764874
11,ombre rug,product_type,1428,65,0.9575861412006988,0.007042253521126761,0.13846153846153847,0.8615384615384616,1.0,0.9726274804087407,0.014084507042253521,0.2923076923076923,0.7076923076923076,1.0,0.9432268691782233,0.035211267605633804,0.6923076923076923,0.3076923076923077,1.0,0.3379755072346654
13,outdoor privacy wall,product_type,122,46,1.0,0.15789473684210525,0.1956521739130435,0.8043478260869565,0.9,1.0,0.3157894736842105,0.391304347826087,0.6086956521739131,0.9,0.8776059430795311,0.6491228070175439,0.7391304347826086,0.26086956521739135,0.76,0.7021362310351585
14,beds that have leds,product_type,2692,20,0.8874699304014748,0.005728835136855506,0.4,0.6,0.9,0.7359588242863818,0.008911521323997454,0.5,0.5,0.85,0.8231200590263255,0.025461489497135583,0.75,0.25,0.94,0.4806482271887173
16,blk 18x18 seat cushions,attribute_constraint,493,4,0.6280875503383928,0.011278195488721804,0.0,1.0,0.3,0.7044273067113463,0.011278195488721804,0.0,1.0,0.15,0.7693998767844404,0.041353383458646614,0.5,0.5,0.22,0.06251943883253873
17,closet storage with zipper,product_type,103,21,0.836179114306529,0.08737864077669903,0.2857142857142857,0.7142857142857143,0.9,0.6810203634835195,0.17475728155339806,0.38095238095238093,0.6190476190476191,0.9,0.8494246394968025,0.3300970873786408,0.5714285714285714,0.4285714285714286,0.68,0.3233926831307152
19,gurney  slade 56,attribute_constraint,14,0,0.8006937664098821,0.1,,,0.1,0.9793710048273764,0.1,,,0.05,0.9793710048273764,0.3,,,0.06,0.4314554973040049
20,foutains with brick look,product_type,94,12,0.2586648128282748,0.05555555555555555,0.0,1.0,0.7,0.41906794550505966,0.07777777777777778,0.0,1.0,0.45,0.636655998733265,0.1,0.0,1.0,0.22,-0.10174864919878412
22,light and navy blue decorative pillow,multi_constraint,251,22,0.4589627680851436,0.03571428571428571,0.09090909090909091,0.9090909090909091,0.7,0.43864799385332315,0.05102040816326531,0.09090909090909091,0.9090909090909091,0.5,0.6131766307646495,0.10714285714285714,0.13636363636363635,0.8636363636363636,0.42,0.5958689048754302
26,leather chairs,attribute_constraint,3746,876,1.0,0.0030422878004259203,0.01141552511415525,0.9885844748858448,1.0,1.0,0.005780346820809248,0.021689497716894976,0.978310502283105,0.95,0.9281801091507714,0.013994523881959233,0.04452054794520548,0.9554794520547946,0.92,0.5171347405330772
27,outdoor welcome rug,product_type,344,100,0.9368077570869662,0.029239766081871343,0.09,0.91,1.0,0.8404982873976915,0.05847953216374269,0.14,0.86,1.0,0.7600871359000729,0.14035087719298245,0.29,0.71,0.96,0.273015259350067
28,rooster decor,brand_entity_proxy,725,175,1.0,0.03333333333333333,0.05714285714285714,0.9428571428571428,1.0,1.0,0.06666666666666667,0.11428571428571428,0.8857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,0.7142857142857143,1.0,0.7098211825610301
31,burnt orange curtains,product_type,168,1,0.6943559465628248,0.023809523809523808,0.0,1.0,0.4,0.7787676299523247,0.07738095238095238,0.0,1.0,0.65,0.865751383782762,0.16666666666666666,0.0,1.0,0.56,-0.12685217798408638
35,enclosed shoe rack,product_type,174,51,0.3333333333333333,0.05232558139534884,0.0,1.0,0.9,0.4058692656066029,0.10465116279069768,0.058823529411764705,0.9411764705882353,0.9,0.43607024780856146,0.26744186046511625,0.1568627450980392,0.8431372549019608,0.92,-0.06474190317982705
36,laundry basket with wheels,product_type,157,37,0.9134166588977729,0.057692307692307696,0.21621621621621623,0.7837837837837838,0.9,0.7812770435766637,0.10256410256410256,0.2702702702702703,0.7297297297297297,0.8,0.7986963002271608,0.24358974358974358,0.5135135135135135,0.4864864864864865,0.76,0.4075873000549225
37,bar stool 24 inches height,multi_constraint,875,110,0.7474777742160432,0.012150668286755772,0.05454545454545454,0.9454545454545454,1.0,0.7193615272011008,0.023086269744835967,0.1,0.9,0.95,0.63522252472565,0.054678007290400975,0.18181818181818182,0.8181818181818181,0.9,0.2868069974460065
38,calvin patio chair,product_type,255,1,1.0,0.04716981132075472,1.0,0.0,1.0,1.0,0.09433962264150944,1.0,0.0,1.0,1.0,0.22169811320754718,1.0,0.0,0.94,0.5389201147226917
