query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.9095430364058891,0.003316749585406302,0.20512820512820512,0.7948717948717949,1.0,0.8167836898581076,0.006301824212271974,0.3333333333333333,0.6666666666666667,1.0,0.8703282664852926,0.015920398009950248,0.7948717948717948,0.20512820512820518,0.98,0.3708179121579246
1,smart coffee table,product_type,1436,8,0.5255664792793981,0.007052186177715092,0.125,0.875,1.0,0.6048136069557486,0.014104372355430184,0.125,0.875,1.0,0.716076660716058,0.03455571227080395,0.125,0.875,0.98,0.10301139071846152
2,dinosaur,brand_entity_proxy,165,151,0.9537125187088151,0.06329113924050633,0.059602649006622516,0.9403973509933775,1.0,0.9701275709322188,0.12658227848101267,0.12582781456953643,0.8741721854304636,1.0,0.9836940396642968,0.31645569620253167,0.32450331125827814,0.6754966887417219,1.0,0.2935527266553543
3,turquoise pillows,brand_entity_proxy,997,55,0.8480411588814943,0.012953367875647668,0.12727272727272726,0.8727272727272728,1.0,0.6759219882429082,0.02461139896373057,0.14545454545454545,0.8545454545454545,1.0,0.5051221598912796,0.054404145077720206,0.14545454545454545,0.8545454545454545,0.92,0.5325264672603865
4,chair and a half recliner,multi_constraint,239,23,0.42203467342381934,0.015789473684210527,0.0,1.0,0.3,0.45051009859468394,0.042105263157894736,0.043478260869565216,0.9565217391304348,0.4,0.6046502884576989,0.07894736842105263,0.17391304347826086,0.8260869565217391,0.3,0.40294767778790186
5,sofa with ottoman,product_type,1344,179,1.0,0.007639419404125287,0.055865921787709494,0.9441340782122905,1.0,1.0,0.014514896867838044,0.10614525139664804,0.8938547486033519,0.95,0.9500564557304575,0.03666921313980138,0.24022346368715083,0.7597765363128491,0.96,0.5158657714732916
6,acrylic clear chair,attribute_constraint,109,43,1.0,0.050505050505050504,0.11627906976744186,0.8837209302325582,0.5,0.9056451064209786,0.0707070707070707,0.16279069767441862,0.8372093023255813,0.35,0.8548680095512318,0.1111111111111111,0.23255813953488372,0.7674418604651163,0.22,0.5580466614957533
7,driftwood mirror,product_type,603,23,1.0,0.018691588785046728,0.43478260869565216,0.5652173913043479,1.0,0.7878157576323208,0.037383177570093455,0.4782608695652174,0.5217391304347826,1.0,0.8378024770778367,0.09345794392523364,0.6086956521739131,0.3913043478260869,1.0,0.5002592710425909
9,coffee table fire pit,product_type,1516,74,1.0,0.006622516556291391,0.13513513513513514,0.8648648648648649,1.0,0.9501727158973856,0.013245033112582781,0.24324324324324326,0.7567567567567568,1.0,0.9728016186306943,0.03245033112582781,0.6351351351351351,0.3648648648648649,0.98,0.3820990313682621
10,king poster bed,attribute_constraint,177,21,0.8777267965010664,0.056818181818181816,0.38095238095238093,0.6190476190476191,1.0,0.7840752097825558,0.11363636363636363,0.5714285714285714,0.4285714285714286,1.0,0.9302969095200343,0.25,0.9047619047619048,0.09523809523809523,0.88,0.49652267325691657
11,ombre rug,product_type,1428,65,0.8532721558012799,0.007042253521126761,0.13846153846153847,0.8615384615384616,1.0,0.9053066402442285,0.014084507042253521,0.2923076923076923,0.7076923076923076,1.0,0.9054670962088565,0.035211267605633804,0.6923076923076923,0.3076923076923077,1.0,0.35055184892748714
13,outdoor privacy wall,product_type,122,46,0.914856882358379,0.08771929824561403,0.10869565217391304,0.8913043478260869,0.6,0.8994680916106864,0.22807017543859648,0.2826086956521739,0.7173913043478262,0.7,0.8627020568558964,0.5789473684210527,0.6521739130434783,0.34782608695652173,0.68,0.659731936183316
14,beds that have leds,product_type,2692,20,0.9477344873475497,0.005728835136855506,0.4,0.6,0.9,0.789095136086036,0.009548058561425843,0.6,0.4,0.85,0.8657565314494658,0.024824952259707194,0.8,0.19999999999999996,0.86,0.504493873650806
16,blk 18x18 seat cushions,attribute_constraint,493,4,0.6190206661677634,0.007518796992481203,0.0,1.0,0.2,0.6972215157342291,0.011278195488721804,0.0,1.0,0.15,0.7523444782769491,0.045112781954887216,0.5,0.5,0.24,0.07678269956174454
17,closet storage with zipper,product_type,103,21,0.8566545804700255,0.08737864077669903,0.3333333333333333,0.6666666666666667,0.9,0.7197734846177101,0.1262135922330097,0.38095238095238093,0.6190476190476191,0.65,0.8687553967663523,0.21359223300970873,0.42857142857142855,0.5714285714285714,0.44,0.311235063464147
19,gurney  slade 56,attribute_constraint,14,0,0.8006937664098821,0.3,,,0.3,0.9793710048273764,0.3,,,0.15,0.9793710048273764,0.3,,,0.06,0.4314554973040049
20,foutains with brick look,product_type,94,12,0.27051861595742815,0.044444444444444446,0.0,1.0,0.6,0.41523096436664597,0.07777777777777778,0.0,1.0,0.45,0.6276024819324062,0.08888888888888889,0.0,1.0,0.2,-0.14464724254439024
22,light and navy blue decorative pillow,multi_constraint,251,22,0.48317417546358005,0.03571428571428571,0.09090909090909091,0.9090909090909091,0.7,0.43003572030993564,0.04591836734693878,0.13636363636363635,0.8636363636363636,0.45,0.5899339006283252,0.09183673469387756,0.13636363636363635,0.8636363636363636,0.36,0.6031268842196348
26,leather chairs,attribute_constraint,3746,876,0.9510907186004265,0.0027380590203833284,0.0091324200913242,0.9908675799086758,0.9,0.9215954250098874,0.005476118040766657,0.017123287671232876,0.9828767123287672,0.9,0.8646451177292444,0.013994523881959233,0.03881278538812785,0.9611872146118722,0.92,0.5156058518907961
27,outdoor welcome rug,product_type,344,100,0.8463507934928552,0.029239766081871343,0.07,0.9299999999999999,1.0,0.8515767202876453,0.05847953216374269,0.15,0.85,1.0,0.7685552567029853,0.14619883040935672,0.3,0.7,1.0,0.34127121433940194
