query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.9134166588977729,0.003316749585406302,0.20512820512820512,0.7948717948717949,1.0,0.779671917925201,0.006301824212271974,0.28205128205128205,0.717948717948718,0.95,0.6784877319844564,0.015920398009950248,0.358974358974359,0.641025641025641,0.96,0.2836646567614032
1,smart coffee table,product_type,1436,8,0.4987937677664548,0.006346967559943582,0.125,0.875,1.0,0.5825128823384313,0.013399153737658674,0.125,0.875,1.0,0.700054610581626,0.03455571227080395,0.125,0.875,1.0,0.06084419446006774
2,dinosaur,brand_entity_proxy,165,151,1.0,0.06329113924050633,0.06622516556291391,0.9337748344370861,1.0,0.9735859552961229,0.12025316455696203,0.11920529801324503,0.880794701986755,0.95,0.9855818097594397,0.14556962025316456,0.1456953642384106,0.8543046357615894,0.46,0.22149299424802738
3,turquoise pillows,brand_entity_proxy,997,55,0.47481757731527635,0.011658031088082901,0.03636363636363636,0.9636363636363636,0.9,0.4829665402894305,0.023316062176165803,0.07272727272727272,0.9272727272727272,0.95,0.4109814798316458,0.05569948186528497,0.10909090909090909,0.8909090909090909,0.94,0.39767693250979275
4,chair and a half recliner,multi_constraint,239,23,0.48006117753205346,0.03684210526315789,0.043478260869565216,0.9565217391304348,0.7,0.4767323987161244,0.06842105263157895,0.08695652173913043,0.9130434782608696,0.65,0.6974369143425437,0.15263157894736842,0.21739130434782608,0.782608695652174,0.58,0.5423842967484085
5,sofa with ottoman,product_type,1344,179,0.9074250374176304,0.006875477463712758,0.0446927374301676,0.9553072625698324,0.9,0.9160176165387452,0.014514896867838044,0.09497206703910614,0.9050279329608939,0.95,0.8937630406585968,0.03590527119938885,0.21787709497206703,0.782122905027933,0.94,0.39458958679685524
6,acrylic clear chair,attribute_constraint,109,43,1.0,0.10101010101010101,0.23255813953488372,0.7674418604651163,1.0,0.9772913518293451,0.15151515151515152,0.3488372093023256,0.6511627906976745,0.75,0.8332122449146945,0.1717171717171717,0.37209302325581395,0.627906976744186,0.34,0.4742287016320595
7,driftwood mirror,product_type,603,23,0.7620807610626807,0.018691588785046728,0.2608695652173913,0.7391304347826086,1.0,0.6574372310509815,0.037383177570093455,0.34782608695652173,0.6521739130434783,1.0,0.7662327467836303,0.09345794392523364,0.5652173913043478,0.4347826086956522,1.0,0.46984936133740823
8,home sweet home sign,product_type,105,25,0.9575861412006988,0.10638297872340426,0.36,0.64,1.0,0.8286103289341045,0.18085106382978725,0.48,0.52,0.85,0.8856318118657265,0.2872340425531915,0.68,0.31999999999999995,0.56,0.5104791795748169
9,coffee table fire pit,product_type,1516,74,0.9537125187088151,0.006622516556291391,0.12162162162162163,0.8783783783783784,1.0,0.9474189227615639,0.013245033112582781,0.24324324324324326,0.7567567567567568,1.0,0.7770345393165211,0.031788079470198675,0.36486486486486486,0.6351351351351351,0.96,0.2817437990668369
