dataset,method,queries,cNDCG@10,delta_cNDCG@10,cNDCG_ci_low,cNDCG_ci_high,p_cNDCG,query_macro_VI@20,delta_query_macro_VI@20,VI_ci_low,VI_ci_high,p_VI,relevance_loss_confirmed,VI_reduced,aligned_success
wands,Original,384,0.8246828875288349,0.0,0.0,0.0,1.0,0.1193180734269661,0.0,0.0,0.0,1.0,False,False,False
wands,M1 factual,384,0.8178193691087234,-0.0068635184201115,-0.0137059976658972,-0.0001776304867893,0.0555944405559444,0.1122837852320072,-0.0070342881949589,-0.0239273833202484,0.0081085210637016,0.3934606539346065,True,True,False
wands,M2 canonical,384,0.8030023689534211,-0.0216805185754139,-0.0332149937431222,-0.01032736126313,0.0003999600039996,0.0,-0.1193180734269661,-0.1374171728901994,-0.1027558984787719,9.999000099990002e-05,True,True,False
wands,set_mean,384,0.8151136959090464,-0.0095691916197885,-0.0194644444899335,0.000265943543406,0.058994100589941,0.0,-0.1193180734269661,-0.1374171728901994,-0.1027558984787719,9.999000099990002e-05,False,True,True
wands,late_mean,384,0.8057926603054664,-0.0188902272233685,-0.029442261763548,-0.0082207595525909,0.0005999400059994,0.0,-0.1193180734269661,-0.1374171728901994,-0.1027558984787719,9.999000099990002e-05,True,True,False
wands,late_max,384,0.8093438132898365,-0.0153390742389984,-0.0264362916802849,-0.0046290410316623,0.0046995300469953,0.0,-0.1193180734269661,-0.1374171728901994,-0.1027558984787719,9.999000099990002e-05,True,True,False
wands,late_top3,384,0.8105740020703882,-0.0141088854584466,-0.0243739176562162,-0.00384222675869,0.004999500049995,0.0,-0.1193180734269661,-0.1374171728901994,-0.1027558984787719,9.999000099990002e-05,True,True,False
esci,Original,500,0.7124454703586713,0.0,0.0,0.0,1.0,0.0366180616955664,0.0,0.0,0.0,1.0,False,False,False
esci,M1 factual,500,0.7061174440746639,-0.0063280262840073,-0.0138380009080497,0.0012084531028913,0.1087891210878912,0.0307800603492397,-0.0058380013463266,-0.015370526624513,0.0030577296175111,0.231976802319768,False,True,True
esci,M2 canonical,500,0.7192272500402048,0.0067817796815334,-0.0015500157517977,0.0151788667179921,0.1127887211278872,0.0,-0.0366180616955664,-0.0453910150960383,-0.0285679260240764,9.999000099990002e-05,False,True,True
esci,set_mean,500,0.7058780646586647,-0.0065674057000065,-0.0187073417993302,0.0054796048420541,0.294970502949705,0.0,-0.0366180616955664,-0.0453910150960383,-0.0285679260240764,9.999000099990002e-05,False,True,True
esci,late_mean,500,0.7025637606073227,-0.0098817097513485,-0.0212048734548332,0.0016644521614672,0.0956904309569043,0.0,-0.0366180616955664,-0.0453910150960383,-0.0285679260240764,9.999000099990002e-05,False,True,True
esci,late_max,500,0.7041295391791198,-0.0083159311795514,-0.0207629906072177,0.0042444782033314,0.1934806519348065,0.0,-0.0366180616955664,-0.0453910150960383,-0.0285679260240764,9.999000099990002e-05,False,True,True
esci,late_top3,500,0.7025637606073227,-0.0098817097513485,-0.0212048734548332,0.0016644521614672,0.0956904309569043,0.0,-0.0366180616955664,-0.0453910150960383,-0.0285679260240764,9.999000099990002e-05,False,True,True
