dataset,factor,level,label,pairs,queries,macro_vi20,ci_low,ci_high
wands,margin_band,"(-0.01, 0.0]",Exact,2149,260,0.5935319383396024,0.5593486216533873,0.6281127271377991
wands,margin_band,"(-0.01, 0.0]",Irrelevant,276,85,0.3715637891520244,0.2879725935828877,0.4574856187929717
wands,margin_band,"(-0.01, 0.0]",Partial,4755,400,0.469400884579921,0.4442669442886463,0.49519772571710957
wands,margin_band,"(-0.05, -0.01]",Exact,11314,297,0.05254074908313355,0.0390967794665442,0.068048757832658
wands,margin_band,"(-0.05, -0.01]",Irrelevant,5154,245,0.015103196157596912,0.006260567932710129,0.026718523915216518
wands,margin_band,"(-0.05, -0.01]",Partial,46030,449,0.02182956589523045,0.017040754881282386,0.028103375955736754
wands,margin_band,"(-0.1, -0.05]",Exact,7209,262,0.00029519865622245505,0.0,0.000814914600276073
wands,margin_band,"(-0.1, -0.05]",Irrelevant,16045,344,0.0,0.0,0.0
wands,margin_band,"(-0.1, -0.05]",Partial,57746,458,7.35332153396966e-05,0.0,0.0001794131879169801
wands,margin_band,"(-inf, -0.1]",Exact,1725,155,0.0,0.0,0.0
wands,margin_band,"(-inf, -0.1]",Irrelevant,39027,374,0.0,0.0,0.0
wands,margin_band,"(-inf, -0.1]",Partial,33186,400,0.0,0.0,0.0
wands,margin_band,"(0.0, 0.01]",Exact,1298,240,0.6040036332131921,0.5657364412888309,0.6400023388410337
wands,margin_band,"(0.0, 0.01]",Irrelevant,123,64,0.6085069444444444,0.5030381944444444,0.7131076388888888
wands,margin_band,"(0.0, 0.01]",Partial,2162,359,0.6309155215676598,0.6000588702652238,0.6605961972058564
wands,margin_band,"(0.01, 0.05]",Exact,1527,289,0.09300844772298059,0.07332088843010123,0.11451875750643052
wands,margin_band,"(0.01, 0.05]",Irrelevant,92,54,0.07376543209876543,0.026234567901234566,0.12901234567901235
wands,margin_band,"(0.01, 0.05]",Partial,1666,356,0.12275407956587732,0.1009698667827179,0.14583240320073185
wands,margin_band,"(0.05, 0.1]",Exact,222,100,0.0,0.0,0.0
wands,margin_band,"(0.05, 0.1]",Irrelevant,2,2,0.0,0.0,0.0
wands,margin_band,"(0.05, 0.1]",Partial,110,68,0.0,0.0,0.0
wands,margin_band,"(0.1, inf]",Exact,26,16,0.0,0.0,0.0
wands,margin_band,"(0.1, inf]",Partial,15,4,0.0,0.0,0.0
wands,query_length_band,1,Exact,2518,20,0.1253720734531326,0.09096994355881495,0.1659979637964681
wands,query_length_band,1,Irrelevant,641,21,0.00909090909090909,0.0,0.022943722943722943
wands,query_length_band,1,Partial,89,12,0.06572420634920634,0.011904761904761904,0.13196304563492037
wands,query_length_band,2-3,Exact,18373,222,0.10555213995463453,0.0899299138385877,0.12237542342934372
wands,query_length_band,2-3,Irrelevant,44329,240,0.011576331616229044,0.006281645936878716,0.01896582289339408
wands,query_length_band,2-3,Partial,94601,275,0.04707071887170948,0.04124308460740258,0.05313442217593407
wands,query_length_band,4+,Exact,4579,137,0.14405379116557285,0.11395776546526673,0.17805751011790996
wands,query_length_band,4+,Irrelevant,15749,162,0.004876868069194215,0.0025931632252038086,0.007630095744778143
wands,query_length_band,4+,Partial,50980,181,0.06616020327725441,0.058264565912678125,0.07454635716283864
wands,length_band,"(-1.0, 128.0]",Exact,79,30,0.1398496240601504,0.03984962406015037,0.2612781954887218
wands,length_band,"(-1.0, 128.0]",Irrelevant,284,97,0.010309278350515464,0.0,0.030927835051546393
wands,length_band,"(-1.0, 128.0]",Partial,345,143,0.03057498057498057,0.008624708624708625,0.058548951048951026
wands,length_band,"(1024.0, inf]",Exact,2069,154,0.12479216889227479,0.09101337186614616,0.1604344206657859
wands,length_band,"(1024.0, inf]",Irrelevant,4830,211,0.015190139428760645,0.0032974668216926924,0.030946771767111487
wands,length_band,"(1024.0, inf]",Partial,14207,328,0.05797653594830051,0.04592607184214801,0.07176273397413424
