dataset,K,method_a,method_b,metric,delta,ci_low,ci_high
wands,50,rule_appearance,Original,Recall@20,-0.0043656598177808596,-0.012719512547211884,0.0021046600408246743
wands,50,rule_appearance,Original,returned_condensed_NDCG@10,-0.0019795731272646082,-0.007028943558498515,0.0030968497535845264
wands,50,rule_appearance,hybrid,Recall@20,-0.011506851384683494,-0.02805856446024156,0.0031702616075440534
wands,50,rule_appearance,hybrid,returned_condensed_NDCG@10,-0.0028313194620553485,-0.011310207810443233,0.005530199155733467
wands,50,hybrid,Original,Recall@20,0.007141191566902633,-0.0066809683342432015,0.022091152846539765
wands,50,hybrid,Original,returned_condensed_NDCG@10,0.0008517463347907394,-0.007956542921345242,0.009823114824053297
wands,100,rule_appearance,Original,Recall@20,0.0066184857068419395,-0.00031495200699173213,0.015779125383178137
wands,100,rule_appearance,Original,returned_condensed_NDCG@10,0.0014757478898463794,-0.003275647308948182,0.006292061355877993
wands,100,rule_appearance,hybrid,Recall@20,-0.00926308620386922,-0.023823151395432663,0.004013222988174276
wands,100,rule_appearance,hybrid,returned_condensed_NDCG@10,-0.00022815517079649672,-0.008055599959275515,0.00748910668430748
wands,100,hybrid,Original,Recall@20,0.015881571910711156,0.004054124087790812,0.029982402700869507
wands,100,hybrid,Original,returned_condensed_NDCG@10,0.0017039030606428762,-0.0061523661599914,0.00979205103794979
wands,200,rule_appearance,Original,Recall@20,0.0027760998191872213,-0.0038919771017124896,0.011383312369069969
wands,200,rule_appearance,Original,returned_condensed_NDCG@10,0.005759189488315735,0.0017943923862716253,0.01000338413095101
wands,200,rule_appearance,hybrid,Recall@20,-0.0017846358959822612,-0.011857264512183626,0.00824696505547633
wands,200,rule_appearance,hybrid,returned_condensed_NDCG@10,0.003403406649838031,-0.003500433798375507,0.010820687402404444
wands,200,hybrid,Original,Recall@20,0.004560735715169483,-0.007709257808136885,0.0178545776153573
wands,200,hybrid,Original,returned_condensed_NDCG@10,0.0023557828384777033,-0.00521136466906804,0.009827515978372526
wands,500,rule_appearance,Original,Recall@20,0.005363489198392161,-3.9875731058056024e-05,0.013647563184799904
wands,500,rule_appearance,Original,returned_condensed_NDCG@10,0.002670618534715995,3.829581108863179e-05,0.005516367275585048
wands,500,rule_appearance,hybrid,Recall@20,-0.00038123150730741764,-0.005036073562803142,0.00421043889783456
wands,500,rule_appearance,hybrid,returned_condensed_NDCG@10,0.002104396625841299,-0.0015657226028387733,0.006153215252783167
wands,500,hybrid,Original,Recall@20,0.005744720705699579,-0.00201263791578324,0.0158589082915439
wands,500,hybrid,Original,returned_condensed_NDCG@10,0.0005662219088746959,-0.003817716614449681,0.005056400267985907
esci,50,rule_appearance,Original,Recall@20,0.0016932678532193357,-0.0036097700268476027,0.007903538669577319
esci,50,rule_appearance,Original,returned_condensed_NDCG@10,0.0009242380757632957,-0.001906962679685032,0.0039020091509038356
esci,50,rule_appearance,hybrid,Recall@20,-0.001041919133279198,-0.014014205124775806,0.012443098316161662
esci,50,rule_appearance,hybrid,returned_condensed_NDCG@10,-0.0007918627394644998,-0.007975216987594869,0.006721810100309318
esci,50,hybrid,Original,Recall@20,0.002735186986498534,-0.010352625199411164,0.01565962244077986
esci,50,hybrid,Original,returned_condensed_NDCG@10,0.001716100815227795,-0.005785733722491692,0.009014358509627415
esci,100,rule_appearance,Original,Recall@20,0.00023200747148642922,-0.0009646824451433666,0.001367922741920737
esci,100,rule_appearance,Original,returned_condensed_NDCG@10,0.001032737588756738,1.8264884460900655e-06,0.0021689936004990334
esci,100,rule_appearance,hybrid,Recall@20,-0.0024013172574884095,-0.009533921890170428,0.004998822320208509
esci,100,rule_appearance,hybrid,returned_condensed_NDCG@10,-0.002253374194673279,-0.006872948402711732,0.0018884339510050131
esci,100,hybrid,Original,Recall@20,0.002633324728974839,-0.0049426288682926965,0.009900149365212928
esci,100,hybrid,Original,returned_condensed_NDCG@10,0.003286111783430018,-0.0009459045644622451,0.007923766417781863
esci,200,rule_appearance,Original,Recall@20,0.0005994895774454895,-0.0005377054475250863,0.00201191760810999
esci,200,rule_appearance,Original,returned_condensed_NDCG@10,2.6188629404529096e-05,-0.0010620490458844978,0.0010731737767988392
esci,200,rule_appearance,hybrid,Recall@20,-0.004552746110862344,-0.010427471242852003,0.00031671605318899843
esci,200,rule_appearance,hybrid,returned_condensed_NDCG@10,-0.001237843502278403,-0.003966920903988607,0.0013966727000021472
esci,200,hybrid,Original,Recall@20,0.005152235688307833,8.592887851404867e-05,0.011144513538676864
esci,200,hybrid,Original,returned_condensed_NDCG@10,0.001264032131682932,-0.001487448346075552,0.004094921319684586
esci,500,rule_appearance,Original,Recall@20,-0.0004770224209101969,-0.0017016939862631252,0.0007253823887090417
esci,500,rule_appearance,Original,returned_condensed_NDCG@10,-0.00014237424754073679,-0.0009659148352540396,0.0005879445731103884
esci,500,rule_appearance,hybrid,Recall@20,-0.0015156194961457666,-0.0044536080708425406,0.0012684224357298757
esci,500,rule_appearance,hybrid,returned_condensed_NDCG@10,0.00015523847029294292,-0.002138431277753104,0.0024584519182609503
esci,500,hybrid,Original,Recall@20,0.0010385970752355696,-0.0018314737054934854,0.0040080332534262126
esci,500,hybrid,Original,returned_condensed_NDCG@10,-0.0002976127178336796,-0.0025910023989959728,0.001829079536366032
