dataset,encoder,method_a,method_b,metric,delta,ci_low,ci_high,scope
wands,bge_base,hybrid,Original,Recall@100,0.04893038272342095,0.032492979595662407,0.06661314768159497,descriptive additional contrasts; not used for selection
wands,bge_base,hybrid,Original,cNDCG@10,0.00240438655893186,-0.007439469002978293,0.01215224172787573,descriptive additional contrasts; not used for selection
wands,bge_base,canonical_raw,Original,Recall@100,0.000659607820912872,-0.015047842561319157,0.01617923310456206,descriptive additional contrasts; not used for selection
wands,bge_base,canonical_raw,Original,cNDCG@10,-0.001604056648306547,-0.005963633517108683,0.0026641343495531614,descriptive additional contrasts; not used for selection
wands,bge_base,canonical,Original,Recall@100,0.0016002521662791015,-0.019422629871778466,0.023366943380778566,descriptive additional contrasts; not used for selection
wands,bge_base,canonical,Original,cNDCG@10,-0.021680518575413935,-0.0333101721192248,-0.010518602108152081,descriptive additional contrasts; not used for selection
wands,bge_base,set_mean,Original,Recall@100,-0.013508818778138462,-0.0325036535996734,0.005447374786688616,descriptive additional contrasts; not used for selection
wands,bge_base,set_mean,Original,cNDCG@10,-0.009697905163471887,-0.019504779946578076,0.00011976650987788894,descriptive additional contrasts; not used for selection
wands,bge_base,rule_appearance,canonical_raw,Recall@100,-0.001141711073301999,-0.011311372418159075,0.008919309833329288,descriptive additional contrasts; not used for selection
wands,bge_base,rule_appearance,canonical_raw,cNDCG@10,-0.00028440124675841783,-0.003724273619856135,0.0032074915595508673,descriptive additional contrasts; not used for selection
esci,bge_base,hybrid,Original,Recall@100,0.005287203093815443,-0.003385174543179195,0.013719118787922433,descriptive additional contrasts; not used for selection
esci,bge_base,hybrid,Original,cNDCG@10,-0.009224348103993286,-0.020264760686153484,0.001684283575530325,descriptive additional contrasts; not used for selection
esci,bge_base,canonical_raw,Original,Recall@100,0.0006750087258931028,-0.0003808269992812992,0.0017497752403705601,descriptive additional contrasts; not used for selection
esci,bge_base,canonical_raw,Original,cNDCG@10,0.0014641745680282648,-0.0024907277451113445,0.005373160552327769,descriptive additional contrasts; not used for selection
esci,bge_base,canonical,Original,Recall@100,0.003675412157421943,-0.0020713083868409607,0.01024890929481731,descriptive additional contrasts; not used for selection
esci,bge_base,canonical,Original,cNDCG@10,0.005787599642780606,-0.0011919811590494049,0.013054582300174514,descriptive additional contrasts; not used for selection
esci,bge_base,set_mean,Original,Recall@100,-0.020272265227298983,-0.031534631893564986,-0.009009402634354007,descriptive additional contrasts; not used for selection
esci,bge_base,set_mean,Original,cNDCG@10,-0.0038301997172374264,-0.01470252263453375,0.007144442375114534,descriptive additional contrasts; not used for selection
esci,bge_base,rule_appearance,canonical_raw,Recall@100,9.492669549625552e-05,-0.00031642231832085255,0.0006012024048096191,descriptive additional contrasts; not used for selection
esci,bge_base,rule_appearance,canonical_raw,cNDCG@10,0.0002522083325534777,-2.630415901815089e-05,0.0006031727188548315,descriptive additional contrasts; not used for selection
wands,minilm,hybrid,Original,Recall@100,0.07439151428868306,0.05762852925254445,0.09282727014843926,descriptive additional contrasts; not used for selection
wands,minilm,hybrid,Original,cNDCG@10,0.02832493332558793,0.01689943463987765,0.0391575125261238,descriptive additional contrasts; not used for selection
wands,minilm,canonical_raw,Original,Recall@100,-0.018342618474448142,-0.031735865941249865,-0.006399272385603155,descriptive additional contrasts; not used for selection
wands,minilm,canonical_raw,Original,cNDCG@10,-0.001671900413054151,-0.00822877940154354,0.004921186120860509,descriptive additional contrasts; not used for selection
wands,minilm,canonical,Original,Recall@100,-0.059110704177429696,-0.08552752669086615,-0.033079604046528044,descriptive additional contrasts; not used for selection
wands,minilm,canonical,Original,cNDCG@10,-0.023914049388821124,-0.03715425040118249,-0.010441288677989624,descriptive additional contrasts; not used for selection
wands,minilm,set_mean,Original,Recall@100,0.009236721197088394,-0.006576352128622764,0.02518038601519665,descriptive additional contrasts; not used for selection
wands,minilm,set_mean,Original,cNDCG@10,0.006476861738079977,-0.0037406964957853455,0.01670096997734613,descriptive additional contrasts; not used for selection
wands,minilm,rule_appearance,canonical_raw,Recall@100,0.000822089540762243,-0.008196431687309508,0.010607121549415094,descriptive additional contrasts; not used for selection
wands,minilm,rule_appearance,canonical_raw,cNDCG@10,0.0007979751859234277,-0.003909690005762289,0.005621724586270246,descriptive additional contrasts; not used for selection
esci,minilm,hybrid,Original,Recall@100,0.03431790522139108,0.0216760254347724,0.04783930667752832,descriptive additional contrasts; not used for selection
esci,minilm,hybrid,Original,cNDCG@10,0.009573799570505217,-0.001079907675810091,0.020281057473230602,descriptive additional contrasts; not used for selection
esci,minilm,canonical_raw,Original,Recall@100,0.002758347197224953,-0.0004769750122956539,0.007791880380808235,descriptive additional contrasts; not used for selection
esci,minilm,canonical_raw,Original,cNDCG@10,0.00022823659521895888,-0.002732224513908427,0.0032514750900071586,descriptive additional contrasts; not used for selection
esci,minilm,canonical,Original,Recall@100,0.0076429578095532835,-0.002976854448293383,0.018488650808292484,descriptive additional contrasts; not used for selection
esci,minilm,canonical,Original,cNDCG@10,0.00024091063126868706,-0.008572783726840501,0.0087318646914468,descriptive additional contrasts; not used for selection
esci,minilm,set_mean,Original,Recall@100,-0.016342998552976985,-0.029034342576343432,-0.0040856235942674035,descriptive additional contrasts; not used for selection
esci,minilm,set_mean,Original,cNDCG@10,-0.003952393233651146,-0.015722309351170652,0.00729855776188524,descriptive additional contrasts; not used for selection
esci,minilm,rule_appearance,canonical_raw,Recall@100,-0.00039689769148686983,-0.0011841865549280376,0.00014314342971657594,descriptive additional contrasts; not used for selection
esci,minilm,rule_appearance,canonical_raw,cNDCG@10,-0.00027476593106889804,-0.0011997522920476431,0.0007890673170013418,descriptive additional contrasts; not used for selection
esci_new,bge_base,hybrid,Original,Recall@100,0.010608105130163956,-0.011055605383178914,0.03765023010078158,descriptive additional contrasts; not used for selection
esci_new,bge_base,hybrid,Original,cNDCG@10,0.004640404113007411,-0.015519001494759235,0.0253298857738822,descriptive additional contrasts; not used for selection
esci_new,bge_base,canonical_raw,Original,Recall@100,-0.0031666666666666675,-0.013666666666666669,0.005833333333333333,descriptive additional contrasts; not used for selection
esci_new,bge_base,canonical_raw,Original,cNDCG@10,0.001706193311950013,-0.0033518406130257808,0.007349670635196142,descriptive additional contrasts; not used for selection
esci_new,bge_base,canonical,Original,Recall@100,0.010697110759610757,-0.0024134830447330433,0.026004319234006725,descriptive additional contrasts; not used for selection
esci_new,bge_base,canonical,Original,cNDCG@10,-0.0011981052197076942,-0.016943388474077923,0.014358827065132631,descriptive additional contrasts; not used for selection
esci_new,bge_base,set_mean,Original,Recall@100,-0.03414703787497906,-0.06364588358944977,-0.0014534955716941221,descriptive additional contrasts; not used for selection
esci_new,bge_base,set_mean,Original,cNDCG@10,-0.0078671969304911,-0.028488841470289815,0.012964943632213757,descriptive additional contrasts; not used for selection
esci_new,bge_base,rule_appearance,canonical_raw,Recall@100,0.0,0.0,0.0,descriptive additional contrasts; not used for selection
esci_new,bge_base,rule_appearance,canonical_raw,cNDCG@10,-0.00024198420818963395,-0.0027521213665414224,0.0019429860759837352,descriptive additional contrasts; not used for selection
