query_id,n_highest,n_judged,Recall@20,Recall@50,Recall@100,Recall@200,Recall@500,Recall@1000,cNDCG@10
165,6,40,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.4882260569241601
433,7,40,0.5714285714285714,0.7142857142857143,1.0,1.0,1.0,1.0,0.39857548101242
500,22,40,0.6818181818181818,1.0,1.0,1.0,1.0,1.0,0.9009587051658638
541,7,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7369073464229107
598,14,39,0.2857142857142857,0.6428571428571429,0.7142857142857143,0.7857142857142857,0.9285714285714286,1.0,0.6550368826229516
600,26,39,0.4230769230769231,0.6153846153846154,0.8846153846153846,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.869812756810242
602,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.46572781762487364
622,26,40,0.5,1.0,1.0,1.0,1.0,1.0,0.4758106018130319
637,13,16,0.8461538461538461,0.9230769230769231,1.0,1.0,1.0,1.0,0.8441320299865964
861,24,40,0.25,0.625,1.0,1.0,1.0,1.0,0.5672701126518629
933,4,16,0.75,1.0,1.0,1.0,1.0,1.0,0.6668218227427406
978,12,16,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.6173124097365786
1210,2,35,0.0,0.0,0.0,0.0,0.0,0.0,0.5903620012820866
1293,10,39,0.3,0.8,1.0,1.0,1.0,1.0,0.17974448429123088
1310,1,40,0.0,1.0,1.0,1.0,1.0,1.0,0.09334845246160044
1458,15,39,0.8,1.0,1.0,1.0,1.0,1.0,0.6886035732343058
1476,17,40,0.5882352941176471,0.8823529411764706,1.0,1.0,1.0,1.0,0.7439955838914349
1530,17,40,0.6470588235294118,0.9411764705882353,1.0,1.0,1.0,1.0,0.619712151933552
1659,5,40,0.6,0.8,0.8,1.0,1.0,1.0,0.36485454405567064
1816,4,16,1.0,1.0,1.0,1.0,1.0,1.0,0.4757579237974727
2286,13,39,0.3076923076923077,0.46153846153846156,0.5384615384615384,0.6923076923076923,0.9230769230769231,0.9230769230769231,0.48355376757621127
2390,2,16,0.0,0.0,0.5,1.0,1.0,1.0,0.2363737678157232
2692,7,16,0.7142857142857143,0.8571428571428571,1.0,1.0,1.0,1.0,0.3879030555964628
2855,7,40,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7587850738569357
3012,5,17,0.2,0.8,0.8,1.0,1.0,1.0,0.25493632338747657
3492,1,15,1.0,1.0,1.0,1.0,1.0,1.0,0.33547749337285077
3494,11,16,1.0,1.0,1.0,1.0,1.0,1.0,0.718735729105768
3986,14,16,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.7160816214754766
4299,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.5721851862284795
4321,5,32,0.0,0.2,0.2,0.2,0.2,0.2,0.4477522649440797
4860,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9256514522283937
4956,7,16,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.6318989035887995
5079,10,16,0.3,0.5,0.7,1.0,1.0,1.0,0.7014756942197136
5094,11,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6287952577213981
5419,5,16,0.8,1.0,1.0,1.0,1.0,1.0,0.7514364421878243
5787,2,13,0.5,0.5,0.5,0.5,0.5,0.5,0.8115288388005426
5921,2,17,1.0,1.0,1.0,1.0,1.0,1.0,0.6467473958204671
6138,3,15,1.0,1.0,1.0,1.0,1.0,1.0,0.6206041796526612
