query_id,n_highest,n_judged,Recall@20,Recall@50,Recall@100,Recall@200,Recall@500,Recall@1000,cNDCG@10
165,6,40,0.16666666666666666,0.16666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.33908654177323605
433,7,40,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,0.27374744178226906
500,22,40,0.7272727272727273,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,0.9370154196830377
541,7,16,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.6568930564495155
598,14,39,0.35714285714285715,0.6428571428571429,0.8571428571428571,1.0,1.0,1.0,0.5381640075604487
600,26,39,0.5769230769230769,0.8076923076923077,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9009587051658638
602,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.51909857349951
622,26,40,0.46153846153846156,1.0,1.0,1.0,1.0,1.0,0.6471766604623548
637,13,16,0.6923076923076923,0.8461538461538461,0.9230769230769231,1.0,1.0,1.0,0.8019174103317278
861,24,40,0.2916666666666667,0.75,1.0,1.0,1.0,1.0,0.4643213875716887
933,4,16,0.75,1.0,1.0,1.0,1.0,1.0,0.3567884126915323
978,12,16,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.6751087553678614
1210,2,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1293,10,39,0.3,0.9,1.0,1.0,1.0,1.0,0.3020083176905271
1310,1,40,0.0,1.0,1.0,1.0,1.0,1.0,0.07496430657574026
1458,15,39,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.5716145678915879
1476,17,40,0.5294117647058824,1.0,1.0,1.0,1.0,1.0,0.48052000513921295
1530,17,40,0.5882352941176471,1.0,1.0,1.0,1.0,1.0,0.4391472502011682
1659,5,40,0.6,0.8,0.8,0.8,1.0,1.0,0.3243106450406081
1816,4,16,1.0,1.0,1.0,1.0,1.0,1.0,0.4885730278033619
2286,13,39,0.15384615384615385,0.3076923076923077,0.6923076923076923,0.8461538461538461,1.0,1.0,0.3782780967959879
2390,2,16,0.5,0.5,1.0,1.0,1.0,1.0,0.3717183365776541
2692,7,16,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.6050301764113198
2855,7,40,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5837173643737456
3012,5,17,0.8,0.8,0.8,0.8,1.0,1.0,0.5181475739004139
3492,1,15,1.0,1.0,1.0,1.0,1.0,1.0,0.33547749337285077
3494,11,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6468562235661908
3986,14,16,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.9223857137111113
4299,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.5925498905320977
4321,5,32,0.0,0.0,0.0,0.0,0.2,0.4,0.31647422886790594
4860,2,16,0.5,1.0,1.0,1.0,1.0,1.0,0.2899240647975705
4956,7,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8714776197426028
5079,10,16,0.2,0.3,0.5,0.6,0.6,0.7,0.5065005004979768
5094,11,16,0.6363636363636364,1.0,1.0,1.0,1.0,1.0,0.7949436629452481
5419,5,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7104218352154378
5787,2,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5921,2,17,1.0,1.0,1.0,1.0,1.0,1.0,0.9298978568474114
6138,3,15,1.0,1.0,1.0,1.0,1.0,1.0,0.67109422771861
6685,8,16,0.625,1.0,1.0,1.0,1.0,1.0,0.6561479087612488
7034,1,15,0.0,1.0,1.0,1.0,1.0,1.0,0.6677387466864252
7126,7,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9447713032095382
7303,12,16,0.6666666666666666,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,0.7540409880994041
7340,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6985663674726266
7545,12,16,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.7840711946778572
7581,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6609400861439592
8063,12,16,0.5,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,0.7799082337019199
8519,8,16,0.875,1.0,1.0,1.0,1.0,1.0,0.669939209261855
8605,6,16,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.8573475126545856
8740,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6463954041350359
9096,11,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7302518817632297
9695,9,16,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,0.5097534187023735
9776,9,16,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,0.5674763146302145
9967,3,16,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2920782154400332
10312,20,39,0.35,0.6,0.8,0.9,1.0,1.0,0.41653401405021806
10370,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6122496142821665
11509,5,14,0.0,0.0,0.4,0.4,0.6,1.0,0.47010098636543834
11621,1,15,0.0,0.0,1.0,1.0,1.0,1.0,0.754744514721805
11875,5,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8278879420263557
11925,28,40,0.35714285714285715,0.7142857142857143,0.8571428571428571,0.8928571428571429,0.9642857142857143,1.0,0.9999999999999998
12176,27,51,0.14814814814814814,0.25925925925925924,0.37037037037037035,0.5555555555555556,0.8888888888888888,1.0,0.6798005094796782
12432,12,16,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.5833333333333334,1.0,1.0,0.8550616709584541
12557,8,40,0.5,0.5,0.5,0.5,0.5,0.75,0.5349299955850043
12664,5,18,1.0,1.0,1.0,1.0,1.0,1.0,0.3622568867888227
12809,4,16,0.5,1.0,1.0,1.0,1.0,1.0,0.6425920128359386
13089,32,38,0.46875,1.0,1.0,1.0,1.0,1.0,0.7784328650809952
13169,11,16,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.8181818181818182,1.0,1.0,0.7728789242029191
13471,21,40,0.6190476190476191,0.9047619047619048,0.9523809523809523,1.0,1.0,1.0,0.7041768600358905
13639,15,16,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.7799082337019199
13785,8,16,0.625,1.0,1.0,1.0,1.0,1.0,0.8990732387124822
13954,13,16,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,0.905211635630449
14346,10,16,0.4,0.4,0.4,0.8,1.0,1.0,0.7172151919462776
14880,4,16,0.75,1.0,1.0,1.0,1.0,1.0,0.7397466333385988
14882,11,39,0.7272727272727273,0.9090909090909091,1.0,1.0,1.0,1.0,0.519961075120161
15154,28,32,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.25,0.32142857142857145,0.4642857142857143,0.8750238005138008
15164,7,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7525569496404032
15311,10,16,0.9,0.9,0.9,0.9,1.0,1.0,0.7493674695154267
15647,21,40,0.5238095238095238,0.9523809523809523,1.0,1.0,1.0,1.0,0.575073986183329
15716,14,40,0.6428571428571429,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,1.0,0.7156164003540728
15777,12,16,0.75,0.9166666666666666,1.0,1.0,1.0,1.0,0.8630152897016882
15807,15,16,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,0.9999999999999998
16613,9,16,0.5555555555555556,0.8888888888888888,1.0,1.0,1.0,1.0,0.9187170365403355
16684,13,16,0.6923076923076923,0.8461538461538461,1.0,1.0,1.0,1.0,0.7272261728381055
17384,11,16,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,0.654730162373461
17607,17,27,0.6470588235294118,1.0,1.0,1.0,1.0,1.0,0.6586860559588391
17689,3,16,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.7348137018067531
17742,12,16,0.25,0.25,0.4166666666666667,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.824329899288405
18356,7,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8968043987084245
18553,21,39,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,0.4633257366343435
18679,8,28,0.875,1.0,1.0,1.0,1.0,1.0,0.9292410644337842
18682,8,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8626780943459401
18932,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7323674647469179
19053,14,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9403711988910498
19134,2,15,0.5,0.5,0.5,1.0,1.0,1.0,0.7045890484015767
19268,21,32,0.23809523809523808,0.38095238095238093,0.6190476190476191,0.7619047619047619,0.9047619047619048,0.9523809523809523,0.6075030167684237
19369,11,16,0.6363636363636364,1.0,1.0,1.0,1.0,1.0,0.7419717903780718
19372,15,16,0.8666666666666667,0.9333333333333333,1.0,1.0,1.0,1.0,0.8750238005138008
19380,2,16,0.5,0.5,1.0,1.0,1.0,1.0,0.6131471927654584
19619,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
19694,7,17,1.0,1.0,1.0,1.0,1.0,1.0,0.8045593720109715
19953,3,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8539220060089823
20037,32,41,0.5,1.0,1.0,1.0,1.0,1.0,0.7983949946363419
20185,4,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6606352688550143
20307,5,16,0.8,0.8,0.8,0.8,0.8,0.8,0.830419897363192
20315,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7753023741674897
20385,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.3773206117002924
20500,5,16,0.8,1.0,1.0,1.0,1.0,1.0,0.42282269367304437
20523,3,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.46927872602275644
20788,5,15,0.6,1.0,1.0,1.0,1.0,1.0,0.6199217180873962
21481,17,40,0.6470588235294118,0.8823529411764706,1.0,1.0,1.0,1.0,0.6940515753081951
21645,13,16,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,0.7718309283368899
22173,9,16,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,0.5094405055196456
22211,3,11,1.0,1.0,1.0,1.0,1.0,1.0,0.5997445489767298
22441,7,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7967903622895711
22639,9,16,0.6666666666666666,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,0.8415546898388679
23148,4,12,0.75,0.75,0.75,1.0,1.0,1.0,0.8971236238006621
23260,15,16,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.8,0.9009587051658638
23744,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.33547749337285077
24082,5,15,1.0,1.0,1.0,1.0,1.0,1.0,0.746977216642344
24402,6,16,0.5,0.5,1.0,1.0,1.0,1.0,0.298140916624188
24504,4,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7993730743934276
24668,8,35,0.5,0.75,0.75,0.75,0.75,0.75,0.8346076750709881
24697,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.45992898233195406
24831,19,39,0.6842105263157895,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,0.8459535623499946
25132,12,16,0.08333333333333333,0.4166666666666667,0.6666666666666666,0.75,0.9166666666666666,1.0,0.7975167679274937
25426,5,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9444510040538633
25497,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.5428919891990831
25516,5,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9511391417384273
25591,3,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8810972025975864
26321,9,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9906985929251153
26642,10,16,0.6,0.6,0.7,0.8,0.9,0.9,0.8073246570671425
26872,5,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9044682335422817
27927,8,16,0.75,0.875,1.0,1.0,1.0,1.0,0.9249372331423045
28198,15,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
28637,4,15,0.0,0.25,0.25,0.25,0.75,1.0,0.6207412960974641
29049,4,16,0.75,1.0,1.0,1.0,1.0,1.0,1.0
29123,11,16,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.7824991844420178
29488,7,16,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.8307840596460363
29596,12,16,0.5833333333333334,0.75,0.9166666666666666,1.0,1.0,1.0,0.9216017310213246
29729,9,16,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.8888888888888888,1.0,1.0,0.8611647514916755
29868,10,16,0.6,1.0,1.0,1.0,1.0,1.0,0.7183627972686238
29928,5,15,0.8,0.8,1.0,1.0,1.0,1.0,0.8574148175180135
29941,2,14,1.0,1.0,1.0,1.0,1.0,1.0,0.4975875348131069
29945,5,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6160017010342501
29952,4,16,0.5,1.0,1.0,1.0,1.0,1.0,0.7398955147726466
30020,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9534147754056717
30318,12,16,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.6688708685078204
31573,2,16,0.5,1.0,1.0,1.0,1.0,1.0,0.6727315632987158
31659,7,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9794800604783169
31724,6,16,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,1.0,0.7488274895671814
31889,2,16,0.5,0.5,0.5,0.5,1.0,1.0,0.33221865518338883
32142,10,16,0.9,1.0,1.0,1.0,1.0,1.0,0.8802531908778437
32164,13,40,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.5384615384615384,0.3623308929285181
32311,11,14,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.5454545454545454,0.8268133666517739
32350,9,16,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.7777777777777778,0.8888888888888888,0.8145465809865478
32351,4,16,0.75,1.0,1.0,1.0,1.0,1.0,0.9857086192171374
32430,19,40,0.42105263157894735,0.631578947368421,0.7368421052631579,0.7894736842105263,0.7894736842105263,0.9473684210526315,0.6293834274395881
32612,2,16,0.0,0.5,1.0,1.0,1.0,1.0,0.41218782155758765
32812,4,16,1.0,1.0,1.0,1.0,1.0,1.0,0.910116332518405
32917,7,16,0.0,0.2857142857142857,0.5714285714285714,0.7142857142857143,1.0,1.0,0.5031125781132678
33004,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9427412906209434
33735,20,32,0.65,0.95,1.0,1.0,1.0,1.0,0.8627569126021613
34128,26,40,0.5384615384615384,0.8076923076923077,0.8846153846153846,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.8528127520417332
34229,6,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8712345239874681
34443,7,16,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,0.8370204180328686
34775,3,16,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6206041796526612
34817,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8778830991479503
35117,8,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9168647917599626
35242,2,16,0.0,0.5,0.5,0.5,0.5,0.5,0.38749465544258455
35755,15,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8019174103317278
36669,2,16,0.5,0.5,0.5,0.5,0.5,1.0,0.7977228895450266
36678,2,29,0.0,0.0,0.0,0.0,0.5,0.5,0.5544311100778075
36753,12,16,0.4166666666666667,0.5833333333333334,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8553475075669354
36912,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.422317982455513
36960,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8659620750685778
37451,1,16,0.0,0.0,0.0,1.0,1.0,1.0,0.33547749337285077
37466,24,40,0.5,1.0,1.0,1.0,1.0,1.0,0.6201145356662613
37498,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7658923597070733
37670,13,16,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.6153846153846154,0.9230769230769231,0.6262473096201329
37789,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.2890648263178879
38679,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.63726305616713
39022,3,16,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.6442800739845616
39107,12,16,1.0,1.0,1.0,1.0,1.0,1.0,0.905211635630449
39157,2,16,0.0,0.5,0.5,1.0,1.0,1.0,0.3181113645427967
39263,2,16,0.5,0.5,1.0,1.0,1.0,1.0,0.2363737678157232
40165,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.5355187006614394
40292,7,16,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,0.6284328899693046
40356,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6677387466864252
40483,29,40,0.4482758620689655,1.0,1.0,1.0,1.0,1.0,0.8031231450671943
40528,3,15,1.0,1.0,1.0,1.0,1.0,1.0,0.7233097570489845
40573,23,79,0.6086956521739131,0.9565217391304348,1.0,1.0,1.0,1.0,0.9375119002569003
40615,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
40834,7,72,0.14285714285714285,0.7142857142857143,1.0,1.0,1.0,1.0,0.11438009573372843
41423,24,31,0.125,0.4583333333333333,0.6666666666666666,0.75,0.75,0.7916666666666666,0.7403197768209842
41492,13,40,0.7692307692307693,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,0.8206243897688937
41502,11,16,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.8436999957868073
41795,11,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6109136809561047
42118,3,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9324720591204679
42332,13,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8349311752764399
42405,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7493957830751555
