dataset,encoder,method,metric,queries,mean,ci_low,ci_high
esci,bge_base,Original,cNDCG@10,500,0.7364416359237728,0.7194067083610458,0.752952542964879
esci,bge_base,Original,Recall@20,499,0.7410465636379933,0.714394922206292,0.7670368599251269
esci,bge_base,Original,Recall@50,499,0.8634492628768362,0.8402875749700963,0.8849688343262928
esci,bge_base,Original,Recall@100,499,0.9097759035682006,0.8898616380979651,0.9275223767318622
esci,bge_base,Original,Recall@200,499,0.932836787251947,0.9152136473069401,0.9486544834220648
esci,bge_base,Original,Recall@500,499,0.9572947895692068,0.9428939953736422,0.9701711747371159
esci,bge_base,Original,Recall@1000,499,0.9714106062051954,0.9596494367217063,0.9819858074179216
esci,bge_base,hybrid,cNDCG@10,500,0.7272172878197796,0.7089720995947951,0.7450446620231921
esci,bge_base,hybrid,Recall@20,499,0.7465355891871799,0.7203775249976059,0.773116786218225
esci,bge_base,hybrid,Recall@50,499,0.8734095443292066,0.8513172935175071,0.894669442159225
esci,bge_base,hybrid,Recall@100,499,0.9150631066620161,0.8959114047650459,0.9327561988474085
esci,bge_base,hybrid,Recall@200,499,0.9376531077024168,0.9204201748870693,0.953154005675529
esci,bge_base,hybrid,Recall@500,499,0.9586880724076169,0.9441983081429903,0.9715666311606217
esci,bge_base,hybrid,Recall@1000,499,0.967650421467925,0.9544357165836308,0.9790895487603871
esci,bge_base,canonical,cNDCG@10,500,0.7422292355665535,0.7250598139010958,0.759120220200284
esci,bge_base,canonical,Recall@20,499,0.7514274564359821,0.7247195801589176,0.777025064730914
esci,bge_base,canonical,Recall@50,499,0.8693465937731201,0.8465551111862062,0.8905997154692881
esci,bge_base,canonical,Recall@100,499,0.9134513157256224,0.8942821946282007,0.9308136378290667
esci,bge_base,canonical,Recall@200,499,0.9345663632451818,0.9170677714346039,0.9503993588326023
esci,bge_base,canonical,Recall@500,499,0.9546018662600511,0.9392307204830936,0.9680901400776678
esci,bge_base,canonical,Recall@1000,499,0.9718005955856658,0.9594301824455883,0.9827172898424777
esci,bge_base,canonical_raw,cNDCG@10,500,0.737905810491801,0.7207747407027829,0.7545770591863022
esci,bge_base,canonical_raw,Recall@20,499,0.7384157781684826,0.7112667444117169,0.764893145207516
esci,bge_base,canonical_raw,Recall@50,499,0.8662876658618558,0.8433822149996433,0.8876515583174395
esci,bge_base,canonical_raw,Recall@100,499,0.9104509122940938,0.8905949771927631,0.9282413453765382
esci,bge_base,canonical_raw,Recall@200,499,0.9337218407422109,0.9159776489363829,0.9493979121306082
esci,bge_base,canonical_raw,Recall@500,499,0.957924467728945,0.9434485490298268,0.9707458550111948
esci,bge_base,canonical_raw,Recall@1000,499,0.971381977519252,0.9594572985047684,0.9819970293567488
esci,bge_base,set_mean,cNDCG@10,500,0.7326114362065353,0.7166256772964447,0.7483252538310428
esci,bge_base,set_mean,Recall@20,499,0.719752641952029,0.6935938161178935,0.7455592181857484
esci,bge_base,set_mean,Recall@50,499,0.8392655862540057,0.8159626633719532,0.8613868423678545
esci,bge_base,set_mean,Recall@100,499,0.8895036383409017,0.8686744065615905,0.9089464941704782
esci,bge_base,set_mean,Recall@200,499,0.9234769573896268,0.9050214687734542,0.9401785499197389
esci,bge_base,set_mean,Recall@500,499,0.9495128569118655,0.9337350890614325,0.9636821798256181
esci,bge_base,set_mean,Recall@1000,499,0.9616444823180663,0.9475358025902042,0.9740289062330514
esci,bge_base,rule_appearance,cNDCG@10,500,0.7381580188243546,0.7210580988066824,0.7549085635555188
esci,bge_base,rule_appearance,Recall@20,499,0.7385208834840088,0.7115493527186708,0.764878135440677
esci,bge_base,rule_appearance,Recall@50,499,0.8663099326175896,0.8434798370468387,0.8876296385086933
esci,bge_base,rule_appearance,Recall@100,499,0.91054583898959,0.8909333062356809,0.9283395625975018
esci,bge_base,rule_appearance,Recall@200,499,0.933922241543814,0.916252627315533,0.9496578837597588
esci,bge_base,rule_appearance,Recall@500,499,0.957924467728945,0.9434485490298268,0.9707458550111948
esci,bge_base,rule_appearance,Recall@1000,499,0.971381977519252,0.9594572985047684,0.9819970293567488
esci,bge_base,BM25,cNDCG@10,500,0.7058554981682773,0.6862516062588293,0.7252517376981854
esci,bge_base,BM25,Recall@20,499,0.6768505832258405,0.6469635885865224,0.7067414225428044
esci,bge_base,BM25,Recall@50,499,0.7891880086008402,0.7621915634192339,0.8155486389867858
esci,bge_base,BM25,Recall@100,499,0.8283191483962087,0.8022854609388199,0.8531549894685999
esci,bge_base,BM25,Recall@200,499,0.8598641973906087,0.8357210205089421,0.8831327030546402
esci,bge_base,BM25,Recall@500,499,0.8809536795432562,0.858410022430711,0.9026715829180082
esci,bge_base,BM25,Recall@1000,499,0.8981484867010479,0.8770011583399296,0.9182703035867269
