dataset,method,candidate_K,query_id,n_highest,Recall@20,returned_condensed_NDCG@10,unique_candidates
esci,Original,50,165,6,0.16666666666666666,0.12781441233954055,50
esci,Original,50,433,7,0.5714285714285714,0.3670977080822177,50
esci,Original,50,500,22,0.7727272727272727,0.735889880442304,50
esci,Original,50,541,7,0.8571428571428571,0.6498833581366646,50
esci,Original,50,598,14,0.35714285714285715,0.43277250919634924,50
esci,Original,50,600,26,0.5769230769230769,0.8802531908778441,50
esci,Original,50,602,3,0.0,0.0,50
esci,Original,50,622,26,0.5,0.8555742011319007,50
esci,Original,50,637,13,0.9230769230769231,0.8156491772332682,50
esci,Original,50,861,24,0.25,0.4802705996681767,50
esci,Original,50,933,4,0.5,0.3620582389101789,50
esci,Original,50,978,12,1.0,0.8019174103317279,50
esci,Original,50,1210,2,0.0,0.0,50
esci,Original,50,1293,10,0.5,0.24341903662974093,50
esci,Original,50,1310,1,1.0,0.4234416971578003,50
esci,Original,50,1458,15,0.6666666666666666,0.6157901422503029,50
esci,Original,50,1476,17,0.6470588235294118,0.5371441737127952,50
esci,Original,50,1530,17,0.6470588235294118,0.6536153566371479,50
esci,Original,50,1659,5,0.6,0.563672471135483,50
esci,Original,50,1816,4,0.5,0.2165272506883836,50
esci,Original,50,2286,13,0.5384615384615384,0.6497191402517986,50
esci,Original,50,2390,2,1.0,0.4244886564196135,50
esci,Original,50,2692,7,0.8571428571428571,0.8904716909596931,50
esci,Original,50,2855,7,0.8571428571428571,0.45499380226339003,50
esci,Original,50,3012,5,0.8,0.7143950760139213,50
esci,Original,50,3492,1,1.0,0.33547749337285077,50
esci,Original,50,3494,11,1.0,0.7471589728148226,50
esci,Original,50,3986,14,0.9285714285714286,0.8000380808220816,50
esci,Original,50,4299,1,1.0,0.9564298566387673,50
esci,Original,50,4321,5,0.0,0.0,50
esci,Original,50,4860,2,1.0,0.7515618133149938,50
esci,Original,50,4956,7,1.0,0.8900083568450943,50
esci,Original,50,5079,10,0.4,0.4913667441569512,50
esci,Original,50,5094,11,0.9090909090909091,0.8574317626883479,50
esci,Original,50,5419,5,1.0,0.7021791262532614,50
esci,Original,50,5787,2,0.0,0.0,50
esci,Original,50,5921,2,1.0,0.7322910139201898,50
esci,Original,50,6138,3,1.0,0.49544159036896585,50
esci,Original,50,6685,8,1.0,0.7841915457887512,50
esci,Original,50,7034,1,0.0,0.18913833857846243,50
esci,Original,50,7126,7,1.0,0.9763959044601911,50
esci,Original,50,7303,12,1.0,0.9233711941225413,50
esci,Original,50,7340,2,1.0,0.6516118037933959,50
esci,Original,50,7545,12,1.0,0.735889880442304,50
esci,Original,50,7581,10,1.0,0.7211478921088604,50
esci,Original,50,8063,12,0.9166666666666666,0.88995411685096,50
esci,Original,50,8519,8,0.625,0.4457356749218963,50
esci,Original,50,8605,6,0.8333333333333334,0.8696762340896296,50
esci,Original,50,8740,1,0.0,0.26861473771445415,50
esci,Original,50,9096,11,1.0,0.8677182466561869,50
esci,Original,50,9695,9,0.6666666666666666,0.6328426487563722,50
esci,Original,50,9776,9,0.8888888888888888,0.7170044799408865,50
esci,Original,50,9967,3,0.6666666666666666,0.29769321486741446,50
esci,Original,50,10312,20,0.35,0.6722020253520847,50
esci,Original,50,10370,10,1.0,0.7682269253321375,50
esci,Original,50,11509,5,0.0,0.052475738325751226,50
esci,Original,50,11621,1,1.0,0.5396880800129658,50
esci,Original,50,11875,5,1.0,0.8346123584921606,50
esci,Original,50,11925,28,0.5,1.0,50
esci,Original,50,12176,27,0.2222222222222222,0.7059054020403314,50
esci,Original,50,12432,12,0.5833333333333334,0.7934961824692005,50
esci,Original,50,12557,8,0.375,0.5457413237821278,50
esci,Original,50,12664,5,1.0,0.5271205242707598,50
esci,Original,50,12809,4,1.0,0.7315248061857103,50
esci,Original,50,13089,32,0.46875,0.7278365525555345,50
esci,Original,50,13169,11,0.7272727272727273,0.7118729459992799,50
esci,Original,50,13471,21,0.6190476190476191,0.8701249883466594,50
esci,Original,50,13639,15,1.0,0.77990823370192,50
esci,Original,50,13785,8,0.625,0.7520081556163193,50
esci,Original,50,13954,13,0.8461538461538461,0.9009587051658641,50
esci,Original,50,14346,10,0.5,0.6275071330616561,50
esci,Original,50,14880,4,0.75,0.6096199500078984,50
esci,Original,50,14882,11,0.7272727272727273,0.3061835571987824,50
esci,Original,50,15154,28,0.0,0.0,50
esci,Original,50,15164,7,1.0,0.8057486443894011,50
esci,Original,50,15311,10,0.9,0.7724430755333405,50
esci,Original,50,15647,21,0.6190476190476191,0.5096366183174322,50
esci,Original,50,15716,14,0.8571428571428571,0.9375119002569006,50
esci,Original,50,15777,12,0.8333333333333334,0.6836979923136342,50
esci,Original,50,15807,15,0.9333333333333333,0.88995411685096,50
esci,Original,50,16613,9,0.6666666666666666,0.7866520392096853,50
esci,Original,50,16684,13,1.0,0.6547301623734613,50
esci,Original,50,17384,11,1.0,0.5154118162682931,50
esci,Original,50,17607,17,0.6470588235294118,0.5579377864560461,50
esci,Original,50,17689,3,1.0,0.4746170998147215,50
esci,Original,50,17742,12,0.5,0.6685199829830014,50
esci,Original,50,18356,7,1.0,0.9183362520399361,50
esci,Original,50,18553,21,0.47619047619047616,0.44614340037510297,50
esci,Original,50,18679,8,0.875,0.9022192254212011,50
esci,Original,50,18682,8,1.0,0.9073071695693755,50
esci,Original,50,18932,10,1.0,0.7446587009526715,50
esci,Original,50,19053,14,1.0,0.8802531908778441,50
esci,Original,50,19134,2,1.0,0.8968910341795309,50
esci,Original,50,19268,21,0.38095238095238093,0.6452281904391156,50
esci,Original,50,19369,11,0.6363636363636364,0.7451487888604602,50
esci,Original,50,19372,15,0.9333333333333333,1.0,50
esci,Original,50,19380,2,0.5,0.6131471927654584,50
esci,Original,50,19619,2,1.0,0.9197207891481876,50
esci,Original,50,19694,7,1.0,0.7039890038878336,50
esci,Original,50,19953,3,1.0,0.6772591130899146,50
esci,Original,50,20037,32,0.46875,0.8177650911347445,50
esci,Original,50,20185,4,0.75,0.6423245204072128,50
esci,Original,50,20307,5,0.8,0.830419897363192,50
esci,Original,50,20315,10,1.0,0.8436999957868074,50
esci,Original,50,20385,2,1.0,1.0,50
esci,Original,50,20500,5,1.0,0.21239620748405597,50
esci,Original,50,20523,3,0.3333333333333333,0.23463936301137822,50
esci,Original,50,20788,5,1.0,0.9603411057130445,50
esci,Original,50,21481,17,0.6470588235294118,0.9363792118010483,50
esci,Original,50,21645,13,0.9230769230769231,0.795648227087262,50
esci,Original,50,22173,9,1.0,0.6856047648682206,50
esci,Original,50,22211,3,1.0,0.6097606177811876,50
esci,Original,50,22441,7,1.0,0.7474357915808134,50
esci,Original,50,22639,9,0.5555555555555556,0.6925516503787732,50
esci,Original,50,23148,4,1.0,0.7352204765961387,50
esci,Original,50,23260,15,0.06666666666666667,0.2339780106854357,50
