dataset,method,candidate_K,metric,mean,ci_low,ci_high
esci,Original,50,Recall@20,0.7686317081560414,0.7423900506485993,0.7937031686768246
esci,Original,50,returned_condensed_NDCG@10,0.6921821113483528,0.6708266395949605,0.7131394809705207
esci,Original,100,Recall@20,0.7700377047061305,0.7436311756546976,0.7946334601470725
esci,Original,100,returned_condensed_NDCG@10,0.6916496867247457,0.670132782827601,0.7128508681226849
esci,Original,200,Recall@20,0.7698222249064823,0.743812099853215,0.794259225771455
esci,Original,200,returned_condensed_NDCG@10,0.6931576652932309,0.6718847860165221,0.7142809439395171
esci,Original,500,Recall@20,0.7725440689413873,0.7467851554719726,0.7972326368371797
esci,Original,500,returned_condensed_NDCG@10,0.6940415667128093,0.6725659374682431,0.7150652905388356
esci,hybrid,50,Recall@20,0.7713668951425399,0.7456516120145344,0.7959587363125966
esci,hybrid,50,returned_condensed_NDCG@10,0.6938982121635805,0.672565422672,0.7151773509396678
esci,hybrid,100,Recall@20,0.7726710294351053,0.7468916566272962,0.7969436520144294
esci,hybrid,100,returned_condensed_NDCG@10,0.6949357985081756,0.6736598191673361,0.7159784368895918
esci,hybrid,200,Recall@20,0.7749744605947901,0.7492243874980784,0.7993387775766817
esci,hybrid,200,returned_condensed_NDCG@10,0.6944216974249137,0.672787344403335,0.7157128588671029
esci,hybrid,500,Recall@20,0.773582666016623,0.7479386131589248,0.7983663383394588
esci,hybrid,500,returned_condensed_NDCG@10,0.6937439539949757,0.6722850322565427,0.7148278684344115
esci,rule_appearance,50,Recall@20,0.7703249760092608,0.744197697436918,0.7953611257827989
esci,rule_appearance,50,returned_condensed_NDCG@10,0.6931063494241161,0.6719355207389781,0.7140019898474298
esci,rule_appearance,100,Recall@20,0.770269712177617,0.7440439729547942,0.7948744636734952
esci,rule_appearance,100,returned_condensed_NDCG@10,0.6926824243135025,0.6714366991761116,0.7137161732690446
esci,rule_appearance,200,Recall@20,0.7704217144839279,0.7443081918705308,0.7951749077370697
esci,rule_appearance,200,returned_condensed_NDCG@10,0.6931838539226353,0.6718027382148509,0.7143556512907195
esci,rule_appearance,500,Recall@20,0.7720670465204772,0.7463168103535424,0.7967883602985263
esci,rule_appearance,500,returned_condensed_NDCG@10,0.6938991924652685,0.672385472157411,0.7148609669856146
