dataset,factor,level,label,pairs,queries,macro_vi20,ci_low,ci_high
esci,rank_band,1-10,C,179,73,0.0,0.0,0.0
esci,rank_band,1-10,E,2098,455,0.002142857142857143,0.0,0.005549450549450549
esci,rank_band,1-10,I,307,154,0.0,0.0,0.0
esci,rank_band,1-10,S,1208,378,0.005731922398589065,0.0006613756613756613,0.012786596119929454
esci,rank_band,101-500,C,31,23,0.0,0.0,0.0
esci,rank_band,101-500,E,247,98,0.0,0.0,0.0
esci,rank_band,101-500,I,257,109,0.0,0.0,0.0
esci,rank_band,101-500,S,303,133,0.0,0.0,0.0
esci,rank_band,11-20,C,109,59,0.17137476459510356,0.08897128060263654,0.2641242937853107
esci,rank_band,11-20,E,919,315,0.12176744771982868,0.09384208868732678,0.15127787226001513
esci,rank_band,11-20,I,262,134,0.12942430703624733,0.08258573205401563,0.18049040511727077
esci,rank_band,11-20,S,850,313,0.11273137583041735,0.08709125716314214,0.1401474466250824
esci,rank_band,21-50,C,137,56,0.09906462585034014,0.042814625850340134,0.1646269132653061
esci,rank_band,21-50,E,774,213,0.12555783916595847,0.09231242692147829,0.1602629406134998
esci,rank_band,21-50,I,311,137,0.1285685320356853,0.08256285482562856,0.17830545417680452
esci,rank_band,21-50,S,748,246,0.15113882212160545,0.11560856373221869,0.18773477369513955
esci,rank_band,501+,C,15,11,0.0,0.0,0.0
esci,rank_band,501+,E,177,64,0.0,0.0,0.0
esci,rank_band,501+,I,361,93,0.0,0.0,0.0
esci,rank_band,501+,S,165,61,0.0,0.0,0.0
esci,rank_band,51-100,C,34,22,0.0,0.0,0.0
esci,rank_band,51-100,E,219,118,0.0,0.0,0.0
esci,rank_band,51-100,I,152,83,0.012048192771084338,0.0,0.03614457831325301
esci,rank_band,51-100,S,271,146,0.005136986301369863,0.0,0.0136986301369863
esci,fully_fits,False,C,117,56,0.026743197278911564,0.004421768707482994,0.057100340136054424
esci,fully_fits,False,E,847,236,0.034557438794726926,0.020624663707290825,0.05099223163841808
esci,fully_fits,False,I,257,115,0.0337888198757764,0.009440993788819876,0.06348136645962729
esci,fully_fits,False,S,669,238,0.03448687167174562,0.01869876476231518,0.05305751467253567
esci,fully_fits,True,C,388,124,0.04975752294300681,0.025278940929142537,0.07894859117137343
esci,fully_fits,True,E,3587,488,0.0364515317644731,0.027948869734343428,0.045709327659626806
esci,fully_fits,True,I,1393,268,0.04335120686577412,0.028623764942160873,0.06045825948355436
esci,fully_fits,True,S,2876,427,0.05379446120243151,0.042817170983193896,0.06558144222463104
esci,attribute_band,0,C,11,6,0.0,0.0,0.0
esci,attribute_band,0,E,176,45,0.0017094017094017094,0.0,0.005128205128205128
esci,attribute_band,0,I,103,40,0.025,0.0,0.075
esci,attribute_band,0,S,189,43,0.0021141649048625794,0.0,0.006342494714587738
esci,attribute_band,1-3,C,494,135,0.044496385448766405,0.023950500998120045,0.06881145706145704
esci,attribute_band,1-3,E,4258,484,0.039448571811536395,0.030307968069603026,0.049413754352672264
esci,attribute_band,1-3,I,1547,260,0.042359086198393174,0.028555898508625346,0.05820937601344766
esci,attribute_band,1-3,S,3356,426,0.05126675291575943,0.042176631651471855,0.06094291387785387
esci,value_overlap,False,C,135,66,0.02823852560694666,0.002480949849370902,0.06611731348573455
esci,value_overlap,False,E,1268,332,0.03642269015009979,0.02136068158470267,0.053124581659973205
esci,value_overlap,False,I,780,186,0.0401728194572497,0.018957710876903427,0.06648622753277326
esci,value_overlap,False,S,1218,304,0.04216437345549187,0.02805017100041771,0.0585886364412269
esci,value_overlap,True,C,370,118,0.04877589453860641,0.025423728813559324,0.07565308044121602
esci,value_overlap,True,E,3166,433,0.044283687373123215,0.0331370070338217,0.05705385386850486
esci,value_overlap,True,I,870,207,0.04735581979827504,0.029235061613578237,0.06830029786764653
esci,value_overlap,True,S,2327,379,0.0552683652755112,0.04318412115267464,0.06876518628868583
