dataset,method,repeat,query_id,score_ms,sort_ms,retrieval_ms,vector_bytes,lexical_sparse_bytes,vectors_per_product
esci,Original,1,165,1.1850000591948628,0.9386999299749732,2.123699989169836,30953472,0,1
esci,Original,1,433,1.1876999633386731,0.9425999596714973,2.1302999230101705,30953472,0,1
esci,Original,1,500,1.1880999663844705,0.8783000521361828,2.0664000185206532,30953472,0,1
esci,Original,1,541,1.1286999797448516,0.9131999686360359,2.0418999483808875,30953472,0,1
esci,Original,1,598,1.4282000483945012,0.9150999831035733,2.3433000314980745,30953472,0,1
esci,Original,1,600,1.3114000903442502,0.9154999861493707,2.226900076493621,30953472,0,1
esci,Original,1,602,1.2105000205338001,0.9125999640673399,2.12309998460114,30953472,0,1
esci,Original,1,622,1.2112000258639455,0.9376999223604798,2.1488999482244253,30953472,0,1
esci,Original,1,637,1.2138000456616282,0.8816999616101384,2.0955000072717667,30953472,0,1
esci,Original,1,861,1.2583000352606177,0.8909000316634774,2.149200066924095,30953472,0,1
esci,Original,1,933,1.3621000107377768,0.8885000133886933,2.25060002412647,30953472,0,1
esci,Original,1,978,1.1552999494597316,0.9167001117020845,2.072000061161816,30953472,0,1
esci,Original,1,1210,1.3071000576019287,0.9207000257447362,2.227800083346665,30953472,0,1
esci,Original,1,1293,1.3163000112399459,0.9111999534070492,2.227499964646995,30953472,0,1
esci,Original,1,1310,1.364799914881587,0.923900050111115,2.288699964992702,30953472,0,1
esci,Original,1,1458,1.2870000209659338,0.916199991479516,2.20320001244545,30953472,0,1
esci,Original,1,1476,1.23590009752661,0.9231999283656478,2.1591000258922577,30953472,0,1
esci,Original,1,1530,1.2673999881371856,0.9265000699087977,2.1939000580459833,30953472,0,1
esci,Original,1,1659,1.8237000331282616,0.9453999809920788,2.7691000141203403,30953472,0,1
esci,Original,1,1816,1.9654999487102032,0.9209000272676349,2.886399975977838,30953472,0,1
esci,Original,1,2286,1.2520999880507588,0.9321999968960881,2.184299984946847,30953472,0,1
esci,Original,1,2390,1.3994999462738633,0.9200000204145908,2.319499966688454,30953472,0,1
esci,Original,1,2692,1.220499980263412,0.9388999314978719,2.159399911761284,30953472,0,1
esci,Original,1,2855,1.492900075390935,1.0484999511390924,2.5414000265300274,30953472,0,1
esci,Original,1,3012,1.3720999704673886,0.9370000334456563,2.309100003913045,30953472,0,1
esci,Original,1,3492,1.4452000614255667,0.9445999749004841,2.3898000363260508,30953472,0,1
esci,Original,1,3494,1.3008000096306205,0.9139999747276306,2.214799984358251,30953472,0,1
esci,Original,1,3986,1.1696999426931143,0.9117000736296177,2.081400016322732,30953472,0,1
esci,Original,1,4299,1.2014000676572323,0.915899989195168,2.1173000568524003,30953472,0,1
esci,Original,1,4321,1.359499990940094,0.8991999784484506,2.2586999693885446,30953472,0,1
esci,Original,1,4860,1.2173999566584826,0.902900006622076,2.1202999632805586,30953472,0,1
esci,Original,1,4956,1.2399000115692616,0.916799996048212,2.1567000076174736,30953472,0,1
esci,Original,1,5079,1.3011000119149685,0.8904999122023582,2.1915999241173267,30953472,0,1
esci,Original,1,5094,1.2022999580949545,0.88900001719594,2.0912999752908945,30953472,0,1
esci,Original,1,5419,1.1511000338941813,0.8991999784484506,2.050300012342632,30953472,0,1
esci,Original,1,5787,1.684500020928681,0.9475999977439642,2.632100018672645,30953472,0,1
esci,Original,1,5921,1.1839000508189201,0.9068999206647277,2.090799971483648,30953472,0,1
esci,Original,1,6138,1.6199999954551458,0.9145999792963266,2.5345999747514725,30953472,0,1
esci,Original,1,6685,1.2094000121578574,0.8888000156730413,2.0982000278308988,30953472,0,1
esci,Original,1,7034,1.2402000138536096,0.9160999907180667,2.1563000045716763,30953472,0,1
esci,Original,1,7126,1.1721999617293477,0.9163999930024147,2.0885999547317624,30953472,0,1
esci,Original,1,7303,1.3697000686079264,0.9171999990940094,2.2869000677019358,30953472,0,1
esci,Original,1,7340,1.2091000098735094,0.9066000347957015,2.115700044669211,30953472,0,1
esci,Original,1,7545,1.282299985177815,0.8961999556049705,2.1784999407827854,30953472,0,1
esci,Original,1,7581,1.184399938210845,0.9157001040875912,2.100100042298436,30953472,0,1
