source,queries,legacy_cNDCG@10,official_cNDCG@10,delta,ci_low,ci_high
phase2\results\phase2_pair_ranks\esci_bge_base_native_C0.parquet,500,0.7124454703586711,0.7364416359237728,0.02399616556510174,0.019897036709936165,0.02827408885284756
phase2\results\phase2_pair_ranks\esci_bge_base_native_C1.parquet,500,0.7125867499832662,0.7362497823114893,0.02366303232822297,0.019530962644249215,0.027934633744374788
phase2\results\phase2_pair_ranks\esci_bge_base_native_C2s1.parquet,500,0.7150208222272365,0.7384720198224481,0.02345119759521169,0.019361373431322486,0.02766705627558421
phase2\results\phase2_pair_ranks\esci_bge_base_native_C2s2.parquet,500,0.7140666517824095,0.7377741475464124,0.02370749576400285,0.01964592305954098,0.02793062885248386
phase2\results\phase2_pair_ranks\esci_bge_base_native_C2s3.parquet,500,0.7157923003982684,0.7393327319182631,0.023540431519994718,0.019437694871310234,0.027802144633972486
phase2\results\phase2_pair_ranks\esci_bge_base_native_C2s4.parquet,500,0.7129085405608105,0.7363413192659811,0.023432778705170642,0.01928573283282896,0.02775016417368008
phase2\results\phase2_pair_ranks\esci_bge_base_native_C2s5.parquet,500,0.7133265232145933,0.7370115030264676,0.023684979811874413,0.019582803229308877,0.027964301752544652
phase2\results\phase2_pair_ranks\esci_bge_base_native_C3.parquet,500,0.7083148289082408,0.7324894194141993,0.024174590505958445,0.019981137501419978,0.028553780336146393
phase2\results\phase2_pair_ranks\esci_bge_base_native_C4.parquet,500,0.6985587395376561,0.7234000479789318,0.024841308441275665,0.02066213495683405,0.029221075035605903
phase2\results\phase2_pair_ranks\esci_bge_base_native_C5asc.parquet,500,0.6948029030637204,0.7195176645258087,0.024714761462088296,0.02038769729952368,0.029310865149487834
phase2\results\phase2_pair_ranks\esci_bge_base_native_C5desc.parquet,500,0.7077565427869206,0.7321181100249121,0.024361567237991367,0.020131667192756077,0.028801933316092203
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C0.parquet,500,0.7061174440746638,0.7305208114882888,0.02440336741362501,0.020336860554731856,0.028625644306222074
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C1.parquet,500,0.7072526314025592,0.7319427306873956,0.024690099284836377,0.02052164431795458,0.029067719253596774
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C2s1.parquet,500,0.7052229818600105,0.7298330174955313,0.0246100356355207,0.02040967789479645,0.02900546032057312
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C2s2.parquet,500,0.7083051740241593,0.7328433110020723,0.024538136977913266,0.02045409644960194,0.02876812748424727
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C2s3.parquet,500,0.7085605880744945,0.7325584794194292,0.023997891344934758,0.019928942709296238,0.028262420171317144
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C2s4.parquet,500,0.7092499261189954,0.733352037643652,0.024102111524656543,0.01998206338531803,0.0283721425598256
phase2\results\phase2_pair_ranks\esci_bge_base_native_M1C2s5.parquet,500,0.7057032069919417,0.7301402243991368,0.024437017407195085,0.020309155160889103,0.028817878697811522
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C0.parquet,500,0.7192272500402046,0.7422525349317586,0.023025284891553945,0.018873672946065227,0.027341684295293395
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C1.parquet,500,0.7192272500402046,0.7422525349317586,0.023025284891553945,0.018873672946065227,0.027341684295293395
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C2s1.parquet,500,0.7192272500402046,0.7422525349317586,0.023025284891553945,0.018873672946065227,0.027341684295293395
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C2s2.parquet,500,0.7192272500402046,0.7422525349317586,0.023025284891553945,0.018873672946065227,0.027341684295293395
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C2s3.parquet,500,0.7192272500402046,0.7422525349317586,0.023025284891553945,0.018873672946065227,0.027341684295293395
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C2s4.parquet,500,0.7192272500402046,0.7422525349317586,0.023025284891553945,0.018873672946065227,0.027341684295293395
phase2\results\phase2_pair_ranks\esci_bge_base_native_M2C2s5.parquet,500,0.7192272500402046,0.7422525349317586,0.023025284891553945,0.018873672946065227,0.027341684295293395
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C0.parquet,500,0.7167828384738955,0.7388579581284038,0.02207511965450846,0.01768634945757504,0.02666354198793331
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C1.parquet,500,0.7159301708963219,0.7375965969669748,0.021666426070652934,0.017274834968040546,0.026182228767184568
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C2s1.parquet,500,0.7196134469640211,0.7411705997763163,0.021557152812295286,0.017356974764076206,0.0259196810700235
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C2s2.parquet,500,0.719607259780224,0.7407945414829378,0.02118728170271386,0.016843737715577376,0.025733938099695805
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C2s3.parquet,500,0.718514746011666,0.7398379554595228,0.02132320944785684,0.017056810882100582,0.025721488818983715
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C2s4.parquet,500,0.7144218012054586,0.7363044108583997,0.021882609652941185,0.017529694772861277,0.02634905568566758
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C2s5.parquet,500,0.7181443583747378,0.7400263527689865,0.021881994394248837,0.017634204097452783,0.026262458789385934
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C3.parquet,500,0.7161025293572364,0.7378908059586188,0.021788276601382443,0.017361518431870667,0.026367034982501633
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C4.parquet,500,0.7108544434161297,0.7341243652986138,0.023269921882484227,0.018878724932827103,0.02782821241531918
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C5asc.parquet,500,0.7113943527761417,0.7364124340836636,0.025018081307522016,0.020558990075179192,0.02962780463551779
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_C5desc.parquet,500,0.7075078668257935,0.7323824846308795,0.024874617805086038,0.020432434481640928,0.02941231998826232
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M1C0.parquet,500,0.7039506436400749,0.7271001783234475,0.023149534683372677,0.018790461630206107,0.027642357297553988
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M1C1.parquet,500,0.705296068535182,0.7284923245931202,0.023196256057938132,0.018823300655395905,0.027761621155109713
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M1C2s1.parquet,500,0.7060573421551886,0.7290487483114484,0.022991406156259987,0.01861662170961051,0.027518378513055563
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M1C2s2.parquet,500,0.7030277301101553,0.7263327198501937,0.02330498974003832,0.018906234495410908,0.02785492574559773
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M1C2s3.parquet,500,0.7031906145894895,0.7263520832008028,0.023161468611313404,0.018775678245402064,0.027696700399206943
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M1C2s4.parquet,500,0.7043081168414282,0.7274735339923132,0.023165417150884778,0.018677920301613336,0.027771477550613217
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M1C2s5.parquet,500,0.7057757951284525,0.7285982647970365,0.022822469668583954,0.018461667320996644,0.027354422669355862
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M2C0.parquet,500,0.7180114176432213,0.7399238194253706,0.021912401782149107,0.017419017820534816,0.026515314060541504
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M2C1.parquet,500,0.7180114176432213,0.7399238194253706,0.021912401782149107,0.017419017820534816,0.026515314060541504
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M2C2s1.parquet,500,0.7180114176432213,0.7399238194253706,0.021912401782149107,0.017419017820534816,0.026515314060541504
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M2C2s2.parquet,500,0.7180114176432213,0.7399238194253706,0.021912401782149107,0.017419017820534816,0.026515314060541504
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M2C2s3.parquet,500,0.7180114176432213,0.7399238194253706,0.021912401782149107,0.017419017820534816,0.026515314060541504
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M2C2s4.parquet,500,0.7180114176432213,0.7399238194253706,0.021912401782149107,0.017419017820534816,0.026515314060541504
phase2\results\phase2_pair_ranks\esci_gte_modernbert_native_M2C2s5.parquet,500,0.7180114176432213,0.7399238194253706,0.021912401782149107,0.017419017820534816,0.026515314060541504
phase2\results\phase2_pair_ranks\esci_minilm_native_C0.parquet,500,0.6853370764119393,0.711273454463738,0.025936378051798683,0.02154448256958003,0.03044311002169264
phase2\results\phase2_pair_ranks\esci_minilm_native_C1.parquet,500,0.683137857020519,0.7093200306395528,0.02618217361903388,0.02170680944355566,0.030743102680162754
phase2\results\phase2_pair_ranks\esci_minilm_native_C2s1.parquet,500,0.6842784111816539,0.7104414433768241,0.02616303219517024,0.021754176412071904,0.030672931557878248
phase2\results\phase2_pair_ranks\esci_minilm_native_C2s2.parquet,500,0.685447519559905,0.7111240269809138,0.025676507421008816,0.021224186149820072,0.030238016888695138
phase2\results\phase2_pair_ranks\esci_minilm_native_C2s3.parquet,500,0.6817920648854681,0.7081207303711637,0.026328665485695603,0.021875640406768457,0.030873106840546335
phase2\results\phase2_pair_ranks\esci_minilm_native_C2s4.parquet,500,0.6847210355256481,0.7108128942590015,0.02609185873335356,0.02172068693168556,0.030557382398000973
phase2\results\phase2_pair_ranks\esci_minilm_native_C2s5.parquet,500,0.6872631735737118,0.7130287733699823,0.0257655997962704,0.021374956747251986,0.030247494944197997
phase2\results\phase2_pair_ranks\esci_minilm_native_C3.parquet,500,0.6823685145703041,0.7084271468192324,0.026058632248928248,0.021550636193744817,0.03069813250184086
phase2\results\phase2_pair_ranks\esci_minilm_native_C4.parquet,500,0.6747552432241305,0.7016539466270518,0.02689870340292137,0.022313262614732102,0.031636641673257845
phase2\results\phase2_pair_ranks\esci_minilm_native_C5asc.parquet,500,0.6440243538619013,0.6749964897515135,0.030972135889612045,0.02599434258427737,0.03617088628276185
phase2\results\phase2_pair_ranks\esci_minilm_native_C5desc.parquet,500,0.6589776110135195,0.6878114037311588,0.028833792717639303,0.023976780459440523,0.03382707233637118
phase2\results\phase2_pair_ranks\esci_minilm_native_M1C0.parquet,500,0.6797283236346928,0.7061152045894955,0.026386880954802776,0.022236589163006717,0.030687685511137774
phase2\results\phase2_pair_ranks\esci_minilm_native_M1C1.parquet,500,0.679559570676944,0.7059798492032757,0.02642027852633177,0.022258541942663378,0.030770748957432707
phase2\results\phase2_pair_ranks\esci_minilm_native_M1C2s1.parquet,500,0.6810297460963551,0.707239826799878,0.026210080703522806,0.022041036765581303,0.030551179151216013
phase2\results\phase2_pair_ranks\esci_minilm_native_M1C2s2.parquet,500,0.6782872040170882,0.7050226761001698,0.026735472083081427,0.022504467554807114,0.031109251681919484
phase2\results\phase2_pair_ranks\esci_minilm_native_M1C2s3.parquet,500,0.6813371681861953,0.707717658520755,0.026380490334559702,0.02216868718781969,0.03081677530783401
phase2\results\phase2_pair_ranks\esci_minilm_native_M1C2s4.parquet,500,0.6806328633936908,0.7070597170662243,0.02642685367253341,0.022275740070863085,0.030732989579531945
phase2\results\phase2_pair_ranks\esci_minilm_native_M1C2s5.parquet,500,0.6778360347897202,0.7044833894558554,0.026647354666135204,0.022395871440610473,0.03115752786948633
phase2\results\phase2_pair_ranks\esci_minilm_native_M2C0.parquet,500,0.6851729505926251,0.7115648171041974,0.02639186651157224,0.021859195355395523,0.031140819635224075
phase2\results\phase2_pair_ranks\esci_minilm_native_M2C1.parquet,500,0.6851729505926251,0.7115648171041974,0.02639186651157224,0.021859195355395523,0.031140819635224075
phase2\results\phase2_pair_ranks\esci_minilm_native_M2C2s1.parquet,500,0.6851729505926251,0.7115648171041974,0.02639186651157224,0.021859195355395523,0.031140819635224075
phase2\results\phase2_pair_ranks\esci_minilm_native_M2C2s2.parquet,500,0.6851729505926251,0.7115648171041974,0.02639186651157224,0.021859195355395523,0.031140819635224075
phase2\results\phase2_pair_ranks\esci_minilm_native_M2C2s3.parquet,500,0.6851729505926251,0.7115648171041974,0.02639186651157224,0.021859195355395523,0.031140819635224075
phase2\results\phase2_pair_ranks\esci_minilm_native_M2C2s4.parquet,500,0.6851729505926251,0.7115648171041974,0.02639186651157224,0.021859195355395523,0.031140819635224075
phase2\results\phase2_pair_ranks\esci_minilm_native_M2C2s5.parquet,500,0.6851729505926251,0.7115648171041974,0.02639186651157224,0.021859195355395523,0.031140819635224075
phase3\results\phase3_invariant_method\esci_late_max_pairs.parquet,500,0.7041295391791197,0.7296937351010493,0.025564195921929486,0.021571344498342943,0.029896246222153585
phase3\results\phase3_invariant_method\esci_late_mean_pairs.parquet,500,0.7025637606073226,0.7290050026488499,0.026441242041527303,0.022404573390515686,0.030704924604264366
phase3\results\phase3_invariant_method\esci_late_top3_pairs.parquet,500,0.7025637606073226,0.7290050026488499,0.026441242041527303,0.022404573390515686,0.030704924604264366
phase3\results\phase3_invariant_method\esci_set_mean_pairs.parquet,500,0.7058780646586644,0.7326127851762679,0.026734720517603477,0.02257773047328176,0.031175933957146077
