dataset,encoder,method,metric,queries,mean,ci_low,ci_high
esci,minilm,Original,cNDCG@10,500,0.711273454463738,0.6934580819253489,0.7290898725736668
esci,minilm,Original,Recall@20,499,0.6795206657015723,0.6506129759797926,0.7079497664804959
esci,minilm,Original,Recall@50,499,0.8017283689663877,0.7743476094257796,0.8275978574746524
esci,minilm,Original,Recall@100,499,0.8613586583093018,0.8373974379593285,0.8841362380668248
esci,minilm,Original,Recall@200,499,0.9062230473514425,0.885659072404279,0.9254636844848038
esci,minilm,Original,Recall@500,499,0.9416180114814225,0.9252627111422663,0.9566207604786078
esci,minilm,Original,Recall@1000,499,0.9634496956008399,0.9506760997655616,0.9748454314197973
esci,minilm,hybrid,cNDCG@10,500,0.7208472540342432,0.7030315867602982,0.7382783803555995
esci,minilm,hybrid,Recall@20,499,0.7144001210983214,0.6861936297029144,0.7416831648368831
esci,minilm,hybrid,Recall@50,499,0.8593547983886566,0.8360445004280996,0.8817473194677541
esci,minilm,hybrid,Recall@100,499,0.8956765635306928,0.8742677111350807,0.9152848024791748
esci,minilm,hybrid,Recall@200,499,0.9217049049424327,0.9033748080891381,0.9387191524996742
esci,minilm,hybrid,Recall@500,499,0.9525423097481689,0.9375140609970138,0.966449900226928
esci,minilm,hybrid,Recall@1000,499,0.9626146793824254,0.9487276649045912,0.9751381995431938
esci,minilm,canonical,cNDCG@10,500,0.7115143650950067,0.6939092056986897,0.7287293765643235
esci,minilm,canonical,Recall@20,499,0.6762693306638615,0.6469264012306256,0.7043456563161866
esci,minilm,canonical,Recall@50,499,0.806826574130337,0.7800982096189045,0.8320227909306904
esci,minilm,canonical,Recall@100,499,0.8690016161188551,0.8458077209117894,0.8908008494759632
esci,minilm,canonical,Recall@200,499,0.9072301193030351,0.8872841926173145,0.926170779001805
esci,minilm,canonical,Recall@500,499,0.9384222755980288,0.921256887161233,0.9541065738634955
esci,minilm,canonical,Recall@1000,499,0.9607225546722964,0.9467028164523484,0.9731809230926874
esci,minilm,canonical_raw,cNDCG@10,500,0.7115016910589569,0.6938109190798558,0.7290107714737254
esci,minilm,canonical_raw,Recall@20,499,0.6749654726915801,0.6462333890393652,0.703237424460085
esci,minilm,canonical_raw,Recall@50,499,0.8076604307844861,0.7811763828352772,0.8331285000824364
esci,minilm,canonical_raw,Recall@100,499,0.8641170055065267,0.8403766892379736,0.8864212694468456
esci,minilm,canonical_raw,Recall@200,499,0.9079436885635667,0.887830875914759,0.92670195358332
esci,minilm,canonical_raw,Recall@500,499,0.9427899260175655,0.9264739785639479,0.9578322445501211
esci,minilm,canonical_raw,Recall@1000,499,0.9641176982728508,0.9513404742077879,0.9754431403789988
esci,minilm,set_mean,cNDCG@10,500,0.7073210612300869,0.689764475436035,0.7247498397088299
esci,minilm,set_mean,Recall@20,499,0.66426029743919,0.635938300304976,0.6925054385258647
esci,minilm,set_mean,Recall@50,499,0.7895037947644435,0.7622705915119865,0.8158271170692453
esci,minilm,set_mean,Recall@100,499,0.8450156597563249,0.8192056025029881,0.8697424174570914
esci,minilm,set_mean,Recall@200,499,0.8875179036881008,0.8651928949901659,0.908651059183006
esci,minilm,set_mean,Recall@500,499,0.9325730435014794,0.9147828466826,0.9488744406032271
esci,minilm,set_mean,Recall@1000,499,0.9518068854260976,0.9366968274396617,0.9655019250762217
esci,minilm,rule_appearance,cNDCG@10,500,0.7112269251278881,0.6933932895114734,0.7287407745372503
esci,minilm,rule_appearance,Recall@20,499,0.6744516244823412,0.6456675726704624,0.7029477605421778
esci,minilm,rule_appearance,Recall@50,499,0.80741084736857,0.7809453204037914,0.8328789853389583
esci,minilm,rule_appearance,Recall@100,499,0.8637201078150398,0.8399824975325985,0.886011165222727
esci,minilm,rule_appearance,Recall@200,499,0.9076559335663928,0.8874427369003585,0.9264463218346687
esci,minilm,rule_appearance,Recall@500,499,0.9429440804803372,0.9266615819281182,0.9580448828293202
esci,minilm,rule_appearance,Recall@1000,499,0.9641176982728508,0.9513404742077879,0.9754431403789988
esci,minilm,BM25,cNDCG@10,500,0.7058554981682773,0.6862516062588293,0.7252517376981854
esci,minilm,BM25,Recall@20,499,0.6768505832258405,0.6469635885865224,0.7067414225428044
esci,minilm,BM25,Recall@50,499,0.7891880086008402,0.7621915634192339,0.8155486389867858
esci,minilm,BM25,Recall@100,499,0.8283191483962087,0.8022854609388199,0.8531549894685999
esci,minilm,BM25,Recall@200,499,0.8598641973906087,0.8357210205089421,0.8831327030546402
esci,minilm,BM25,Recall@500,499,0.8809536795432562,0.858410022430711,0.9026715829180082
esci,minilm,BM25,Recall@1000,499,0.8981484867010479,0.8770011583399296,0.9182703035867269
