dataset,encoder,method,query_id,K,n_highest,rescued,newly_missed,net,rescued_fraction,missed_fraction,net_fraction
esci,minilm,Original,165,20,6,0,0,0,0.0,0.0,0.0
esci,minilm,Original,433,20,7,0,0,0,0.0,0.0,0.0
esci,minilm,Original,500,20,22,0,0,0,0.0,0.0,0.0
esci,minilm,Original,541,20,7,0,0,0,0.0,0.0,0.0
esci,minilm,Original,598,20,14,0,0,0,0.0,0.0,0.0
esci,minilm,Original,600,20,26,0,0,0,0.0,0.0,0.0
esci,minilm,Original,602,20,3,0,0,0,0.0,0.0,0.0
esci,minilm,Original,622,20,26,0,0,0,0.0,0.0,0.0
esci,minilm,Original,637,20,13,0,0,0,0.0,0.0,0.0
esci,minilm,Original,861,20,24,0,0,0,0.0,0.0,0.0
esci,minilm,Original,933,20,4,0,0,0,0.0,0.0,0.0
esci,minilm,Original,978,20,12,0,0,0,0.0,0.0,0.0
esci,minilm,Original,1210,20,2,0,0,0,0.0,0.0,0.0
esci,minilm,Original,1293,20,10,0,0,0,0.0,0.0,0.0
esci,minilm,Original,1310,20,1,0,0,0,0.0,0.0,0.0
esci,minilm,Original,1458,20,15,0,0,0,0.0,0.0,0.0
esci,minilm,Original,1476,20,17,0,0,0,0.0,0.0,0.0
esci,minilm,Original,1530,20,17,0,0,0,0.0,0.0,0.0
esci,minilm,Original,1659,20,5,0,0,0,0.0,0.0,0.0
esci,minilm,Original,1816,20,4,0,0,0,0.0,0.0,0.0
esci,minilm,Original,2286,20,13,0,0,0,0.0,0.0,0.0
esci,minilm,Original,2390,20,2,0,0,0,0.0,0.0,0.0
esci,minilm,Original,2692,20,7,0,0,0,0.0,0.0,0.0
esci,minilm,Original,2855,20,7,0,0,0,0.0,0.0,0.0
esci,minilm,Original,3012,20,5,0,0,0,0.0,0.0,0.0
esci,minilm,Original,3492,20,1,0,0,0,0.0,0.0,0.0
esci,minilm,Original,3494,20,11,0,0,0,0.0,0.0,0.0
esci,minilm,Original,3986,20,14,0,0,0,0.0,0.0,0.0
esci,minilm,Original,4299,20,1,0,0,0,0.0,0.0,0.0
esci,minilm,Original,4321,20,5,0,0,0,0.0,0.0,0.0
esci,minilm,Original,4860,20,2,0,0,0,0.0,0.0,0.0
esci,minilm,Original,4956,20,7,0,0,0,0.0,0.0,0.0
esci,minilm,Original,5079,20,10,0,0,0,0.0,0.0,0.0
esci,minilm,Original,5094,20,11,0,0,0,0.0,0.0,0.0
esci,minilm,Original,5419,20,5,0,0,0,0.0,0.0,0.0
esci,minilm,Original,5787,20,2,0,0,0,0.0,0.0,0.0
esci,minilm,Original,5921,20,2,0,0,0,0.0,0.0,0.0
esci,minilm,Original,6138,20,3,0,0,0,0.0,0.0,0.0
esci,minilm,Original,6685,20,8,0,0,0,0.0,0.0,0.0
esci,minilm,Original,7034,20,1,0,0,0,0.0,0.0,0.0
esci,minilm,Original,7126,20,7,0,0,0,0.0,0.0,0.0
esci,minilm,Original,7303,20,12,0,0,0,0.0,0.0,0.0
esci,minilm,Original,7340,20,2,0,0,0,0.0,0.0,0.0
esci,minilm,Original,7545,20,12,0,0,0,0.0,0.0,0.0
esci,minilm,Original,7581,20,10,0,0,0,0.0,0.0,0.0
esci,minilm,Original,8063,20,12,0,0,0,0.0,0.0,0.0
esci,minilm,Original,8519,20,8,0,0,0,0.0,0.0,0.0
esci,minilm,Original,8605,20,6,0,0,0,0.0,0.0,0.0
