query_id,n_highest,n_judged,Recall@20,Recall@50,Recall@100,Recall@200,Recall@500,Recall@1000,cNDCG@10
731,2,40,0.5,0.5,0.5,1.0,1.0,1.0,0.36692859532804656
2292,6,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7565975940002003
5271,9,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7081110322957225
5318,10,16,0.9,0.9,1.0,1.0,1.0,1.0,0.9363792118010481
5643,8,39,0.75,1.0,1.0,1.0,1.0,1.0,0.4420874804306608
5680,6,14,0.5,0.8333333333333334,1.0,1.0,1.0,1.0,0.9337212061534297
5900,2,17,1.0,1.0,1.0,1.0,1.0,1.0,0.8441743812400883
6436,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6794901952133582
7065,6,16,0.16666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.457098218651094
8816,8,16,0.5,0.625,0.875,0.875,1.0,1.0,0.5855446306412915
8889,5,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9138225747809888
9513,16,40,0.4375,0.9375,1.0,1.0,1.0,1.0,0.6958758593071888
9989,7,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8515218207074279
10193,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8441320299865964
10478,14,16,0.7857142857142857,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,0.8750238005138008
11903,9,16,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.8888888888888888,1.0,1.0,0.8425547697753164
14611,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.5528487322624
14692,10,16,0.7,0.9,1.0,1.0,1.0,1.0,0.8427235358873496
16254,3,16,1.0,1.0,1.0,1.0,1.0,1.0,0.5915972254867552
17335,7,16,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,0.5881955207294741
17435,2,16,0.5,0.5,0.5,1.0,1.0,1.0,0.6400260658827716
18503,5,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8205072424793618
19879,4,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9047172294870751
21580,2,10,1.0,1.0,1.0,1.0,1.0,1.0,0.7129151150988925
22753,5,15,0.6,0.8,0.8,0.8,1.0,1.0,0.5697859581106723
23734,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6058259768705808
24597,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.5573722735664873
24728,12,16,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.7799082337019199
25674,5,16,0.0,0.4,0.6,0.8,1.0,1.0,0.32124922139509976
27860,6,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8440055618854798
28500,10,16,0.8,1.0,1.0,1.0,1.0,1.0,0.6190023699542971
28536,7,16,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.7285433324744044
31523,10,16,0.0,0.0,0.3,0.5,0.5,0.7,0.5648901044069581
31812,10,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9363792118010481
34730,9,15,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.5668288626478932
37666,8,16,1.0,1.0,1.0,1.0,1.0,1.0,0.679554465374812
37829,11,16,1.0,1.0,1.0,1.0,1.0,1.0,0.869812756810242
38146,4,16,1.0,1.0,1.0,1.0,1.0,1.0,0.38348903082406255
38802,15,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9339724701105759
39030,26,40,0.6538461538461539,0.9230769230769231,1.0,1.0,1.0,1.0,0.9375119002569003
40671,24,28,0.75,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
41387,34,40,0.5588235294117647,0.9117647058823529,0.9705882352941176,1.0,1.0,1.0,0.9999999999999998
43118,5,16,1.0,1.0,1.0,1.0,1.0,1.0,0.1868240772561809
45675,8,16,0.5,0.875,0.875,1.0,1.0,1.0,0.8581578576524913
45974,11,16,0.5454545454545454,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0,0.73135896825092
46290,15,16,0.8,0.8666666666666667,0.9333333333333333,1.0,1.0,1.0,0.7799082337019199
47187,14,40,0.5714285714285714,0.8571428571428571,1.0,1.0,1.0,1.0,0.40435180971730533
48846,14,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9273697171216335
50672,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.19153415804120438
52362,12,16,0.08333333333333333,0.08333333333333333,0.25,0.5,0.75,1.0,0.9337457765456108
52587,24,32,0.625,0.9166666666666666,1.0,1.0,1.0,1.0,0.7989053923662293
53447,9,16,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,0.7798817880320112
54076,8,16,0.875,1.0,1.0,1.0,1.0,1.0,0.6871143137598369
55166,6,16,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.7934420638348536
55400,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9386966886945033
56827,14,40,0.5,0.5,0.5,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.8170849596225692
58785,10,40,0.6,0.9,1.0,1.0,1.0,1.0,0.5808762355732489
60599,4,9,1.0,1.0,1.0,1.0,1.0,1.0,0.999132222506851
64865,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.525627568318547
65121,1,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65835,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7371149630183786
67603,9,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9162750860008064
69043,11,16,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.7272727272727273,0.8413299040569137
69766,12,16,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8019174103317278
70212,9,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9556796908433286
70614,14,16,0.42857142857142855,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,1.0,0.9061595192741445
71397,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6854999917575602
74048,29,40,0.5172413793103449,0.9655172413793104,1.0,1.0,1.0,1.0,0.869812756810242
75849,15,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
75971,4,16,0.75,0.75,0.75,1.0,1.0,1.0,0.5148381117249624
76789,33,41,0.42424242424242425,0.9696969696969697,1.0,1.0,1.0,1.0,0.7618417995453054
76846,6,15,1.0,1.0,1.0,1.0,1.0,1.0,0.6987984654168751
79396,3,16,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.9240247746168359
80774,3,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6873465945478477
