query_id,n_highest,n_judged,Recall@20,Recall@50,Recall@100,Recall@200,Recall@500,Recall@1000,cNDCG@10
731,2,40,0.0,0.0,0.5,0.5,1.0,1.0,0.10910272911834377
2292,6,16,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.6896306319152609
5271,9,16,1.0,1.0,1.0,1.0,1.0,1.0,0.642840076348766
5318,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8643145546088336
5643,8,39,0.625,1.0,1.0,1.0,1.0,1.0,0.44102819082351014
5680,6,14,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.90314116103954
5900,2,17,1.0,1.0,1.0,1.0,1.0,1.0,0.8180204003865281
6436,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6794901952133582
7065,6,16,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,0.5471193151248139
8816,8,16,0.125,0.375,0.5,0.875,1.0,1.0,0.42019999869918745
8889,5,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9204463433786136
9513,16,40,0.625,0.9375,0.9375,1.0,1.0,1.0,0.7071643693217642
9989,7,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8678842270470728
10193,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7142570183332556
10478,14,16,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.8571428571428571,1.0,1.0,0.9999999999999998
11903,9,16,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.905805209426342
14611,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.3840792436149349
14692,10,16,0.7,1.0,1.0,1.0,1.0,1.0,0.7986494563833458
16254,3,16,1.0,1.0,1.0,1.0,1.0,1.0,0.5280024063692936
17335,7,16,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0,0.7401798185553116
17435,2,16,0.0,0.0,0.0,1.0,1.0,1.0,0.6400260658827716
18503,5,16,1.0,1.0,1.0,1.0,1.0,1.0,0.744010301802379
19879,4,16,0.75,1.0,1.0,1.0,1.0,1.0,0.9558295932317544
21580,2,10,1.0,1.0,1.0,1.0,1.0,1.0,0.8857194440863225
22753,5,15,0.6,0.8,0.8,0.8,0.8,0.8,0.677059047986412
