product_id,attribute_count,duplicate_atoms,max_tokens_seven,fully_fits
0060530944,2,0,14,True
0061690287,1,0,15,True
0061962791,2,0,14,True
0061992275,2,0,13,True
0062377027,1,0,12,True
0062377949,1,0,21,True
0062409212,1,0,10,True
006241416X,1,0,9,True
0062422502,1,0,19,True
0062447629,1,0,19,True
0062675249,1,0,23,True
0062691198,1,0,8,True
0064402509,2,0,11,True
0132350882,2,1,16,True
013267811X,2,0,24,True
0142401129,3,0,15,True
014242417X,3,0,19,True
0143110438,2,0,13,True
0147510422,3,1,23,True
0147517834,2,0,17,True
0156028727,2,0,54,True
019537410X,1,0,20,True
0214205525,0,0,18,True
0300198914,1,0,18,True
0306809982,2,0,64,True
0306818892,2,1,15,True
0307236382,2,0,20,True
0307455920,3,0,40,True
0307465381,2,0,21,True
030746542X,2,0,14,True
0307720667,3,0,24,True
0310293995,1,0,26,True
0310448301,1,0,32,True
0312676816,1,0,34,True
031615489X,1,0,10,True
0316475130,1,0,15,True
0316519006,1,0,22,True
0316522880,1,0,34,True
031670704X,1,0,11,True
0316926159,1,0,71,True
0323052673,1,0,37,True
0323476333,1,0,16,True
0345445600,3,0,30,True
0345804325,3,0,13,True
035812185X,2,0,54,True
0358206359,1,0,15,True
0358353920,1,0,23,True
0375827781,2,0,16,True
0375850864,3,0,25,True
0385345623,3,0,257,True
0385543166,2,0,27,True
0394890329,1,0,13,True
0399590501,3,0,31,True
0399592520,2,0,18,True
0399592555,1,0,17,True
0425284700,2,0,14,True
043912042X,2,0,13,True
0440239389,2,0,9,True
0440412676,3,0,48,True
0440414806,3,0,97,True
0448143437,1,0,10,True
0451481089,1,0,22,True
0465060889,2,0,21,True
0470080590,1,0,201,True
0471497045,1,0,25,True
0520295625,1,0,17,True
0525434313,2,0,9,True
0525509712,2,0,16,True
0525536558,2,0,21,True
0525559639,2,0,12,True
0525564322,2,0,30,True
0531213072,1,0,25,True
0531213102,1,0,26,True
0531220559,1,0,26,True
0544569822,1,0,41,True
054501218X,2,0,175,True
0545852501,1,0,9,True
0553459600,3,0,29,True
0578446944,1,0,16,True
0578448831,1,0,18,True
0578489554,1,0,6,True
0578540436,1,0,25,True
0590225170,3,0,12,True
0593081617,2,0,25,True
0593187989,2,0,20,True
0595142109,3,0,34,True
0618980652,2,0,22,True
0674979826,1,0,25,True
0679734775,3,0,13,True
0689710682,2,0,19,True
0710066724,1,0,68,True
0718022122,1,0,16,True
0718022319,1,0,25,True
0718084225,2,0,9,True
0735219095,3,0,31,True
0735220980,2,0,22,True
0735224315,2,0,12,True
0736960562,1,0,15,True
0736960694,2,1,24,True
0745319580,2,0,19,True
0760327785,0,0,12,True
0760733996,0,0,4,True
0761129588,0,0,11,True
0761152121,2,0,62,True
0761152148,0,0,310,True
0761152776,3,0,33,True
0761166807,1,0,33,True
0761181504,3,1,18,True
0761187480,2,0,125,True
0761189327,2,0,43,True
076245234X,1,0,11,True
0762462876,1,0,20,True
0762760710,2,0,31,True
076367320X,2,0,13,True
0785838805,1,0,21,True
0800795423,2,0,32,True
0803217471,1,0,29,True
0804140863,3,1,28,True
0806154063,1,0,24,True
0807019291,2,0,22,True
0809016060,2,0,17,True
0809236338,1,0,40,True
0812828410,2,0,29,True
084786734X,2,0,21,True
0848734084,2,0,24,True
0848749502,2,0,30,True
0873415841,2,0,23,True
0873495640,0,0,14,True
0963571249,0,0,7,True
0971919321,1,0,20,True
0976963027,2,0,36,True
0985902108,0,0,14,True
0987186019,2,0,32,True
0995382271,1,0,20,True
0997487151,1,0,15,True
1078247366,0,0,22,True
109406906X,1,0,20,True
1095966022,0,0,20,True
1097910067,0,0,35,True
1101883081,3,1,26,True
1101904216,2,0,20,True
1101971061,2,0,6,True
1101994843,2,0,8,True
1101994878,2,0,11,True
1118066758,2,0,20,True
1118067843,1,0,16,True
111806786X,1,0,17,True
1119063078,1,0,24,True
1119278074,1,0,14,True
1250062187,2,0,14,True
1250080401,2,0,14,True
1250154545,1,0,13,True
1250215994,1,0,20,True
1250269555,1,0,24,True
1250301696,2,0,28,True
1250317460,1,0,11,True
125062262X,1,0,14,True
1250787319,1,0,11,True
1285194799,1,0,15,True
1285194802,1,0,21,True
1285194810,1,0,21,True
1302907395,1,0,13,True
1305251423,1,0,33,True
1305251431,1,0,26,True
1328470253,1,0,20,True
1328911128,1,0,15,True
1338538195,1,0,19,True
1400031109,3,0,31,True
1400075327,3,0,20,True
1402750641,1,0,13,True
1402768192,2,0,14,True
1402768206,2,1,6,True
1402768214,1,0,7,True
1402768222,0,0,6,True
1410470229,1,0,22,True
1414394802,1,0,15,True
1415832048,2,0,25,True
1416980083,2,0,22,True
1416995560,2,0,21,True
1423145844,2,1,30,True
142621555X,2,0,13,True
1430040270,1,0,12,True
143006286X,1,0,17,True
1430062878,1,0,17,True
1432871846,1,0,25,True
1433565005,1,0,21,True
1441326022,1,0,22,True
1442426624,2,0,41,True
1442428783,2,1,26,True
1442442115,2,0,19,True
1442487690,2,0,27,True
1442498595,2,0,34,True
1444786407,1,0,31,True
1449428657,1,0,19,True
1451645856,2,1,10,True
1451661789,2,0,18,True
1452259003,2,0,18,True
1455563927,2,0,109,True
1462538800,1,0,25,True
1471144585,2,0,29,True
1471168646,1,0,108,True
1471172090,1,0,366,True
1471182347,0,0,14,True
1476743800,1,0,18,True
1476749302,1,0,11,True
1476753830,2,0,21,True
1481457047,2,0,27,True
1481479202,2,1,25,True
1483308014,2,0,27,True
1486709427,1,0,13,True
1492658812,1,0,28,True
149266247X,1,0,10,True
1492663999,1,0,12,True
1492669733,1,0,10,True
1492952745,1,0,19,True
1493042106,1,0,12,True
1495007855,2,0,65,True
1496441680,1,0,14,True
1501143905,2,0,32,True
1501154656,2,0,25,True
1501156527,2,0,18,True
1501165380,1,0,9,True
1501180215,1,0,12,True
1503904911,1,0,11,True
1503943372,2,0,233,True
150670834X,2,0,21,True
1506708358,2,0,18,True
1515159914,1,0,15,True
1524700517,2,0,16,True
1524715123,2,0,18,True
1524745626,2,0,10,True
1524762156,2,0,47,True
1534405607,1,0,22,True
153442458X,1,0,26,True
1534424598,1,0,75,True
1534426388,1,0,21,True
1534427201,1,0,22,True
1534438254,1,0,23,True
1535924195,1,0,14,True
1538552922,1,0,11,True
1538714663,1,0,24,True
1538728729,1,0,15,True
1538729423,1,0,24,True
1538764172,1,0,6,True
1541672542,1,0,16,True
1561381136,3,0,21,True
1563524325,2,0,27,True
1565129768,2,0,15,True
1579656986,2,0,13,True
1580054846,2,0,37,True
1580072054,1,0,32,True
1583331077,2,0,13,True
1584656948,2,0,17,True
1591502241,2,0,17,True
1591504260,0,0,10,True
1591509025,2,0,96,True
159285849X,2,0,49,True
1595553673,2,0,36,True
1596176040,3,0,32,True
1596360291,2,0,43,True
1601060726,3,0,121,True
1601061617,3,0,91,True
1601064527,3,0,102,True
1606238744,2,0,45,True
1606390929,1,0,14,True
1606837516,2,0,21,True
1608196267,2,0,12,True
1609580834,2,0,70,True
1615196552,1,0,15,True
1616207469,1,0,22,True
1619922827,2,0,66,True
1619922835,2,0,71,True
161992286X,3,0,66,True
1623878713,1,0,31,True
1626251428,1,0,26,True
1626720592,1,0,29,True
1627472460,1,0,6,True
1628627557,1,0,15,True
1631523910,1,0,18,True
1631597698,1,0,22,True
1633226247,1,0,36,True
163388628X,1,0,15,True
1641520043,1,0,21,True
1641520779,1,0,26,True
1641524154,1,0,35,True
1641525444,1,0,21,True
164250484X,1,0,32,True
1643075608,1,0,18,True
1644280264,1,0,14,True
1645670449,1,0,24,True
1646081498,2,0,79,True
1646112067,0,0,19,True
1646115244,1,0,23,True
1646115953,1,0,21,True
1646118944,1,0,22,True
1647393582,1,0,19,True
1647397413,1,0,22,True
1647397456,0,0,20,True
1648765653,0,0,21,True
164876665X,0,0,25,True
1657991652,1,0,15,True
1658551834,1,0,10,True
1680521640,2,0,47,True
1680522116,1,0,18,True
1680525158,1,0,35,True
1683783883,0,0,16,True
1684128013,1,0,21,True
1689636319,0,0,31,True
169141929X,1,0,33,True
1691420182,0,0,31,True
1692602403,0,0,9,True
1695768930,0,0,16,True
1697425836,1,0,27,True
1706559119,0,0,38,True
173087598X,0,0,10,True
1732596344,0,0,12,True
1732603014,0,0,4,True
1732696810,1,0,16,True
1732878005,1,0,32,True
1732997403,0,0,15,True
1733633510,1,0,49,True
1733666206,1,0,19,True
1775047008,0,0,25,True
1786274833,1,0,29,True
1786818248,1,0,25,True
1793189536,1,0,14,True
179348306X,1,0,22,True
179896998X,0,0,27,True
1864708395,1,0,12,True
1864709189,0,0,4,True
187870401X,0,0,23,True
1907860517,0,0,15,True
1930034652,2,0,62,True
1935414283,3,0,58,True
193612842X,1,0,23,True
1937870278,1,0,11,True
1937870286,1,0,18,True
1937870316,1,0,21,True
1938298802,2,0,50,True
1939754119,1,0,23,True
193975416X,1,0,28,True
1939754445,1,0,34,True
193975464X,1,0,27,True
1939754666,1,0,29,True
1940352649,3,0,42,True
1940358361,1,0,22,True
1942915551,1,0,45,True
1944515801,3,0,109,True
1945056401,1,0,43,True
1947392042,1,0,10,True
1948014211,1,0,33,True
1948209004,2,0,146,True
1948209470,1,0,34,True
194870336X,2,0,36,True
1950785041,2,0,38,True
1951161068,0,0,38,True
195153915X,1,0,42,True
1952639530,0,0,28,True
1973960524,0,0,21,True
1982113405,1,0,19,True
1982141468,1,0,22,True
198482564X,2,0,26,True
198482662X,2,0,26,True
1984896393,2,0,13,True
1984896849,2,0,20,True
1985199262,0,0,41,True
1999140958,0,0,25,True
2808018800,0,0,30,True
3659253324,1,0,48,True
3963267771,1,0,37,True
6073169361,2,0,35,True
6200080941,1,0,42,True
6301650654,1,0,14,True
6306983260,0,0,5,True
7540492880,1,0,20,True
7558410223,0,0,239,True
8427210132,1,0,37,True
9123752408,0,0,403,True
9123821221,0,0,25,True
9123881321,1,0,413,True
9123893656,1,0,425,True
9124104701,0,0,406,True
966652046X,3,0,54,True
B00002267Z,3,0,87,True
B00002N60O,3,0,154,True
B00004OCL8,3,0,58,True
B00004OCMP,3,0,45,True
B00004RADH,2,0,65,True
B00004RFK7,3,0,172,True
B00004S7YS,3,0,229,True
B00004SAF4,3,0,97,True
B00004SGF9,3,0,93,True
B00004SGFT,3,0,77,True
B00004SGFU,3,0,115,True
B00004SZZO,0,0,6,True
B00004YNMN,2,0,50,True
B00004YOHN,3,0,110,True
B00005455W,0,0,533,False
B000058AKB,3,0,156,True
B00005BMAL,3,0,67,True
B00005Q5I8,3,0,106,True
B00005RT2X,1,0,29,True
B00006I5XC,3,0,264,True
B00006JN3G,3,0,115,True
B00008CM6I,3,0,158,True
B00008CM6J,3,0,156,True
