dataset,K,state,pairs,macro,ci_low,ci_high
esci,20,always,2907,0.7189493265471975,0.6912852682872925,0.7458760349279918
esci,20,sometimes,196,0.03661806169556642,0.028814640035723375,0.045443465326023315
esci,20,never,1331,0.24443261175723624,0.21897012239661764,0.270488840467497
esci,50,always,3751,0.8554477906243775,0.831747509305594,0.8776964523321091
esci,50,sometimes,94,0.021969710939700654,0.01508981884535847,0.030325329886564976
esci,50,never,589,0.12258249843592195,0.10209971273692814,0.14454649453333443
esci,100,always,3995,0.9073218627723446,0.8872248112547185,0.9253533917303579
esci,100,sometimes,44,0.007201217699760552,0.004725072935075607,0.010004159250918644
esci,100,never,395,0.08547691952789487,0.06810693824191352,0.1047310861842115
esci,200,always,4125,0.9299538948900967,0.9120245879884701,0.9460006751899629
esci,200,sometimes,38,0.008120974253238784,0.004234713321637169,0.013398909318247993
esci,200,never,271,0.061925130856664526,0.04669938481944981,0.07901768302617017
esci,500,always,4245,0.9532905968125089,0.9379480653412234,0.9667451416070364
esci,500,sometimes,20,0.005290831969188683,0.00197828425471211,0.010426112450786796
esci,500,never,169,0.04141857121830226,0.028617863763599313,0.055597754637281054
esci,1000,always,4306,0.9692176519205578,0.9566193404263295,0.9804124225529536
esci,1000,sometimes,16,0.0037260571203456975,0.0014528431099072384,0.00681254947318324
esci,1000,never,112,0.02705629095909657,0.016675048050924804,0.0388517054505281
