dataset,variant,set_differences,order_differences,relevant_added,relevant_removed,max_score_error
esci,C0,32,411,0,0,0.0002791881561279297
esci,C1,31,403,0,0,0.0002797245979309082
esci,C2s1,23,415,0,0,0.0002797245979309082
esci,C2s2,31,420,0,0,0.0002797245979309082
esci,C2s3,34,407,0,0,0.0002797245979309082
esci,C2s4,37,419,0,0,0.0002797245979309082
esci,C2s5,30,410,0,0,0.0002791881561279297
wands,C0,0,6,0,0,2.980232238769531e-07
wands,C1,1,9,0,0,2.980232238769531e-07
wands,C2s1,0,3,0,0,3.5762786865234375e-07
wands,C2s2,0,3,0,0,2.980232238769531e-07
wands,C2s3,0,5,0,0,2.980232238769531e-07
wands,C2s4,0,2,0,0,2.980232238769531e-07
wands,C2s5,0,3,0,0,2.980232238769531e-07
