dataset,variant,query_id,set_difference,order_difference,relevant_added,relevant_removed,max_score_error
wands,C0,0,False,False,0,0,2.384185791015625e-07
wands,C0,1,False,False,0,0,1.7881393432617188e-07
wands,C0,2,False,False,0,0,1.7881393432617188e-07
wands,C0,3,False,False,0,0,1.7881393432617188e-07
wands,C0,4,False,False,0,0,1.7881393432617188e-07
wands,C0,5,False,False,0,0,2.384185791015625e-07
wands,C0,6,False,False,0,0,1.1920928955078125e-07
wands,C0,7,False,False,0,0,1.7881393432617188e-07
wands,C0,8,False,False,0,0,2.384185791015625e-07
wands,C0,9,False,False,0,0,2.384185791015625e-07
wands,C0,10,False,False,0,0,1.7881393432617188e-07
wands,C0,11,False,False,0,0,2.384185791015625e-07
wands,C0,12,False,False,0,0,2.384185791015625e-07
wands,C0,13,False,False,0,0,1.7881393432617188e-07
wands,C0,14,False,False,0,0,2.384185791015625e-07
wands,C0,15,False,False,0,0,1.7881393432617188e-07
wands,C0,16,False,False,0,0,1.7881393432617188e-07
wands,C0,17,False,False,0,0,1.7881393432617188e-07
wands,C0,18,False,False,0,0,1.7881393432617188e-07
wands,C0,19,False,False,0,0,1.1920928955078125e-07
wands,C0,20,False,False,0,0,1.7881393432617188e-07
wands,C0,21,False,False,0,0,2.384185791015625e-07
wands,C0,22,False,False,0,0,1.7881393432617188e-07
wands,C0,23,False,False,0,0,1.7881393432617188e-07
wands,C0,24,False,False,0,0,1.7881393432617188e-07
wands,C0,25,False,False,0,0,1.7881393432617188e-07
wands,C0,26,False,False,0,0,1.7881393432617188e-07
wands,C0,27,False,False,0,0,1.7881393432617188e-07
wands,C0,28,False,False,0,0,1.7881393432617188e-07
wands,C0,29,False,False,0,0,1.7881393432617188e-07
wands,C0,30,False,False,0,0,2.384185791015625e-07
wands,C0,31,False,False,0,0,1.1920928955078125e-07
wands,C0,32,False,False,0,0,1.1920928955078125e-07
wands,C0,33,False,False,0,0,1.7881393432617188e-07
wands,C0,34,False,False,0,0,2.384185791015625e-07
wands,C0,35,False,False,0,0,2.384185791015625e-07
wands,C0,36,False,False,0,0,2.384185791015625e-07
wands,C0,37,False,False,0,0,1.7881393432617188e-07
wands,C0,38,False,False,0,0,2.384185791015625e-07
wands,C0,39,False,False,0,0,1.7881393432617188e-07
wands,C0,40,False,False,0,0,2.384185791015625e-07
wands,C0,41,False,False,0,0,1.7881393432617188e-07
wands,C0,42,False,False,0,0,1.1920928955078125e-07
wands,C0,43,False,False,0,0,1.7881393432617188e-07
wands,C0,44,False,False,0,0,2.384185791015625e-07
wands,C0,45,False,False,0,0,1.7881393432617188e-07
wands,C0,46,False,False,0,0,1.7881393432617188e-07
wands,C0,47,False,False,0,0,1.1920928955078125e-07
wands,C0,48,False,False,0,0,1.7881393432617188e-07
wands,C0,49,False,False,0,0,2.384185791015625e-07
wands,C0,50,False,False,0,0,1.7881393432617188e-07
wands,C0,51,False,False,0,0,1.7881393432617188e-07
