dataset,method,index_arrays_MiB,score_sort_ms_median,score_sort_ms_p95,query_encode_ms_median
wands,Original,125.958984375,8.56144999852404,9.7438849741593,12.28914997773245
wands,centroid_2,125.958984375,8.310050005093217,9.29532993468456,12.28914997773245
wands,centroid_4,125.958984375,8.305299968924373,9.032750030746683,12.28914997773245
wands,centroid_7,125.958984375,8.37035005679354,10.328115004813297,12.28914997773245
wands,hybrid,176.17925262451172,15.175850014202297,18.036320008104667,12.28914997773245
wands,max_2,251.91796875,13.112650020048022,15.752410003915427,12.28914997773245
wands,max_4,503.8359375,20.889049977995455,22.911689995089546,12.28914997773245
wands,max_7,881.712890625,36.731749947648495,45.41156500345096,12.28914997773245
wands,rule_appearance,125.958984375,8.604850037954748,9.802249993663281,12.28914997773245
esci,Original,29.51953125,2.1005000453442335,2.6070800377055994,11.516699974890798
esci,centroid_2,29.51953125,1.9426499493420124,2.312689967220649,11.516699974890798
esci,centroid_4,29.51953125,1.8506500055082142,2.1564250055234875,11.516699974890798
esci,centroid_7,29.51953125,1.943750015925616,2.428364980733022,11.516699974890798
esci,hybrid,37.69472122192383,4.104899941012263,5.093450058484449,11.516699974890798
esci,max_2,59.0390625,2.9629000346176326,3.518335014814511,11.516699974890798
esci,max_4,118.078125,5.0539999501779675,5.763569986447692,11.516699974890798
esci,max_7,206.63671875,9.831950010266155,13.640439987648277,11.516699974890798
esci,rule_appearance,29.51953125,1.9856999861076474,2.6415000262204553,11.516699974890798
